iter	Passed	Remaining
0	117	117466
1	130	65172
2	209	69699
3	229	57223
4	242	48196
5	247	41015
6	252	35857
7	260	32323
8	265	29263
9	271	26886
10	280	25241
11	290	23953
12	295	22428
13	299	21123
14	305	20065
15	310	19079
16	314	18203
17	319	17449
18	325	16797
19	330	16186
20	334	15609
21	340	15129
22	345	14695
23	350	14262
24	355	13883
25	360	13509
26	365	13157
27	369	12827
28	374	12526
29	379	12277
30	384	12024
31	389	11791
32	394	11569
33	399	11347
34	404	11155
35	409	10971
36	414	10778
37	418	10604
38	424	10449
39	428	10287
40	433	10137
41	438	9999
42	443	9863
43	447	9728
44	452	9604
45	457	9478
46	461	9351
47	465	9230
48	470	9124
49	474	9012
50	478	8906
51	482	8804
52	487	8712
53	491	8616
54	495	8519
55	500	8434
56	504	8352
57	509	8269
58	513	8191
59	519	8133
60	523	8061
61	528	7994
62	533	7935
63	538	7876
64	543	7814
65	548	7757
66	553	7701
67	557	7641
68	562	7583
69	567	7533
70	571	7476
71	575	7418
72	579	7361
73	585	7320
74	589	7273
75	594	7229
76	599	7185
77	604	7140
78	608	7093
79	613	7050
80	617	7007
81	621	6962
82	626	6918
83	631	6884
84	635	6844
85	640	6804
86	644	6765
87	649	6728
88	653	6690
89	657	6651
90	663	6627
91	668	6599
92	673	6565
93	678	6538
94	683	6507
95	687	6476
96	692	6445
97	697	6418
98	701	6387
99	706	6355
100	710	6327
101	715	6301
102	720	6276
103	725	6252
104	730	6225
105	735	6200
106	740	6179
107	748	6179
108	752	6153
109	758	6134
110	763	6110
111	767	6088
112	773	6070
113	777	6045
114	782	6019
115	786	5995
116	793	5985
117	797	5963
118	802	5944
119	808	5929
120	813	5910
121	819	5898
122	824	5880
123	829	5859
124	834	5839
125	839	5821
126	843	5800
127	848	5779
128	854	5767
129	858	5748
130	863	5727
131	867	5706
132	872	5689
133	877	5670
134	881	5649
135	886	5633
136	891	5615
137	895	5595
138	900	5575
139	905	5561
140	909	5542
141	913	5521
142	918	5503
143	923	5487
144	927	5468
145	931	5449
146	938	5445
147	943	5430
148	948	5415
149	955	5416
150	960	5402
151	966	5389
152	971	5378
153	976	5365
154	981	5352
155	987	5340
156	992	5329
157	997	5315
158	1004	5313
159	1009	5302
160	1016	5296
161	1020	5280
162	1025	5264
163	1029	5249
164	1034	5236
165	1039	5221
166	1044	5207
167	1049	5196
168	1053	5181
169	1058	5167
170	1063	5155
171	1068	5143
172	1073	5131
173	1078	5119
174	1083	5108
175	1088	5096
176	1093	5085
177	1099	5076
178	1104	5063
179	1108	5050
180	1113	5039
181	1118	5027
182	1123	5014
183	1128	5002
184	1133	4991
185	1138	4980
186	1142	4968
187	1147	4957
188	1152	4946
189	1157	4933
190	1162	4922
191	1166	4910
192	1171	4898
193	1176	4889
194	1181	4877
195	1186	4865
196	1190	4853
197	1195	4843
198	1200	4832
199	1205	4822
200	1211	4813
201	1216	4804
202	1221	4794
203	1226	4786
204	1231	4775
205	1235	4763
206	1242	4758
207	1247	4749
208	1252	4739
209	1256	4728
210	1261	4716
211	1265	4705
212	1270	4694
213	1276	4687
214	1280	4676
215	1285	4664
216	1289	4653
217	1294	4643
218	1299	4634
219	1303	4622
220	1308	4612
221	1313	4601
222	1317	4589
223	1322	4579
224	1326	4568
225	1330	4557
226	1334	4545
227	1340	4537
228	1344	4526
229	1349	4517
230	1354	4509
231	1359	4500
232	1363	4490
233	1368	4481
234	1373	4472
235	1378	4462
236	1383	4453
237	1389	4448
238	1394	4439
239	1398	4430
240	1404	4422
241	1409	4413
242	1413	4404
243	1418	4395
244	1423	4386
245	1428	4376
246	1432	4367
247	1437	4359
248	1442	4349
249	1446	4340
250	1452	4333
251	1456	4324
252	1461	4314
253	1466	4306
254	1470	4297
255	1475	4288
256	1479	4278
257	1485	4271
258	1489	4262
259	1494	4252
260	1498	4243
261	1503	4234
262	1507	4225
263	1512	4216
264	1517	4208
265	1522	4199
266	1526	4191
267	1531	4182
268	1536	4174
269	1541	4166
270	1545	4157
271	1550	4148
272	1554	4140
273	1559	4131
274	1563	4123
275	1568	4114
276	1572	4105
277	1577	4096
278	1582	4089
279	1587	4080
280	1591	4072
281	1596	4063
282	1600	4054
283	1604	4044
284	1608	4036
285	1613	4028
286	1618	4020
287	1623	4013
288	1628	4006
289	1633	3998
290	1638	3991
291	1642	3982
292	1647	3974
293	1651	3966
294	1656	3958
295	1661	3951
296	1665	3942
297	1670	3934
298	1674	3926
299	1680	3920
300	1684	3911
301	1688	3903
302	1693	3896
303	1698	3888
304	1703	3880
305	1707	3872
306	1712	3865
307	1716	3856
308	1721	3848
309	1725	3841
310	1730	3833
311	1735	3826
312	1740	3819
313	1744	3810
314	1748	3802
315	1752	3794
316	1757	3786
317	1761	3778
318	1766	3770
319	1770	3762
320	1775	3755
321	1779	3747
322	1783	3738
323	1788	3730
324	1792	3722
325	1796	3715
326	1801	3707
327	1805	3699
328	1810	3692
329	1814	3683
330	1819	3676
331	1824	3670
332	1828	3663
333	1833	3655
334	1837	3648
335	1842	3641
336	1847	3635
337	1852	3627
338	1856	3620
339	1861	3613
340	1866	3606
341	1870	3599
342	1875	3592
343	1879	3585
344	1884	3577
345	1888	3570
346	1893	3562
347	1897	3555
348	1902	3547
349	1906	3540
350	1910	3532
351	1915	3525
352	1919	3518
353	1923	3510
354	1928	3503
355	1933	3497
356	1937	3490
357	1942	3483
358	1946	3475
359	1951	3469
360	1956	3462
361	1960	3455
362	1965	3448
363	1971	3444
364	1976	3437
365	1980	3431
366	1985	3424
367	1989	3417
368	1994	3410
369	1999	3404
370	2003	3396
371	2007	3389
372	2012	3382
373	2016	3374
374	2020	3368
375	2025	3361
376	2030	3355
377	2034	3347
378	2038	3340
379	2043	3334
380	2047	3327
381	2052	3320
382	2056	3313
383	2061	3306
384	2066	3300
385	2071	3294
386	2075	3287
387	2079	3280
388	2084	3274
389	2089	3267
390	2093	3260
391	2098	3254
392	2102	3247
393	2107	3240
394	2111	3234
395	2116	3228
396	2121	3221
397	2125	3215
398	2130	3208
399	2135	3202
400	2139	3195
401	2143	3189
402	2148	3182
403	2152	3176
404	2157	3169
405	2161	3162
406	2166	3156
407	2171	3150
408	2175	3143
409	2180	3137
410	2185	3131
411	2189	3124
412	2194	3118
413	2198	3111
414	2202	3105
415	2208	3100
416	2212	3093
417	2216	3086
418	2221	3080
419	2225	3073
420	2230	3067
421	2234	3060
422	2239	3055
423	2244	3048
424	2249	3042
425	2253	3036
426	2258	3030
427	2263	3024
428	2267	3018
429	2271	3011
430	2276	3005
431	2280	2998
432	2284	2991
433	2288	2985
434	2293	2978
435	2297	2971
436	2301	2965
437	2306	2959
438	2310	2953
439	2315	2946
440	2319	2940
441	2324	2934
442	2329	2928
443	2333	2922
444	2338	2916
445	2343	2910
446	2348	2905
447	2352	2899
448	2358	2893
449	2362	2887
450	2367	2881
451	2371	2875
452	2375	2868
453	2380	2862
454	2384	2856
455	2389	2850
456	2393	2843
457	2398	2837
458	2402	2831
459	2406	2825
460	2411	2819
461	2416	2813
462	2420	2807
463	2425	2801
464	2429	2794
465	2433	2788
466	2437	2782
467	2441	2775
468	2445	2769
469	2449	2762
470	2454	2756
471	2458	2750
472	2463	2744
473	2467	2738
474	2472	2732
475	2477	2726
476	2481	2720
477	2486	2714
478	2490	2708
479	2494	2702
480	2499	2696
481	2504	2691
482	2509	2685
483	2513	2680
484	2518	2674
485	2523	2668
486	2528	2663
487	2533	2657
488	2538	2652
489	2542	2646
490	2547	2641
491	2552	2635
492	2557	2629
493	2562	2624
494	2566	2618
495	2571	2612
496	2575	2606
497	2580	2601
498	2585	2595
499	2590	2590
500	2595	2585
501	2601	2580
502	2607	2576
503	2612	2571
504	2618	2566
505	2623	2560
506	2628	2555
507	2633	2550
508	2638	2545
509	2642	2539
510	2647	2533
511	2653	2529
512	2658	2523
513	2663	2518
514	2668	2513
515	2673	2507
516	2677	2501
517	2681	2495
518	2686	2489
519	2690	2483
520	2694	2477
521	2699	2471
522	2703	2465
523	2707	2459
524	2711	2453
525	2715	2447
526	2719	2441
527	2724	2435
528	2728	2429
529	2732	2423
530	2736	2416
531	2740	2410
532	2744	2404
533	2748	2398
534	2752	2392
535	2756	2386
536	2760	2380
537	2765	2374
538	2769	2368
539	2773	2362
540	2777	2356
541	2781	2350
542	2785	2344
543	2791	2339
544	2795	2334
545	2800	2328
546	2804	2322
547	2808	2316
548	2812	2310
549	2816	2304
550	2820	2298
551	2825	2292
552	2829	2286
553	2833	2281
554	2837	2275
555	2841	2269
556	2846	2263
557	2850	2258
558	2855	2252
559	2859	2246
560	2864	2241
561	2869	2236
562	2875	2231
563	2879	2226
564	2884	2220
565	2889	2215
566	2893	2209
567	2898	2204
568	2903	2199
569	2908	2194
570	2913	2188
571	2917	2183
572	2922	2177
573	2927	2172
574	2932	2167
575	2938	2162
576	2943	2157
577	2948	2152
578	2952	2146
579	2957	2141
580	2962	2136
581	2967	2131
582	2971	2125
583	2976	2120
584	2980	2114
585	2985	2109
586	2990	2103
587	2995	2098
588	3000	2093
589	3005	2088
590	3010	2083
591	3015	2078
592	3020	2072
593	3024	2067
594	3029	2061
595	3034	2056
596	3038	2051
597	3043	2045
598	3048	2040
599	3052	2035
600	3057	2029
601	3061	2024
602	3066	2018
603	3071	2013
604	3076	2008
605	3080	2003
606	3086	1998
607	3090	1992
608	3095	1987
609	3101	1982
610	3106	1977
611	3111	1972
612	3116	1967
613	3121	1962
614	3126	1957
615	3131	1951
616	3135	1946
617	3140	1941
618	3145	1936
619	3150	1930
620	3154	1925
621	3159	1919
622	3163	1914
623	3168	1909
624	3173	1903
625	3177	1898
626	3182	1893
627	3187	1888
628	3192	1882
629	3197	1877
630	3202	1872
631	3207	1867
632	3212	1862
633	3216	1856
634	3222	1852
635	3227	1846
636	3231	1841
637	3236	1836
638	3241	1831
639	3246	1826
640	3251	1820
641	3256	1815
642	3261	1810
643	3265	1805
644	3270	1800
645	3275	1795
646	3280	1789
647	3285	1784
648	3291	1779
649	3296	1774
650	3301	1769
651	3306	1764
652	3310	1759
653	3315	1753
654	3319	1748
655	3323	1743
656	3328	1737
657	3332	1732
658	3336	1726
659	3340	1720
660	3344	1715
661	3348	1709
662	3352	1704
663	3357	1698
664	3361	1693
665	3365	1687
666	3370	1682
667	3374	1677
668	3379	1671
669	3383	1666
670	3388	1661
671	3392	1655
672	3396	1650
673	3401	1645
674	3406	1640
675	3411	1635
676	3416	1629
677	3420	1624
678	3424	1618
679	3429	1613
680	3433	1608
681	3437	1602
682	3441	1597
683	3446	1592
684	3450	1586
685	3454	1581
686	3458	1575
687	3462	1570
688	3467	1564
689	3471	1559
690	3475	1554
691	3479	1548
692	3483	1543
693	3487	1537
694	3491	1532
695	3495	1526
696	3500	1521
697	3504	1516
698	3509	1511
699	3514	1506
700	3519	1501
701	3523	1495
702	3528	1490
703	3532	1485
704	3537	1480
705	3542	1475
706	3546	1469
