method,target_type,model,final_balance,total_net_profit,total_trades,wins,losses,win_rate
none,regression,lightgbm,9720.083499977656,-279.9165000223438,119,36,83,0.3025210084033613
none,regression,linear_regression,9842.994473738745,-157.005526261255,98,32,66,0.32653061224489793
none,regression,xgboost,9826.451180030475,-173.54881996952463,128,43,85,0.3359375
standard_scaler,regression,lightgbm,9760.417694598147,-239.58230540185286,118,37,81,0.3135593220338983
standard_scaler,regression,linear_regression,9842.994473738745,-157.005526261255,98,32,66,0.32653061224489793
standard_scaler,regression,xgboost,9826.451180030475,-173.54881996952463,128,43,85,0.3359375
minmax_scaler,regression,lightgbm,9712.172568164244,-287.8274318357562,115,34,81,0.2956521739130435
minmax_scaler,regression,linear_regression,9842.994473738745,-157.005526261255,98,32,66,0.32653061224489793
minmax_scaler,regression,xgboost,9826.451180030475,-173.54881996952463,128,43,85,0.3359375
robust_scaler,regression,lightgbm,9708.065035940082,-291.93496405991755,118,35,83,0.2966101694915254
robust_scaler,regression,linear_regression,9842.994473738745,-157.005526261255,98,32,66,0.32653061224489793
robust_scaler,regression,xgboost,9826.451180030475,-173.54881996952463,128,43,85,0.3359375
maxabs_scaler,regression,lightgbm,9720.083499977656,-279.9165000223438,119,36,83,0.3025210084033613
maxabs_scaler,regression,linear_regression,9842.994473738745,-157.005526261255,98,32,66,0.32653061224489793
maxabs_scaler,regression,xgboost,9826.451180030475,-173.54881996952463,128,43,85,0.3359375
quantile_transformer,regression,lightgbm,9712.172568164244,-287.8274318357562,115,34,81,0.2956521739130435
quantile_transformer,regression,linear_regression,9785.452787181304,-214.5472128186957,90,27,63,0.3
quantile_transformer,regression,xgboost,9826.451180030475,-173.54881996952463,128,43,85,0.3359375
power_transformer,regression,lightgbm,9738.244790420806,-261.75520957919434,120,37,83,0.30833333333333335
power_transformer,regression,linear_regression,9898.006856273536,-101.99314372646404,101,35,66,0.3465346534653465
power_transformer,regression,xgboost,9826.451180030475,-173.54881996952463,128,43,85,0.3359375
normalizer,regression,lightgbm,9651.601758772787,-348.39824122721257,131,38,93,0.2900763358778626
normalizer,regression,linear_regression,9756.478003920285,-243.52199607971488,111,34,77,0.3063063063063063
normalizer,regression,xgboost,9502.783982499002,-497.2160175009976,142,37,105,0.2605633802816901
