method,target_type,model,mae,rmse,total_return,final_balance,total_trades,win_rate
none,regression,linear_regression,0.0084097981726984,0.0119227118205758,-157.005526261255,9842.994473738745,98,0.32653061224489793
none,regression,xgboost,0.0099727663965519,0.0135946300910877,-173.54881996952463,9826.451180030475,128,0.3359375
none,regression,lightgbm,0.0090887433107064,0.0126822966214145,-279.9165000223438,9720.083499977656,119,0.3025210084033613
standard_scaler,regression,linear_regression,0.0084097981726984,0.0119227118205758,-157.005526261255,9842.994473738745,98,0.32653061224489793
standard_scaler,regression,xgboost,0.0099727663965519,0.0135946300910877,-173.54881996952463,9826.451180030475,128,0.3359375
standard_scaler,regression,lightgbm,0.0091224089138678,0.0128137380452904,-239.58230540185286,9760.417694598147,118,0.3135593220338983
minmax_scaler,regression,linear_regression,0.0084097981726984,0.0119227118205758,-157.005526261255,9842.994473738745,98,0.32653061224489793
minmax_scaler,regression,xgboost,0.0099727663965519,0.0135946300910877,-173.54881996952463,9826.451180030475,128,0.3359375
minmax_scaler,regression,lightgbm,0.0088917638800626,0.0125350424945381,-287.8274318357562,9712.172568164244,115,0.2956521739130435
robust_scaler,regression,linear_regression,0.0084097981726984,0.0119227118205758,-157.005526261255,9842.994473738745,98,0.32653061224489793
robust_scaler,regression,xgboost,0.0099727663965519,0.0135946300910877,-173.54881996952463,9826.451180030475,128,0.3359375
robust_scaler,regression,lightgbm,0.0089344251439072,0.0126260541337478,-291.93496405991755,9708.065035940082,118,0.2966101694915254
maxabs_scaler,regression,linear_regression,0.0084097981726984,0.0119227118205758,-157.005526261255,9842.994473738745,98,0.32653061224489793
maxabs_scaler,regression,xgboost,0.0099727663965519,0.0135946300910877,-173.54881996952463,9826.451180030475,128,0.3359375
maxabs_scaler,regression,lightgbm,0.0090887433107064,0.0126822966214145,-279.9165000223438,9720.083499977656,119,0.3025210084033613
quantile_transformer,regression,linear_regression,0.0083509737018862,0.0117990630521486,-214.5472128186957,9785.452787181304,90,0.3
quantile_transformer,regression,xgboost,0.0099727663965519,0.0135946300910877,-173.54881996952463,9826.451180030475,128,0.3359375
quantile_transformer,regression,lightgbm,0.0088917638800626,0.0125353334048067,-287.8274318357562,9712.172568164244,115,0.2956521739130435
power_transformer,regression,linear_regression,0.0084152415947542,0.0119321150182116,-101.99314372646404,9898.006856273536,101,0.3465346534653465
power_transformer,regression,xgboost,0.0099727663965519,0.0135946300910877,-173.54881996952463,9826.451180030475,128,0.3359375
power_transformer,regression,lightgbm,0.0089709606986325,0.0126554875725147,-261.75520957919434,9738.244790420806,120,0.30833333333333335
normalizer,regression,linear_regression,0.0083807584053916,0.0118950037800234,-243.52199607971488,9756.478003920285,111,0.3063063063063063
normalizer,regression,xgboost,0.0091538042562421,0.0128350375140383,-497.2160175009976,9502.783982499002,142,0.2605633802816901
normalizer,regression,lightgbm,0.0086083029150046,0.0121600354744897,-348.39824122721257,9651.601758772787,131,0.2900763358778626
rolling_zscore,regression,linear_regression,0.0084128871741983,0.0118659772158721,-179.7160156789032,9820.283984321097,79,0.3037974683544304
rolling_zscore,regression,xgboost,0.0094577248073397,0.0133358062572292,-53.6671856951416,9946.332814304858,122,0.36885245901639346
rolling_zscore,regression,lightgbm,0.0087734794804492,0.0125025783633136,-333.83055551196776,9666.169444488032,120,0.2833333333333333
fractional_differencing,regression,linear_regression,0.0084263040584547,0.011894555739192,-171.1361864871833,9828.863813512817,94,0.3191489361702128
fractional_differencing,regression,xgboost,0.0096198019608323,0.0131043135903553,-298.9175638976558,9701.082436102344,134,0.30597014925373134
fractional_differencing,regression,lightgbm,0.0086678195972056,0.0121517338568123,-347.1767119884189,9652.823288011581,117,0.28205128205128205
simple_differencing,regression,linear_regression,0.0083605299223222,0.01180875365081,-48.25771649140552,9951.742283508594,91,0.3626373626373626
simple_differencing,regression,xgboost,0.0089064466273598,0.0125248312936451,-509.68597449608023,9490.31402550392,130,0.24615384615384617
simple_differencing,regression,lightgbm,0.0085435759429142,0.0120634518443823,-325.65480224359453,9674.345197756405,119,0.2857142857142857
winsorization,regression,linear_regression,0.008405777079013,0.0119058550336616,-138.73897981502887,9861.261020184971,99,0.3333333333333333
winsorization,regression,xgboost,0.0097625239467091,0.0132764018423627,-113.03963969148572,9886.960360308514,133,0.3533834586466165
winsorization,regression,lightgbm,0.008974722245444,0.0125668109364402,-518.3515358471068,9481.648464152893,125,0.24
log_transform,regression,linear_regression,0.0083970415781136,0.0119131037011232,-198.9053715132668,9801.094628486733,107,0.3177570093457944
log_transform,regression,xgboost,0.0098197641877361,0.0134561084299315,-226.5121644932533,9773.487835506747,138,0.32608695652173914
log_transform,regression,lightgbm,0.0090887433107064,0.0126822966214145,-279.9165000223438,9720.083499977656,119,0.3025210084033613
gaussian_quantile_transform,regression,linear_regression,0.0083988691378524,0.0118725192260589,-83.58305907884824,9916.416940921152,102,0.35294117647058826
gaussian_quantile_transform,regression,xgboost,0.0099727663965519,0.0135946300910877,-173.54881996952463,9826.451180030475,128,0.3359375
gaussian_quantile_transform,regression,lightgbm,0.0088971562102643,0.0125906091188801,-352.3097572894785,9647.690242710521,112,0.2767857142857143
