entry_time,exit_time,direction,entry_price,exit_price,exit_reason,quantity,gross_pnl,commission,slippage,net_pnl,balance_after_trade,cumulative_pnl
2025-11-08 09:00:00,2025-11-09 14:26:00,short,102431.74,103456.0574,stop_loss,0.009762598975669065,-10.0,1.0050000000000003,0.4020000000000001,-11.407,9988.593,-11.407
2025-11-09 17:00:00,2025-11-09 20:00:00,short,103845.04,104883.4904,stop_loss,0.009618748281092675,-9.988593000000016,1.0038535965,0.4015414386,-11.393988035100017,9977.1990119649,-22.80098803510002
2025-11-09 21:00:00,2025-11-10 00:24:00,short,104633.13,105679.46130000001,stop_loss,0.009535411023224576,-9.97719901196495,1.0027085007024725,0.40108340028098904,-11.380990912948413,9965.818021051951,-34.18197894804843
2025-11-10 06:00:00,2025-11-11 01:19:00,short,106100.0,107161.0,stop_loss,0.009392853931245948,-9.96581802105195,1.001564711115721,0.40062588444628844,-11.36800861661396,9954.450012435338,-45.54998756466239
2025-11-11 10:00:00,2025-11-11 14:49:00,long,104971.62,103921.9038,stop_loss,0.009482991700457076,-9.954450012435295,0.9904677762373163,0.3961871104949265,-11.341104899167538,9943.10890753617,-56.89109246382993
2025-11-12 03:00:00,2025-11-12 12:19:00,long,103151.66,105214.69320000001,take_profit,0.009639310610741669,19.886217815072392,1.0042539996611533,0.4017015998644613,18.48026221554678,9961.589169751718,-38.41083024828315
2025-11-13 02:00:00,2025-11-13 03:15:00,long,102006.99,100986.9201,stop_loss,0.009765594661455768,-9.96158916975174,0.991178122390296,0.3964712489561184,-11.349238541098154,9950.23993121062,-49.7600687893813
2025-11-13 11:00:00,2025-11-13 14:36:00,long,102991.23,101961.3177,stop_loss,0.009661249730885457,-9.950239931210586,0.9900488731554569,0.39601954926218275,-11.336308353628226,9938.903622856993,-61.096377143009526
2025-11-15 10:00:00,2025-11-16 01:47:00,long,95808.44,94850.3556,stop_loss,0.010373724509925214,-9.938903622857065,0.9889209104742709,0.3955683641897083,-11.323392897521044,9927.580229959472,-72.41977004053057
2025-11-16 03:00:00,2025-11-16 16:40:00,short,95963.89,94044.6122,take_profit,0.01034512068024699,19.855160459918906,0.9828304427659879,0.39313217710639514,18.479197840046524,9946.059427799519,-53.94057220048404
2025-11-22 07:00:00,2025-11-22 09:41:00,long,84636.0,83789.64,stop_loss,0.011751570759250814,-9.946059427799526,0.9896329130660522,0.3958531652264209,-11.331545506091999,9934.727882293426,-65.27211770657604
2025-11-22 17:00:00,2025-11-23 04:00:00,long,84694.65,86388.54299999999,take_profit,0.011730053648363182,19.869455764586814,1.003407516111636,0.40136300644465445,18.464685242030523,9953.192567535456,-46.80743246454551
2025-11-23 09:00:00,2025-11-23 14:00:00,short,86137.18,86998.55179999999,stop_loss,0.011555048084387553,-9.953192567535384,1.0002958530373134,0.4001183412149254,-11.353606761787622,9941.838960773668,-58.16103922633314
2025-11-25 05:00:00,2025-11-25 14:43:00,short,88341.14,86574.3172,take_profit,0.01125391743956855,19.883677921547275,0.9842420571165933,0.3936968228466373,18.505739041584043,9960.344699815252,-39.655300184749095
2025-11-26 05:00:00,2025-11-26 12:21:00,long,87230.23,86357.9277,stop_loss,0.01141845516149075,-9.960344699815204,0.9910542976316177,0.3964217190526471,-11.347820716499468,9948.996879098753,-51.003120901248565
2025-11-27 11:00:00,2025-11-28 13:48:00,short,91613.52,92529.65520000001,stop_loss,0.010859747424942032,-9.9489968790988,0.9998741863494248,0.39994967453976993,-11.348820739987994,9937.648058358765,-62.35194164123656
2025-11-28 19:00:00,2025-12-01 00:04:00,long,90830.57,89922.26430000001,stop_loss,0.010940862815634389,-9.937648058358734,0.9887959818066971,0.39551839272267886,-11.32196243288811,9926.326095925877,-73.67390407412466
2025-12-02 05:00:00,2025-12-02 14:26:00,long,86970.28,88709.6856,take_profit,0.011413469171222488,19.852652191851735,1.0025589356885136,0.40102357427540547,18.449069681887817,9944.775165607765,-55.22483439223684
2025-12-04 04:00:00,2025-12-04 19:12:00,short,93543.03,91672.1694,take_profit,0.010631230531668439,19.889550331215535,0.984532741395169,0.3938130965580676,18.5112044932623,9963.286370101028,-36.713629898974546
2025-12-04 22:00:00,2025-12-05 09:34:00,long,92158.24,91236.6576,stop_loss,0.010811064067739387,-9.96328637010102,0.9913469938250523,0.3965387975300209,-11.351172161456093,9951.935197939572,-48.06480206043064
2025-12-05 12:00:00,2025-12-05 13:41:00,long,91351.44,90437.9256,stop_loss,0.01089411967445677,-9.951935197939573,0.9902175521949874,0.39608702087799497,-11.338239771012557,9940.59695816856,-59.40304183144319
2025-12-05 23:00:00,2025-12-07 14:24:00,long,89232.48,88340.1552,stop_loss,0.011140110594447854,-9.940596958168586,0.9890893973377719,0.39563575893510877,-11.325322114441466,9929.271636054118,-70.72836394588465
2025-12-07 19:00:00,2025-12-07 22:06:00,short,91363.79,89536.51419999999,take_profit,0.01086784122687349,19.85854327210827,0.9829978919693576,0.3931991567877431,18.48234622335117,9947.753982277469,-52.24601772253348
2025-12-08 03:00:00,2025-12-08 09:06:00,short,91364.18,92277.82179999999,stop_loss,0.010888024149373935,-9.947753982277444,0.9997492752188857,0.3998997100875543,-11.347402967583884,9936.406579309885,-63.59342069011736
2025-12-08 10:00:00,2025-12-08 15:23:00,short,91912.02,90073.77960000001,take_profit,0.01081078033026571,19.872813158619717,0.9837042513516787,0.3934817005406715,18.495627206727367,9954.902206516612,-45.09779348338999
2025-12-08 19:00:00,2025-12-09 15:40:00,long,89921.68,91720.1136,take_profit,0.011070636365464495,19.90980441303327,1.005445122858178,0.4021780491432712,18.502181241031824,9973.404387757644,-26.59561224235817
2025-12-10 03:00:00,2025-12-10 20:08:00,short,92495.89,93420.8489,stop_loss,0.010782537891962167,-9.973404387757622,1.0023271409696433,0.4009308563878573,-11.376662385115123,9962.027725372529,-37.97227462747329
2025-12-10 23:00:00,2025-12-11 01:56:00,short,92509.94,90659.7412,take_profit,0.010768602514900052,19.92405545074504,0.9862407448118804,0.39449629792475216,18.543318408008407,9980.571043780537,-19.428956219464883
2025-12-11 10:00:00,2025-12-11 14:56:00,long,90234.19,89331.8481,stop_loss,0.011060742102057477,-9.980571043780532,0.9930668188561635,0.39722672754246546,-11.370864590179162,9969.200179190359,-30.799820809644046
2025-12-12 03:00:00,2025-12-12 15:30:00,short,92588.79,90737.01419999999,take_profit,0.010767178380007299,19.938400358380754,0.9869508177398456,0.39478032709593824,18.55666921354497,9987.756848403904,-12.243151596099075
2025-12-12 22:00:00,2025-12-14 11:37:00,long,90193.94,89292.0006,stop_loss,0.011073645134477887,-9.987756848403937,0.9937818064161885,0.3975127225664754,-11.3790513773866,9976.377797026516,-23.622202973485678
2025-12-14 15:00:00,2025-12-14 22:30:00,long,89118.04,88226.8596,stop_loss,0.01119456599026024,-9.976377797026489,0.9926495908041384,0.39705983632165537,-11.366087224152283,9965.011709802364,-34.98829019763796
2025-12-15 03:00:00,2025-12-15 14:52:00,long,89321.85,88428.6315,stop_loss,0.01115629793807715,-9.965011709802395,0.9915186651253354,0.39660746605013414,-11.353137840977865,9953.658571961387,-46.341428038615824
2025-12-16 09:00:00,2025-12-16 15:55:00,long,86281.17,88006.7934,take_profit,0.011536304586460043,19.907317143922736,1.0053195157681,0.40212780630724004,18.499869821847394,9972.158441783235,-27.84155821676843
2025-12-16 21:00:00,2025-12-17 14:52:00,short,87573.22,88448.9522,stop_loss,0.011387223676122946,-9.972158441783218,1.0022019233992152,0.4008807693596861,-11.37524113454212,9960.783200648693,-39.21679935131055
2025-12-17 21:00:00,2025-12-18 13:01:00,long,85890.36,87608.1672,take_profit,0.011597090989778938,19.921566401297337,1.006039103265518,0.4024156413062072,18.513111656725613,9979.29631230542,-20.703687694584936
2025-12-18 23:00:00,2025-12-19 03:30:00,long,85582.89,87294.5478,take_profit,0.011660387154845343,19.958592624610848,1.0079089275428474,0.40316357101713896,18.547520126050863,9997.84383243147,-2.156167568534073
2025-12-19 09:00:00,2025-12-19 15:16:00,short,88102.78,88983.8078,stop_loss,0.011347932304101496,-9.997843832431428,1.0047833051593629,0.4019133220637452,-11.404540459654536,9986.439291971816,-13.560708028188609
2025-12-19 21:00:00,2025-12-21 09:53:00,short,88099.59,88980.58589999999,stop_loss,0.011335398146542811,-9.986439291971752,1.0036371488431675,0.401454859537267,-11.391531300352188,9975.047760671463,-24.9522393285408
2025-12-21 10:00:00,2025-12-22 08:21:00,short,88892.82,89781.7482,stop_loss,0.011221432462904725,-9.975047760671407,1.0024922999474821,0.4009969199789929,-11.378536980597882,9963.669223690866,-36.330776309138685
2025-12-22 10:00:00,2025-12-22 19:57:00,short,89829.6,88033.008,take_profit,0.011091743950424877,19.92733844738178,0.9864032531453958,0.39456130125815836,18.546373892978224,9982.215597583843,-17.78440241616046
2025-12-22 21:00:00,2025-12-23 06:13:00,long,88351.03,87467.5197,stop_loss,0.011298357922464338,-9.982215597583782,0.9932304519595925,0.397292180783837,-11.372738230327212,9970.842859353515,-29.157140646487672
2025-12-23 08:00:00,2025-12-23 14:55:00,long,87574.78,86699.0322,stop_loss,0.011385518592628511,-9.970842859353485,0.9920988645056747,0.39683954580226993,-11.359781269661429,9959.483078083855,-40.5169219161491
2025-12-24 00:00:00,2025-12-24 14:38:00,long,87486.0,86611.14,stop_loss,0.011384087829005619,-9.959483078083862,0.9909685662693437,0.3963874265077375,-11.346839070860943,9948.136239012994,-51.863760987010046
2025-12-24 18:00:00,2025-12-26 02:20:00,long,87322.77,89069.22540000001,take_profit,0.011392373648949745,19.89627247802606,1.0047617601403125,0.401904704056125,18.489606013829622,9966.625845026823,-33.374154973180424
2025-12-26 05:00:00,2025-12-26 15:00:00,short,88969.24,87189.8552,take_profit,0.011202327731502286,19.933251690053645,0.9866959586576556,0.3946783834630623,18.551877347932926,9985.177722374756,-14.822277625247498
2025-12-26 18:00:00,2025-12-29 02:06:00,long,87331.91,89078.5482,take_profit,0.011433595947202753,19.970355444749526,1.0085029499598503,0.4034011799839402,18.558451314805733,10003.736173689562,3.7361736895582354
