direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
long,2026-07-02 01:00:00,2026-07-02 02:00:00,0.1531,0.1545,6531.678641410842,9.144350097975078,1.0045721750489875,0.40182887001959505,7.737949052906495,reversal,10007.737949052906,binance,ada
short,2026-07-02 02:00:00,2026-07-02 03:52:00,0.1547,0.156247,6469.126017487334,-10.00773794905286,1.005777663879817,0.40231106555192686,-11.415826678484605,stop_loss,9996.32212237442,binance,ada
long,2026-07-04 08:00:00,2026-07-04 14:00:00,0.1759,0.179,5682.957431708028,17.61716803829484,1.0084407962565896,0.4033763185026358,16.20535092353561,reversal,10012.527473297956,binance,ada
short,2026-07-04 14:00:00,2026-07-04 14:11:00,0.1789,0.18068900000000002,5596.717424984883,-10.012527473298027,1.0062590110664447,0.40250360442657784,-11.42129008879105,stop_loss,10001.106183209165,binance,ada
long,2026-07-05 10:00:00,2026-07-05 10:02:00,0.1877,0.18582300000000002,5328.239841880216,-10.00110618320911,0.9951100652293119,0.3980440260917248,-11.394260274530147,stop_loss,9989.711922934635,binance,ada
short,2026-07-05 18:00:00,2026-07-05 19:00:00,0.1904,0.19,5246.69743851609,2.098678975406496,0.9979218528057604,0.39916874112230416,0.7015883814784314,reversal,9990.413511316114,binance,ada
long,2026-07-05 19:00:00,2026-07-05 20:37:00,0.1898,0.18790199999999999,5263.653061810387,-9.990413511316172,0.9940461443759534,0.3976184577503814,-11.382078113442507,stop_loss,9979.031433202672,binance,ada
short,2026-07-05 22:00:00,2026-07-05 22:30:00,0.1903,0.19220299999999998,5243.842056333511,-9.979031433202609,1.0028926590368685,0.40115706361474746,-11.383081155854224,stop_loss,9967.648352046817,binance,ada
long,2026-07-06 02:00:00,2026-07-06 03:49:00,0.1893,0.187407,5265.530032776977,-9.967648352046849,0.9917810110286585,0.3967124044114634,-11.356141767486971,stop_loss,9956.29221027933,binance,ada
short,2026-07-06 16:00:00,2026-07-06 17:00:00,0.1861,0.1846,5349.968946952892,8.024953420429345,0.9916167443177185,0.3966466977270874,6.636689978384539,reversal,9962.928900257715,binance,ada
long,2026-07-06 17:00:00,2026-07-06 18:13:00,0.1848,0.182952,5391.195292347249,-9.962928900257655,0.9913114255756428,0.3965245702302571,-11.350764896063554,stop_loss,9951.578135361651,binance,ada
short,2026-07-06 22:00:00,2026-07-07 02:30:00,0.1859,0.182182,5353.18888400304,19.903156270723297,0.9852062354008035,0.3940824941603214,18.523867541162172,take_profit,9970.102002902813,binance,ada
long,2026-07-07 03:00:00,2026-07-07 04:56:00,0.1814,0.179586,5496.1973555142295,-9.970102002902868,0.9920251492888299,0.39681005971553196,-11.35893721190723,stop_loss,9958.743065690905,binance,ada
short,2026-07-09 05:00:00,2026-07-09 16:00:00,0.1684,0.1666,5913.742913118115,10.644737243612584,0.9905519379472842,0.39622077517891374,9.257964530486385,reversal,9968.001030221392,binance,ada
long,2026-07-09 16:00:00,2026-07-09 17:07:00,0.1667,0.16503299999999999,5979.604697193397,-9.968001030221405,0.9918161025070286,0.39672644100281146,-11.356543573731246,stop_loss,9956.644486647661,binance,ada
short,2026-07-10 02:00:00,2026-07-10 04:00:00,0.1684,0.1674,5912.496726037804,5.912496726037809,0.9927082003017473,0.39708328012069893,4.522705245615363,reversal,9961.167191893277,binance,ada
long,2026-07-10 04:00:00,2026-07-10 09:00:00,0.1675,0.1677,5946.965487697479,1.1893930975393647,0.9967114157380976,0.3986845662952391,-0.20600288449397197,reversal,9960.961189008784,binance,ada
short,2026-07-10 09:00:00,2026-07-10 10:24:00,0.1679,0.169579,5932.674919004637,-9.960961189008867,1.001076599495383,0.4004306397981532,-11.362468428302403,stop_loss,9949.598720580481,binance,ada
