direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
long,2026-07-03 03:00:00,2026-07-03 13:28:00,0.07473,0.0762246,13381.506757660913,19.999999999999982,1.0100000000000002,0.404,18.58599999999998,take_profit,10018.586,binance,doge
long,2026-07-03 21:00:00,2026-07-03 23:09:00,0.07802,0.07723980000000001,12841.048449115611,-10.018585999999933,0.9968493070000001,0.39873972280000003,-11.414175029799933,stop_loss,10007.171824970199,binance,doge
long,2026-07-04 12:00:00,2026-07-04 15:10:00,0.0769,0.078438,13013.22734066346,20.014343649940372,1.0107243543219901,0.40428974172879606,18.599329553889586,take_profit,10025.771154524089,binance,doge
long,2026-07-04 19:00:00,2026-07-04 20:18:00,0.07918,0.0783882,12661.999437388342,-10.02577115452403,0.9975642298751468,0.39902569195005877,-11.422361076349235,stop_loss,10014.34879344774,binance,doge
short,2026-07-05 03:00:00,2026-07-05 13:05:00,0.07587,0.07662870000000001,13199.352568139897,-10.014348793447754,1.0064420537414978,0.40257682149659924,-11.42336766868585,stop_loss,10002.925425779054,binance,doge
short,2026-07-05 14:00:00,2026-07-05 16:03:00,0.07663,0.0773963,13053.537029595529,-10.002925425779022,1.005294005290795,0.402117602116318,-11.410337033186135,stop_loss,9991.515088745868,binance,doge
short,2026-07-05 17:00:00,2026-07-05 17:23:00,0.07705,0.0778205,12967.573119722088,-9.991515088745963,1.00414726641896,0.40165890656758396,-11.397321261732507,stop_loss,9980.117767484135,binance,doge
long,2026-07-05 19:00:00,2026-07-05 21:00:00,0.07762,0.07708,12857.662673903807,-6.9431378439080405,0.9945402078264595,0.3978160831305838,-8.335494134865083,reversal,9971.78227334927,binance,doge
short,2026-07-05 21:00:00,2026-07-05 21:56:00,0.07711,0.0778811,12931.89245668431,-9.97178227334923,1.002164118471602,0.4008656473886407,-11.374812039209472,stop_loss,9960.40746131006,binance,doge
short,2026-07-06 05:00:00,2026-07-06 12:04:00,0.07709,0.07554820000000001,12920.49223156059,19.920814922620067,0.986080338669696,0.3944321354678784,18.540302448482496,take_profit,9978.947763758542,binance,doge
