direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
short,2026-07-02 16:00:00,2026-07-03 01:13:00,1697.06,1714.0306,0.589254357535974,-10.000000000000062,1.005,0.402,-11.407000000000062,stop_loss,9988.593,binance,eth
short,2026-07-03 02:00:00,2026-07-03 08:43:00,1712.33,1729.4533,0.583333411199944,-9.988592999999984,1.0038535965,0.4015414386,-11.393988035099985,stop_loss,9977.1990119649,binance,eth
short,2026-07-03 10:00:00,2026-07-03 10:43:00,1726.27,1743.5327,0.5779628338536208,-9.977199011964897,1.0027085007024723,0.401083400280989,-11.380990912948358,stop_loss,9965.818021051951,binance,eth
short,2026-07-03 12:00:00,2026-07-03 20:35:00,1742.54,1759.9654,0.5719133001854736,-9.965818021051998,1.001564711115721,0.40062588444628844,-11.368008616614008,stop_loss,9954.450012435338,binance,eth
short,2026-07-03 22:00:00,2026-07-04 15:09:00,1763.46,1781.0946000000001,0.5644840264273269,-9.95445001243539,1.0004222262497515,0.4001688904999007,-11.355041129185041,stop_loss,9943.094971306153,binance,eth
short,2026-07-04 16:00:00,2026-07-05 09:39:00,1791.08,1755.2584,0.5551452180419721,19.886189942612305,0.9843664021593093,0.3937465608637237,18.50807697958927,take_profit,9961.603048285742,binance,eth
short,2026-07-11 20:00:00,2026-07-11 23:35:00,1824.38,1787.8924000000002,0.546026762422617,19.923206096571445,0.9861987017802885,0.39447948071211536,18.54252791407904,take_profit,9980.14557619982,binance,eth
short,2026-07-12 00:00:00,2026-07-12 01:38:00,1787.76,1805.6376,0.5582486226450878,-9.980145576199838,1.003004630408082,0.40120185216323284,-11.384352058771153,stop_loss,9968.76122414105,binance,eth
short,2026-07-14 16:00:00,2026-07-14 22:33:00,1875.22,1893.9722000000002,0.5316048903137258,-9.968761224141119,1.0018605030261756,0.4007442012104703,-11.371365928377765,stop_loss,9957.389858212671,binance,eth
short,2026-07-15 00:00:00,2026-07-15 12:50:00,1891.87,1910.7886999999998,0.5263252685550631,-9.957389858212643,1.0007176807503735,0.4002870723001494,-11.358394611263165,stop_loss,9946.031463601408,binance,eth
short,2026-07-15 16:00:00,2026-07-16 08:10:00,1931.96,1893.3208,0.5148155998882693,19.892062927202854,0.9846571148965394,0.39386284595861576,18.5135429663477,take_profit,9964.545006567756,binance,eth
