direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
long,2026-07-03 03:00:00,2026-07-03 10:12:00,1704.75,1738.845,0.586596275113653,20.000000000000014,1.01,0.40399999999999997,18.586000000000013,take_profit,10018.586,binance,eth
long,2026-07-03 15:00:00,2026-07-03 20:36:00,1737.15,1771.893,0.5767254410960481,20.037171999999963,1.011877186,0.4047508744,18.620543939599962,take_profit,10037.2065439396,binance,eth
long,2026-07-04 14:00:00,2026-07-04 15:09:00,1764.05,1799.331,0.5689865108097616,20.07441308787917,1.0137578609378994,0.4055031443751598,18.655152082566108,take_profit,10055.861696022166,binance,eth
long,2026-07-04 16:00:00,2026-07-04 23:14:00,1791.08,1773.1691999999998,0.5614412363502561,-10.055861696022228,1.0005582387542056,0.4002232955016823,-11.456643230278116,stop_loss,10044.405052791888,binance,eth
long,2026-07-05 09:00:00,2026-07-05 09:43:00,1767.72,1750.0428,0.5682124461335443,-10.044405052791937,0.999418302752793,0.3997673211011172,-11.443590676645849,stop_loss,10032.961462115241,binance,eth
short,2026-07-05 10:00:00,2026-07-05 14:00:00,1757.99,1766.45,0.5707064011806234,-4.828176153988095,1.0057102342885182,0.4022840937154073,-6.236170481992021,reversal,10026.725291633249,binance,eth
long,2026-07-05 14:00:00,2026-07-05 22:21:00,1766.25,1801.575,0.5676843760301911,20.053450583266525,1.0126992544549582,0.40507970178198327,18.635671627029584,take_profit,10045.360963260278,binance,eth
long,2026-07-05 23:00:00,2026-07-06 05:28:00,1789.99,1772.0901,0.5611964850787031,-10.045360963260343,0.9995134158443977,0.3998053663377591,-11.4446797454425,stop_loss,10033.916283514836,binance,eth
short,2026-07-06 07:00:00,2026-07-06 13:02:00,1769.64,1734.2472,0.56700324831688,20.067832567029715,0.9933577120679686,0.3973430848271875,18.677131770134558,take_profit,10052.593415284971,binance,eth
short,2026-07-06 14:00:00,2026-07-06 14:25:00,1744.89,1762.3389000000002,0.576116168657335,-10.052593415285026,1.0102856382361396,0.4041142552944559,-11.46699330881562,stop_loss,10041.126421976156,binance,eth
short,2026-07-06 15:00:00,2026-07-06 15:41:00,1751.79,1769.3079,0.5731923587859364,-10.041126421976188,1.0091332054086037,0.40365328216344154,-11.453912909548233,stop_loss,10029.672509066608,binance,eth
short,2026-07-07 04:00:00,2026-07-07 12:06:00,1771.55,1789.2655,0.5661523811953718,-10.029672509066621,1.0079820871611944,0.4031928348644777,-11.440847431092292,stop_loss,10018.231661635515,binance,eth
long,2026-07-07 13:00:00,2026-07-07 14:00:00,1781.97,1764.1503,0.5621997935787648,-10.018231661635522,0.9968140503327338,0.39872562013309354,-11.41377133210135,stop_loss,10006.817890303413,binance,eth
short,2026-07-07 14:00:00,2026-07-07 14:52:00,1769.02,1786.7102,0.5656701388510822,-10.006817890303417,1.005685197975493,0.40227407919019725,-11.414777167469108,stop_loss,9995.403113135944,binance,eth
short,2026-07-07 22:00:00,2026-07-08 08:18:00,1773.83,1738.3534,0.5634927311600292,19.99080622627187,0.9895449082004586,0.3958179632801835,18.60544335479123,take_profit,10014.008556490735,binance,eth
short,2026-07-08 09:00:00,2026-07-09 01:09:00,1735.32,1752.6732,0.5770698520440458,-10.014008556490746,1.006407859927319,0.40256314397092763,-11.422979560388994,stop_loss,10002.585576930345,binance,eth
short,2026-07-09 02:00:00,2026-07-09 05:59:00,1731.8,1749.118,0.5775831837931832,-10.002585576930336,1.0052598504814998,0.40210394019259993,-11.409949367604435,stop_loss,9991.175627562741,binance,eth
short,2026-07-09 06:00:00,2026-07-09 19:00:00,1749.38,1750.08,0.5711266635929725,-0.39978866451497685,0.9993174570885318,0.39972698283541275,-1.7988331044389216,reversal,9989.376794458303,binance,eth
long,2026-07-09 19:00:00,2026-07-09 20:00:00,1751.56,1748.84,0.5703131376863084,-1.5512517345067744,0.9981620535785769,0.39926482143143077,-2.948678609516782,reversal,9986.428115848787,binance,eth
short,2026-07-09 20:00:00,2026-07-10 01:48:00,1748.51,1765.9951,0.5711393195262702,-9.986428115848845,1.0036360256428032,0.40145441025712125,-11.39151855174877,stop_loss,9975.036597297038,binance,eth
long,2026-07-10 03:00:00,2026-07-10 13:52:00,1772.87,1808.3274,0.5626490716914968,19.950073194594083,1.0074786963270008,0.4029914785308004,18.53960301973628,take_profit,9993.576200316775,binance,eth
long,2026-07-10 15:00:00,2026-07-11 15:11:00,1785.06,1820.7612,0.5598453945703099,19.987152400633533,1.0093511962319943,0.4037404784927977,18.574060725908744,take_profit,10012.150261042683,binance,eth
short,2026-07-12 00:00:00,2026-07-12 01:38:00,1787.76,1805.6376,0.560038834130011,-10.0121502610427,1.00622110123479,0.40248844049391597,-11.420859802771407,stop_loss,10000.729401239912,binance,eth
long,2026-07-12 05:00:00,2026-07-12 07:00:00,1805.92,1794.72,0.5537747741450293,-6.202277470424353,0.9969718013887792,0.3987887205555117,-7.598037992368644,reversal,9993.131363247543,binance,eth
short,2026-07-12 07:00:00,2026-07-12 14:46:00,1795.14,1813.0914,0.556676992504626,-9.9931313632475,1.004309702006378,0.4017238808025513,-11.399164946056429,stop_loss,9981.732198301486,binance,eth
long,2026-07-12 16:00:00,2026-07-12 22:01:00,1820.94,1802.7306,0.5481637065637246,-9.981732198301465,0.9931823537309981,0.3972729414923992,-11.372187493524862,stop_loss,9970.36001080796,binance,eth
short,2026-07-12 23:00:00,2026-07-13 00:10:00,1805.05,1823.1005,0.5523592150249557,-9.970360010807994,1.0020211810862003,0.4008084724344801,-11.373189664328674,stop_loss,9958.986821143631,binance,eth
short,2026-07-13 02:00:00,2026-07-13 12:35:00,1806.84,1770.7032,0.5511825519217879,19.91797364228726,0.9859396952932196,0.3943758781172878,18.537658068876755,take_profit,9977.524479212509,binance,eth
short,2026-07-13 13:00:00,2026-07-14 01:23:00,1772.33,1790.0533,0.5629608751876066,-9.977524479212569,1.002741210160857,0.40109648406434284,-11.381362173437768,stop_loss,9966.143117039072,binance,eth
short,2026-07-14 02:00:00,2026-07-14 10:57:00,1784.83,1802.6783,0.558380524589965,-9.966143117039133,1.0015973832624268,0.40063895330497074,-11.36837945360653,stop_loss,9954.774737585465,binance,eth
long,2026-07-14 14:00:00,2026-07-15 12:50:00,1871.3,1908.7259999999999,0.5319710755937298,19.909549475170895,1.005432248496132,0.4021728993984528,18.501944327276313,take_profit,9973.276681912741,binance,eth
long,2026-07-16 03:00:00,2026-07-16 07:40:00,1925.36,1906.1064,0.5179954232929292,-9.973276681912745,0.9923410298503179,0.3969364119401272,-11.36255412370319,stop_loss,9961.914127789038,binance,eth
short,2026-07-16 10:00:00,2026-07-17 02:09:00,1884.68,1846.9864,0.5285732393716195,19.92382825557811,0.9862294986511149,0.39449179946044594,18.54310695746655,take_profit,9980.457234746504,binance,eth
short,2026-07-17 03:00:00,2026-07-17 13:11:00,1848.09,1811.1281999999999,0.5400417314495779,19.96091446949303,0.9880652662399039,0.39522610649596157,18.577623096757165,take_profit,9999.03485784326,binance,eth
short,2026-07-17 14:00:00,2026-07-17 17:06:00,1825.5,1843.755,0.5477422546065879,-9.999034857843322,1.0049030032132478,0.40196120128529916,-11.405899062341868,stop_loss,9987.628958780919,binance,eth
short,2026-07-17 18:00:00,2026-07-18 18:00:00,1843.72,1852.23,0.5417107239049812,-4.609958260431386,1.0010678750083077,0.4004271500033231,-6.011453285443016,reversal,9981.617505495477,binance,eth
long,2026-07-18 18:00:00,2026-07-20 00:13:00,1852.83,1889.8866,0.5387227919180647,19.96323501099102,1.0081433680550433,0.40325734722201734,18.55183429571396,take_profit,10000.169339791191,binance,eth
