direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
short,2026-07-01 14:15:00,2026-07-01 15:23:00,1613.17,1629.3017,0.6198974689586342,-9.999999999999943,1.005,0.402,-11.406999999999941,stop_loss,9988.593,binance,eth
short,2026-07-01 22:15:00,2026-07-01 22:21:00,1629.46,1645.7546,0.6130001963840782,-9.988592999999968,1.0038535965000002,0.4015414386,-11.39398803509997,stop_loss,9977.1990119649,binance,eth
long,2026-07-02 00:30:00,2026-07-02 03:28:00,1603.01,1635.0702,0.6224040406463404,19.954398023929876,1.007697100208455,0.403078840083382,18.54362208363804,take_profit,9995.742634048538,binance,eth
short,2026-07-02 04:15:00,2026-07-02 11:11:00,1635.94,1652.2994,0.6110091222201632,-9.99574263404857,1.0045721347218781,0.4018288538887513,-11.4021436226592,stop_loss,9984.340490425879,binance,eth
short,2026-07-02 11:30:00,2026-07-02 12:29:00,1647.86,1664.3385999999998,0.6058973754096756,-9.98434049042583,1.0034262192878007,0.4013704877151204,-11.38913719742875,stop_loss,9972.951353228449,binance,eth
short,2026-07-02 12:45:00,2026-07-02 13:19:00,1659.85,1676.4485,0.600834494275293,-9.972951353228487,1.0022816109994592,0.4009126443997837,-11.376145608627729,stop_loss,9961.57520761982,binance,eth
short,2026-07-02 13:30:00,2026-07-02 13:34:00,1682.38,1699.2038000000002,0.5921120797691259,-9.961575207619891,1.001138308365792,0.40045532334631684,-11.363168839332001,stop_loss,9950.212038780488,binance,eth
short,2026-07-02 13:45:00,2026-07-03 08:43:00,1710.48,1727.5848,0.581720455005641,-9.950212038780528,0.9999963098974389,0.3999985239589756,-11.350206872636942,stop_loss,9938.86183190785,binance,eth
short,2026-07-03 09:00:00,2026-07-03 10:12:00,1719.89,1737.0889000000002,0.5778777614793883,-9.938861831907905,0.9988556141067392,0.3995422456426957,-11.33725969165734,stop_loss,9927.524572216193,binance,eth
short,2026-07-03 21:00:00,2026-07-04 15:09:00,1766.15,1783.8115,0.5620997408043593,-9.927524572216154,0.9977162195077274,0.399086487803091,-11.324327279526972,stop_loss,9916.200244936666,binance,eth
short,2026-07-04 15:30:00,2026-07-05 02:00:00,1793.5,1767.09,0.5528965846075644,14.601998799485822,0.9843190250939239,0.39372761003756956,13.223952164354328,reversal,9929.424197101021,binance,eth
long,2026-07-05 02:00:00,2026-07-05 09:43:00,1766.61,1748.9439,0.5620609074499194,-9.929424197100975,0.9879777076115517,0.39519108304462064,-11.312592987757148,stop_loss,9918.111604113265,binance,eth
long,2026-07-05 10:00:00,2026-07-05 15:30:00,1757.99,1775.8,0.5641733800597992,10.047927898864993,0.9968351243607589,0.3987340497443036,8.65235872475993,reversal,9926.763962838024,binance,eth
short,2026-07-05 15:30:00,2026-07-05 21:56:00,1774.69,1792.4369000000002,0.5593519974101406,-9.926763962838079,0.9976397782652217,0.39905591130608864,-11.32345965240939,stop_loss,9915.440503185615,binance,eth
short,2026-07-05 22:45:00,2026-07-06 10:00:00,1789.73,1760.3,0.5540187907218193,16.304773010943176,0.98339166381309,0.39335666552523607,14.92802468160485,reversal,9930.36852786722,binance,eth
