direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
long,2026-07-03 04:00:00,2026-07-03 11:00:00,43.22,43.57,23.137436372049976,8.098102730217525,1.0040490513651086,0.4016196205460435,6.692434058306373,reversal,10006.692434058306,binance,ltc
short,2026-07-03 11:00:00,2026-07-03 17:12:00,43.57,44.0057,22.96693237103123,-10.006692434058241,1.00567258962286,0.402269035849144,-11.414634059530245,stop_loss,9995.277799998776,binance,ltc
long,2026-07-04 07:00:00,2026-07-04 09:00:00,44.21,44.49,22.608635602802025,6.330417968784593,1.0026929889842697,0.40107719559370797,4.926647784206614,reversal,10000.204447782982,binance,ltc
short,2026-07-04 09:00:00,2026-07-04 10:00:00,44.51,44.27,22.467320709465252,5.392156970271546,0.9973243662931626,0.39892974651726504,3.9959028574611177,reversal,10004.200350640444,binance,ltc
long,2026-07-04 10:00:00,2026-07-04 13:00:00,44.29,44.54,22.587943893972554,5.6469859734931385,1.003243528050791,0.4012974112203164,4.2424450342220315,reversal,10008.442795674666,binance,ltc
short,2026-07-04 13:00:00,2026-07-04 14:00:00,44.53,44.36,22.4757305090381,3.8208741865365154,0.9989338424741984,0.39957353698967935,2.4223668070726374,reversal,10010.865162481738,binance,ltc
long,2026-07-04 14:00:00,2026-07-04 15:00:00,44.34,44.81,22.577503749394985,10.611426762215617,1.0063922296292818,0.4025568918517127,9.202477640734621,reversal,10020.067640122472,binance,ltc
short,2026-07-04 15:00:00,2026-07-04 16:05:00,44.8,45.248,22.366222410987664,-10.020067640122482,1.0070167978323084,0.40280671913292343,-11.429891157087715,stop_loss,10008.637748965384,binance,ltc
long,2026-07-05 01:00:00,2026-07-05 12:00:00,44.42,44.77,22.53182744026426,7.886139604092523,1.0048068446985847,0.4019227378794339,6.4794100215145045,reversal,10015.117158986899,binance,ltc
short,2026-07-05 12:00:00,2026-07-05 14:56:00,44.79,45.237899999999996,22.360163337769368,-10.015117158986834,1.0065192744781832,0.40260770979127336,-11.42424414325629,stop_loss,10003.692914843643,binance,ltc
long,2026-07-06 05:00:00,2026-07-06 08:36:00,45.17,44.7183,22.146763149974856,-10.003692914843697,0.9953674450269424,0.398146978010777,-11.397207337881417,stop_loss,9992.295707505762,binance,ltc
short,2026-07-06 17:00:00,2026-07-07 00:00:00,45.18,44.86,22.1166350321066,7.077323210274119,0.9956909091454391,0.39827636365817565,5.6833559374705045,reversal,9997.979063443232,binance,ltc
long,2026-07-07 00:00:00,2026-07-07 01:00:00,44.85,44.94,22.292038045581343,2.0062834241022385,1.0008010480563745,0.4003204192225498,0.6051619568233142,reversal,9998.584225400054,binance,ltc
short,2026-07-07 01:00:00,2026-07-07 02:00:00,44.96,44.72,22.23884391770475,5.3373225402491835,0.997189761269881,0.3988759045079524,3.9412568744713505,reversal,10002.525482274526,binance,ltc
long,2026-07-07 02:00:00,2026-07-07 03:16:00,44.71,44.2629,22.372009577889795,-10.002525482274503,0.9952512854863155,0.39810051419452624,-11.395877281955345,stop_loss,9991.129604992571,binance,ltc
short,2026-07-07 16:00:00,2026-07-07 19:00:00,44.7,43.97,22.351520369110897,16.316609869451042,0.9909546555645317,0.39638186222581273,14.929273351660699,reversal,10006.058878344233,binance,ltc
long,2026-07-07 19:00:00,2026-07-08 01:36:00,44.06,43.6194,22.710074621752685,-10.00605887834431,0.9956028583952512,0.3982411433581005,-11.399902880097663,stop_loss,9994.658975464135,binance,ltc
short,2026-07-09 00:00:00,2026-07-09 03:00:00,43.66,43.47,22.892026970829445,4.3494851244575425,0.9972911549841847,0.3989164619936739,2.953277507479684,reversal,9997.612252971616,binance,ltc
long,2026-07-09 03:00:00,2026-07-09 04:00:00,43.47,43.72,22.998877968648763,5.749719492162191,1.002636085043243,0.4010544340172971,4.346028973101651,reversal,10001.958281944717,binance,ltc
short,2026-07-09 04:00:00,2026-07-09 05:11:00,43.71,44.1471,22.88254010968821,-10.001958281944738,1.005196807335444,0.4020787229341777,-11.40923381221436,stop_loss,9990.549048132503,binance,ltc
long,2026-07-09 22:00:00,2026-07-09 23:00:00,43.92,43.94,22.747151748935572,0.45494303497862093,0.9992823763307397,0.3997129505322959,-0.9440522918844145,reversal,9989.604995840618,binance,ltc
short,2026-07-09 23:00:00,2026-07-10 00:00:00,43.95,43.79,22.729476668579334,3.6367162669727775,0.9971421414505754,0.3988568565802302,2.240717268941972,reversal,9991.84571310956,binance,ltc
long,2026-07-10 00:00:00,2026-07-10 02:00:00,43.79,44.17,22.81764264240594,8.670704204114315,1.0035199234130132,0.4014079693652053,7.265776311336097,reversal,9999.111489420897,binance,ltc
short,2026-07-10 02:00:00,2026-07-10 05:24:00,44.19,44.631899999999995,22.627543537951794,-9.999111489420827,1.0049107046868002,0.4019642818747201,-11.405986475982347,stop_loss,9987.705502944915,binance,ltc
long,2026-07-12 00:00:00,2026-07-12 15:00:00,44.64,44.81,22.373892255700973,3.8035616834692036,1.0006723311362262,0.40026893245449047,2.402620419878487,reversal,9990.108123364793,binance,ltc
short,2026-07-12 15:00:00,2026-07-12 18:00:00,44.83,44.57,22.284425883035453,5.793950729589174,0.9961138369716848,0.3984455347886739,4.399391357828815,reversal,9994.507514722622,binance,ltc
long,2026-07-12 18:00:00,2026-07-12 20:00:00,44.54,44.67,22.439397204137006,2.917121636537868,1.0009093122905313,0.40036372491621247,1.5158485993311244,reversal,9996.023363321952,binance,ltc
short,2026-07-12 20:00:00,2026-07-12 21:00:00,44.65,44.62,22.387510332188025,0.6716253099656662,0.9992665236772125,0.399706609470885,-0.7273478231824313,reversal,9995.29601549877,binance,ltc
long,2026-07-12 21:00:00,2026-07-12 22:00:00,44.61,44.1639,22.40595385675582,-9.995296015498798,0.9945319535421276,0.39781278141685106,-11.387640750457777,stop_loss,9983.908374748313,binance,ltc
short,2026-07-14 00:00:00,2026-07-14 12:30:00,43.57,44.0057,22.91463937284442,-9.983908374748246,1.0033827916622056,0.4013531166648822,-11.388644283075335,stop_loss,9972.519730465237,binance,ltc
long,2026-07-15 17:00:00,2026-07-16 03:00:00,45.17,45.32,22.0777501227922,3.3116625184187987,0.9989078043057331,0.39956312172229325,1.9131915923907723,reversal,9974.432922057627,binance,ltc
short,2026-07-16 03:00:00,2026-07-16 04:00:00,45.32,45.2,22.008898768882673,2.6410678522658646,0.9961227582796298,0.39844910331185196,1.2464959906743827,reversal,9975.679418048301,binance,ltc
