direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
long,2026-07-02 12:00:00,2026-07-02 13:00:00,43.02,43.25,23.24500232450023,5.34635053463498,1.0026731752673175,0.40106927010692706,3.942608089260735,reversal,10003.94260808926,binance,ltc
short,2026-07-02 13:00:00,2026-07-02 13:35:00,43.24,43.6724,23.135852470141675,-10.003942608089288,1.0053962321129708,0.40215849284518834,-11.411497333047446,stop_loss,9992.531110756214,binance,ltc
long,2026-07-02 14:00:00,2026-07-02 22:00:00,43.63,43.41,22.902890467009428,-5.038635902742211,0.9967337931242504,0.39869351724970015,-6.434063213116161,reversal,9986.097047543097,binance,ltc
short,2026-07-02 22:00:00,2026-07-03 01:36:00,43.42,43.8542,22.99884165716973,-9.986097047543028,1.0036027532780813,0.40144110131123256,-11.391140902132342,stop_loss,9974.705906640964,binance,ltc
long,2026-07-03 15:00:00,2026-07-03 20:17:00,43.62,44.492399999999996,22.867276264651455,19.949411813281905,1.0074452965707374,0.40297811862829497,18.538988398082875,take_profit,9993.244895039046,binance,ltc
short,2026-07-04 05:00:00,2026-07-04 15:09:00,44.52,44.9652,22.44664172290891,-9.993244895039043,1.0043211119514244,0.40172844478056974,-11.399294451771038,stop_loss,9981.845600587276,binance,ltc
long,2026-07-04 17:00:00,2026-07-04 20:22:00,45.36,44.9064,22.00583245279382,-9.98184560058731,0.9931936372584339,0.3972774549033736,-11.372316692749118,stop_loss,9970.473283894527,binance,ltc
short,2026-07-05 01:00:00,2026-07-05 12:15:00,44.42,44.864200000000004,22.445910139339322,-9.970473283894576,1.0020325650314,0.40081302601256,-11.373318874938535,stop_loss,9959.099965019588,binance,ltc
long,2026-07-05 14:00:00,2026-07-05 16:14:00,44.92,45.818400000000004,22.170747918565425,19.91819993003923,1.0058690964669785,0.40234763858679146,18.50998319498546,take_profit,9977.609948214573,binance,ltc
short,2026-07-06 05:00:00,2026-07-06 12:02:00,45.17,44.266600000000004,22.089019145925555,19.955219896429096,0.9877833848732428,0.39511335394929714,18.572323157606554,take_profit,9996.18227137218,binance,ltc
