direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
short,2026-07-02 21:00:00,2026-07-02 21:06:00,0.0432,0.043632000000000004,23148.148148148146,-10.00000000000004,1.005,0.402,-11.40700000000004,stop_loss,9988.593,binance,mina
long,2026-07-02 22:00:00,2026-07-02 22:22:00,0.0432,0.042768,23121.743055555555,-9.988593000000042,0.9938650035,0.39754600139999996,-11.380004004900043,stop_loss,9977.2129959951,binance,mina
short,2026-07-03 00:00:00,2026-07-03 02:12:00,0.0428,0.043227999999999996,23311.245317745565,-9.977212995995052,1.0027099060975075,0.401083962439003,-11.381006864531562,stop_loss,9965.83198913057,binance,mina
long,2026-07-03 09:00:00,2026-07-03 10:48:00,0.0438,0.044676,22753.04107107436,19.93166397826118,1.0065490309021876,0.402619612360875,18.522495334998116,take_profit,9984.354484465568,binance,mina
short,2026-07-03 18:00:00,2026-07-03 18:42:00,0.0451,0.045551,22138.25828041146,-9.98435448446557,1.0034276256887897,0.4013710502755159,-11.389153160429876,stop_loss,9972.965331305139,binance,mina
long,2026-07-03 19:00:00,2026-07-03 21:53:00,0.0454,0.046308,21966.883989658894,19.945930662610255,1.007269498461819,0.40290779938472765,18.535753364763707,take_profit,9991.501084669902,binance,mina
short,2026-07-04 06:00:00,2026-07-04 08:40:00,0.0457,0.046157,21863.24088549213,-9.991501084669883,1.0041458590093253,0.4016583436037301,-11.397305287282938,stop_loss,9980.10377938262,binance,mina
long,2026-07-04 19:00:00,2026-07-04 19:28:00,0.0478,0.047322,20878.87819954523,-9.980103779382604,0.9930203260485708,0.3972081304194283,-11.370332235850604,stop_loss,9968.73344714677,binance,mina
short,2026-07-04 22:00:00,2026-07-05 01:14:00,0.0471,0.046158000000000005,21165.039165916707,19.937466894293504,0.9869046112675302,0.3947618445070121,18.55580043851896,take_profit,9987.289247585288,binance,mina
long,2026-07-05 12:00:00,2026-07-05 12:19:00,0.0475,0.047025,21025.872100179553,-9.987289247585355,0.9937352801347361,0.3974941120538945,-11.378518639773986,stop_loss,9975.910728945513,binance,mina
short,2026-07-05 16:00:00,2026-07-05 17:24:00,0.0465,0.046965,21453.57146009788,-9.975910728945516,1.0025790282590241,0.40103161130360965,-11.37952136850815,stop_loss,9964.531207577005,binance,mina
long,2026-07-05 21:00:00,2026-07-05 22:16:00,0.0477,0.048654,20890.00253160798,19.929062415154085,1.0064176519652777,0.40256706078611115,18.520077702402695,take_profit,9983.051285279407,binance,mina
short,2026-07-06 05:00:00,2026-07-06 06:10:00,0.0475,0.047975000000000004,21016.950074272438,-9.983051285279474,1.0032966541705806,0.4013186616682322,-11.387666601118289,stop_loss,9971.663618678289,binance,mina
long,2026-07-06 09:00:00,2026-07-06 09:11:00,0.0483,0.047817000000000005,20645.2662912594,-9.971663618678233,0.9921805300584898,0.39687221202339595,-11.360716360760119,stop_loss,9960.30290231753,binance,mina
short,2026-07-06 12:00:00,2026-07-06 12:05:00,0.0476,0.046648,20925.006097305733,19.920605804635088,0.9860699873294354,0.39442799493177416,18.540107822373876,take_profit,9978.843010139903,binance,mina
long,2026-07-06 16:00:00,2026-07-06 16:31:00,0.0498,0.050796,20037.837369758843,19.957686020279883,1.0078631440241304,0.40314525760965214,18.5466776186461,take_profit,9997.389687758548,binance,mina
short,2026-07-07 03:00:00,2026-07-07 08:56:00,0.0497,0.048706,20115.472208769716,19.994779375517133,0.9897415790880963,0.3958966316352386,18.609141164793797,take_profit,10015.998828923342,binance,mina
long,2026-07-08 12:00:00,2026-07-08 12:50:00,0.0475,0.047025,21086.313324049144,-10.015998828923411,0.9965918834778726,0.39863675339114907,-11.411227465792432,stop_loss,10004.58760145755,binance,mina
short,2026-07-09 03:00:00,2026-07-09 03:24:00,0.0447,0.045147,22381.62774375291,-10.004587601457617,1.0054610539464839,0.4021844215785936,-11.412233076982695,stop_loss,9993.175368380567,binance,mina
