direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
long,2026-07-03 05:00:00,2026-07-03 06:00:00,80.5,81.13,12.422360248447205,7.826086956521683,1.0039130434782608,0.40156521739130435,6.420608695652118,reversal,10006.420608695653,binance,sol
short,2026-07-03 06:00:00,2026-07-03 07:00:00,81.16,80.99,12.329251612488484,2.095972774123063,0.9995940744825038,0.3998376297930015,0.6965410698475578,reversal,10007.1171497655,binance,sol
long,2026-07-03 07:00:00,2026-07-03 08:00:00,80.97,81.22,12.35904304034272,3.08976076008568,1.0022565953565927,0.40090263814263716,1.68660152658645,reversal,10008.803751292086,binance,sol
short,2026-07-03 08:00:00,2026-07-03 15:08:00,81.23,82.04230000000001,12.321560693453263,-10.008803751292179,1.0058847770048547,0.4023539108019419,-11.417042439098976,stop_loss,9997.386708852986,binance,sol
long,2026-07-04 10:00:00,2026-07-04 18:00:00,81.74,82.51,12.230715327689,9.417650802320654,1.0044474962864591,0.40177899851458365,8.011424307519611,reversal,10005.398133160506,binance,sol
short,2026-07-04 18:00:00,2026-07-04 19:00:00,82.53,82.28,12.123346823167946,3.0308367057919865,0.9990243949631545,0.3996097579852619,1.63220255284357,reversal,10007.03033571335,binance,sol
long,2026-07-04 19:00:00,2026-07-05 00:21:00,82.27,81.4473,12.16364450676231,-10.007030335713322,0.9956995184034785,0.39827980736139146,-11.401009661478192,stop_loss,9995.629326051872,binance,sol
short,2026-07-05 14:00:00,2026-07-05 21:30:00,81.25,82.0625,12.302313016679228,-9.995629326051873,1.0045607472682132,0.4018242989072853,-11.402014372227372,stop_loss,9984.227311679644,binance,sol
long,2026-07-06 03:00:00,2026-07-06 05:31:00,81.01,80.1999,12.324684991580847,-9.984227311679714,0.9934306175121246,0.39737224700484985,-11.375030176196688,stop_loss,9972.852281503447,binance,sol
short,2026-07-06 16:00:00,2026-07-06 16:16:00,81.5,82.315,12.236628566261897,-9.97285228150342,1.0022716542910963,0.4009086617164386,-11.376032597510955,stop_loss,9961.476248905936,binance,sol
long,2026-07-07 04:00:00,2026-07-07 07:00:00,81.05,81.55,12.29053207761374,6.14526603880687,0.9992202579099971,0.39968810316399883,4.746357677732875,reversal,9966.22260658367,binance,sol
short,2026-07-07 07:00:00,2026-07-07 09:00:00,81.55,81.2,12.220996451972617,4.277348758190347,0.9944835862792718,0.3977934345117087,2.8850717373993664,reversal,9969.107678321068,binance,sol
long,2026-07-07 09:00:00,2026-07-07 15:00:00,81.28,81.79,12.265142320769032,6.255222583592269,1.0000383791239031,0.40001535164956126,4.855168852818805,reversal,9973.962847173887,binance,sol
short,2026-07-07 15:00:00,2026-07-07 17:29:00,81.81,82.6281,12.191618197254476,-9.973962847173901,1.0023832661409757,0.40095330645639027,-11.377299419771267,stop_loss,9962.585547754115,binance,sol
long,2026-07-07 19:00:00,2026-07-07 22:00:00,81.3,80.487,12.25410276476521,-9.962585547754145,0.9912772620015347,0.39651090480061385,-11.350373714556294,stop_loss,9951.235174039559,binance,sol
short,2026-07-09 00:00:00,2026-07-09 01:09:00,77.83,78.6083,12.785860431760966,-9.95123517403958,1.0000991349909758,0.4000396539963903,-11.351373963026946,stop_loss,9939.883800076532,binance,sol
long,2026-07-09 02:00:00,2026-07-09 04:00:00,77.35,77.31,12.850528506886274,-0.5140211402753487,0.9937313694375156,0.3974925477750062,-1.9052450574878705,reversal,9937.978555019045,binance,sol
short,2026-07-09 04:00:00,2026-07-09 05:11:00,77.39,78.1639,12.841424673755064,-9.937978555019013,0.9987668447794139,0.3995067379117656,-11.336252137710193,stop_loss,9926.642302881335,binance,sol
long,2026-07-09 13:00:00,2026-07-09 14:00:00,77.64,78.24,12.785474372593168,7.671284623555828,0.9964998725999115,0.39859994903996465,6.276184801915952,reversal,9932.918487683251,binance,sol
short,2026-07-09 14:00:00,2026-07-09 16:00:00,78.22,77.67,12.698694052267006,6.984281728746818,0.9897997079039519,0.3959198831615808,5.598562137681285,reversal,9938.517049820934,binance,sol
long,2026-07-09 16:00:00,2026-07-09 18:00:00,77.63,78.09,12.802417943863114,5.889112254177134,0.9967962611091821,0.39871850444367285,4.493597488624279,reversal,9943.010647309558,binance,sol
short,2026-07-09 18:00:00,2026-07-10 01:48:00,78.06,78.84060000000001,12.737651354483164,-9.943010647309645,0.9992725700546107,0.39970902802184427,-11.3419922453861,stop_loss,9931.668655064172,binance,sol
long,2026-07-10 15:00:00,2026-07-11 09:00:00,77.9,78.18,12.7492537292223,3.5697910441822582,0.9949517610285084,0.3979807044114034,2.1768585787423467,reversal,9933.845513642915,binance,sol
short,2026-07-11 09:00:00,2026-07-11 10:00:00,78.16,77.82,12.709628343964836,4.321273636948088,0.9912239145458175,0.396489565818327,2.933560156583943,reversal,9936.779073799498,binance,sol
long,2026-07-11 10:00:00,2026-07-11 11:00:00,77.84,78.01,12.765646292137074,2.1701598696633244,0.9947629873147816,0.3979051949259126,0.7774916874226302,reversal,9937.55656548692,binance,sol
short,2026-07-11 11:00:00,2026-07-11 15:21:00,78.05,78.8305,12.732295407414377,-9.937556565486966,0.9987244348314355,0.39948977393257423,-11.335770774250976,stop_loss,9926.22079471267,binance,sol
long,2026-07-11 17:00:00,2026-07-11 18:00:00,77.93,78.08,12.737355055450623,1.9106032583174848,0.9935773811004259,0.39743095244017035,0.5195949247768885,reversal,9926.740389637447,binance,sol
short,2026-07-11 18:00:00,2026-07-11 23:00:00,78.08,77.88,12.713550703941404,2.542710140788317,0.9914026838933507,0.39656107355734027,1.154746383337626,reversal,9927.895136020785,binance,sol
long,2026-07-11 23:00:00,2026-07-11 23:26:00,77.89,77.1111,12.746045880113988,-9.927895136020878,0.9878255660340681,0.3951302264136273,-11.310850928468573,stop_loss,9916.584285092316,binance,sol
short,2026-07-12 13:00:00,2026-07-12 23:00:00,77.19,76.7,12.846980548118044,6.295020468577776,0.9885109182749429,0.3954043673099772,4.911105182992856,reversal,9921.49539027531,binance,sol
long,2026-07-12 23:00:00,2026-07-13 01:00:00,76.77,77.44,12.923662094926808,8.658853603600983,0.9964789658293315,0.39859158633173264,7.263783051439919,reversal,9928.759173326749,binance,sol
short,2026-07-13 01:00:00,2026-07-13 02:00:00,77.52,76.33,12.80799686961655,15.241516274843667,0.9852551591952532,0.39410206367810124,13.862159051970313,reversal,9942.62133237872,binance,sol
long,2026-07-13 02:00:00,2026-07-13 03:34:00,76.32,75.5568,13.027543674500421,-9.94262133237869,0.9892908225716828,0.3957163290286731,-11.327628483979046,stop_loss,9931.29370389474,binance,sol
short,2026-07-14 06:00:00,2026-07-14 07:00:00,75.41,75.14,13.169730412272564,3.55582721131354,0.9913514567838173,0.3965405827135269,2.167935171816196,reversal,9933.461639066556,binance,sol
long,2026-07-14 07:00:00,2026-07-14 11:00:00,75.16,75.4,13.216420488380198,3.1719409172113675,0.9949321343652613,0.3979728537461046,1.7790359291000013,reversal,9935.240674995655,binance,sol
short,2026-07-14 11:00:00,2026-07-14 12:34:00,75.48,76.2348,13.16274599231009,-9.935240674995695,0.9984916878370635,0.3993966751348254,-11.333129037967584,stop_loss,9923.907545957687,binance,sol
long,2026-07-15 10:00:00,2026-07-15 13:00:00,77.49,78.24,12.806694471490113,9.605020853617585,0.9971932650225777,0.39887730600903104,8.208950282585977,reversal,9932.116496240273,binance,sol
short,2026-07-15 13:00:00,2026-07-15 17:00:00,78.28,77.66,12.687936249668208,7.866520474794347,0.9892783893866302,0.3957113557546521,6.481530729653065,reversal,9938.598026969927,binance,sol
long,2026-07-15 17:00:00,2026-07-15 18:00:00,77.63,77.89,12.802522255532562,3.3286557864385315,0.995524130590212,0.39820965223608484,1.9349220036122348,reversal,9940.53294897354,binance,sol
short,2026-07-15 18:00:00,2026-07-15 19:00:00,77.82,77.57,12.773750898192677,3.1934377245481693,0.99245657603508,0.396982630414032,1.8039985180990574,reversal,9942.336947491638,binance,sol
long,2026-07-15 19:00:00,2026-07-16 00:43:00,77.59,76.8141,12.813941161865754,-9.94233694749173,0.989262526275418,0.39570501051016727,-11.327304484277315,stop_loss,9931.00964300736,binance,sol
short,2026-07-17 17:00:00,2026-07-18 06:00:00,74.95,74.92,13.250179643772329,0.3975053893131849,0.9929022116060795,0.3971608846424318,-0.9925577069353264,reversal,9930.017085300426,binance,sol
long,2026-07-18 06:00:00,2026-07-18 07:00:00,74.93,74.97,13.252391679301248,0.5300956671719445,0.9932667563636286,0.3973067025454514,-0.8604777917371356,reversal,9929.156607508688,binance,sol
short,2026-07-18 07:00:00,2026-07-18 08:00:00,74.98,74.92,13.242406785154293,0.7945444071092876,0.9925183885473143,0.39700735541892573,-0.5949813368569524,reversal,9928.561626171831,binance,sol
long,2026-07-18 08:00:00,2026-07-18 17:00:00,74.97,75.15,13.243379520037124,2.3838083136067727,0.9940480667739866,0.3976192267095946,0.9921410201231915,reversal,9929.553767191954,binance,sol
short,2026-07-18 17:00:00,2026-07-19 02:03:00,75.17,75.9217,13.209463572159045,-9.92955376719195,0.9979201536027914,0.3991680614411166,-11.326641982235857,stop_loss,9918.227125209718,binance,sol
