direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
long,2026-07-03 07:00:00,2026-07-03 19:38:00,80.97,82.5894,12.350253180190194,19.999999999999986,1.01,0.404,18.585999999999984,take_profit,10018.586,binance,sol
short,2026-07-04 13:00:00,2026-07-04 15:47:00,81.59,82.4059,12.279183723495526,-10.01858599999999,1.006867893,0.4027471572,-11.428201050199991,stop_loss,10007.1577989498,binance,sol
long,2026-07-04 19:00:00,2026-07-05 00:21:00,82.27,81.4473,12.163799439588916,-10.007157798949772,0.9957122009955053,0.3982848803982021,-11.40115488034348,stop_loss,9995.756644069457,binance,sol
short,2026-07-05 01:00:00,2026-07-05 09:43:00,81.31,79.6838,12.293391518963789,19.99151328813888,0.9895799077628764,0.39583196310515056,18.60610141727085,take_profit,10014.362745486727,binance,sol
short,2026-07-05 10:00:00,2026-07-05 12:14:00,79.9,80.69900000000001,12.533620457430198,-10.01436274548681,1.0064434559214164,0.40257738236856655,-11.423383583776793,stop_loss,10002.93936190295,binance,sol
short,2026-07-05 13:00:00,2026-07-05 14:43:00,80.76,81.56760000000001,12.386007134599987,-10.002939361903048,1.0052954058712467,0.4021181623484987,-11.410352930122793,stop_loss,9991.529008972828,binance,sol
short,2026-07-05 15:00:00,2026-07-05 22:20:00,81.45,82.2645,12.2670706064737,-9.99152900897277,1.0041486654017695,0.40165946616070775,-11.397337140535248,stop_loss,9980.131671832292,binance,sol
short,2026-07-06 00:00:00,2026-07-06 12:03:00,81.59,79.9582,12.232052545449555,19.960263343664565,0.988033035511397,0.3952132142045588,18.57701709394861,take_profit,9998.708688926241,binance,sol
short,2026-07-06 13:00:00,2026-07-06 13:44:00,79.46,80.2546,12.583323293388172,-9.998708688926275,1.0048702232370874,0.40194808929483494,-11.405527001458198,stop_loss,9987.303161924783,binance,sol
short,2026-07-06 14:00:00,2026-07-06 15:41:00,80.17,80.9717,12.457656432486944,-9.987303161924743,1.0037239677734406,0.4014895871093763,-11.39251671680756,stop_loss,9975.910645207976,binance,sol
long,2026-07-07 02:00:00,2026-07-07 03:43:00,81.9,81.081,12.180599078398018,-9.975910645208009,0.9926031091981937,0.3970412436792775,-11.36555499808548,stop_loss,9964.545090209891,binance,sol
short,2026-07-07 04:00:00,2026-07-07 07:00:00,81.05,81.55,12.294318433324975,-6.147159216662487,0.9995280886293204,0.39981123545172814,-7.546498540743536,reversal,9956.998591669148,binance,sol
long,2026-07-07 07:00:00,2026-07-07 11:00:00,81.55,80.83,12.209685581445921,-8.790973618641049,0.9913043723575943,0.3965217489430377,-10.178799739941681,reversal,9946.819791929205,binance,sol
short,2026-07-07 11:00:00,2026-07-07 12:07:00,80.99,81.7999,12.281540674069893,-9.946819791929194,0.9996553890888852,0.39986215563555405,-11.346337336653633,stop_loss,9935.473454592551,binance,sol
long,2026-07-07 13:00:00,2026-07-07 14:00:00,81.45,80.63550000000001,12.198248563035667,-9.935473454592493,0.9885796087319589,0.3954318434927836,-11.319484906817236,stop_loss,9924.153969685734,binance,sol
short,2026-07-07 14:00:00,2026-07-07 14:53:00,80.85,81.65849999999999,12.274772998992871,-9.924153969685676,0.9973774739534165,0.39895098958136654,-11.32048243322046,stop_loss,9912.833487252514,binance,sol
