direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
long,2026-07-02 12:00:00,2026-07-02 12:31:00,82.37,81.5463,12.140342357654486,-10.000000000000028,0.9950000000000001,0.398,-11.393000000000029,stop_loss,9988.607,binance,sol
short,2026-07-02 18:00:00,2026-07-03 01:35:00,80.64,81.4464,12.386665426587303,-9.988606999999957,1.0038550035000002,0.40154200140000007,-11.394004004899957,stop_loss,9977.2129959951,binance,sol
long,2026-07-03 21:00:00,2026-07-04 01:40:00,82.72,81.8928,12.061427703088855,-9.977212995995158,0.9927326931015126,0.397093077240605,-11.367038766337275,stop_loss,9965.845957228763,binance,sol
short,2026-07-04 02:00:00,2026-07-04 03:41:00,81.94,82.7594,12.162369974650675,-9.965845957228783,1.0015675187014907,0.4006270074805963,-11.36804048341087,stop_loss,9954.477916745353,binance,sol
long,2026-07-04 06:00:00,2026-07-04 06:22:00,83.38,82.5462,11.938687834906876,-9.954477916745311,0.9904705527161626,0.396188221086465,-11.34113669054794,stop_loss,9943.136780054805,binance,sol
short,2026-07-04 09:00:00,2026-07-05 01:33:00,82.31,80.6638,12.08010786059386,19.8862735601097,0.9843705412254258,0.39374821649017033,18.508154802394102,take_profit,9961.644934857199,binance,sol
long,2026-07-05 15:00:00,2026-07-06 03:22:00,81.45,80.63550000000001,12.230380521617187,-9.961644934857143,0.9911836710182914,0.39647346840731656,-11.34930207428275,stop_loss,9950.295632782916,binance,sol
short,2026-07-06 06:00:00,2026-07-06 15:41:00,80.42,81.2242,12.372911754268735,-9.950295632782849,1.0000047110946833,0.40000188443787327,-11.350302228315407,stop_loss,9938.945330554601,binance,sol
long,2026-07-06 17:00:00,2026-07-07 03:01:00,82.1,81.279,12.10590174245384,-9.938945330554578,0.9889250603901829,0.3955700241560732,-11.323440415100835,stop_loss,9927.6218901395,binance,sol
short,2026-07-07 05:00:00,2026-07-07 07:13:00,80.91,81.7191,12.269956606277965,-9.927621890139513,0.9977259999590198,0.39909039998360796,-11.32443829008214,stop_loss,9916.297451849417,binance,sol
long,2026-07-07 17:00:00,2026-07-07 18:58:00,82.21,81.38789999999999,12.062154788771949,-9.916297451849491,0.9866715964590171,0.3946686385836069,-11.297637686892115,stop_loss,9904.999814162526,binance,sol
short,2026-07-07 22:00:00,2026-07-08 01:36:00,80.83,79.2134,12.254113341782167,19.809999628325116,0.98059498160209,0.39223799264083603,18.43716665408219,take_profit,9923.436980816608,binance,sol
long,2026-07-08 20:00:00,2026-07-10 01:48:00,77.42,78.9684,12.817665953005179,19.84687396163323,1.0022671350624777,0.40090685402499104,18.443699972545758,take_profit,9941.880680789154,binance,sol
short,2026-07-10 16:00:00,2026-07-11 09:00:00,78.15,78.18,12.72153637976859,-0.38164609139307215,0.994378891124612,0.3977515564498448,-1.773776538967529,reversal,9940.106904250186,binance,sol
long,2026-07-11 09:00:00,2026-07-11 23:21:00,78.16,77.3784,12.717639335018152,-9.940106904250154,0.9890406369728937,0.3956162547891575,-11.324763796012205,stop_loss,9928.782140454174,binance,sol
short,2026-07-12 01:00:00,2026-07-12 01:45:00,76.1,76.86099999999999,13.047019895471978,-9.92878214045412,0.9978426051156446,0.39913704204625783,-11.325761787616022,stop_loss,9917.456378666559,binance,sol
long,2026-07-12 13:00:00,2026-07-13 01:55:00,77.19,76.4181,12.848110349354268,-9.91745637866659,0.9867869096773226,0.3947147638709291,-11.298958052214841,stop_loss,9906.157420614343,binance,sol
short,2026-07-13 03:00:00,2026-07-13 17:36:00,76.48,74.9504,12.952611690133818,19.812314841228716,0.98070958464082,0.39228383385632803,18.439321422731567,take_profit,9924.596742037074,binance,sol
long,2026-07-14 03:00:00,2026-07-14 12:48:00,75.08,76.5816,13.218695713954547,19.8491934840741,1.0023842709457444,0.4009537083782978,18.445855504750057,take_profit,9943.042597541824,binance,sol
short,2026-07-15 09:00:00,2026-07-15 13:00:00,77.57,78.3457,12.81815469581259,-9.943042597541831,0.9992757810529534,0.3997103124211814,-11.342028691015965,stop_loss,9931.700568850807,binance,sol
long,2026-07-17 13:00:00,2026-07-17 13:11:00,74.4,73.656,13.349059904369364,-9.931700568850804,0.9882042066006553,0.39528168264026214,-11.315186458091722,stop_loss,9920.385382392715,binance,sol
short,2026-07-18 15:00:00,2026-07-18 16:00:00,74.99,74.96,13.228944369106168,0.3968683310732001,0.9918401040737349,0.396736041629494,-0.9917078146300289,reversal,9919.393674578085,binance,sol
long,2026-07-18 16:00:00,2026-07-19 02:34:00,74.96,76.4592,13.232915787857639,19.838787349156195,1.0018587611323866,0.4007435044529547,18.436185083570855,take_profit,9937.829859661655,binance,sol
short,2026-07-19 15:00:00,2026-07-19 16:00:00,76.43,76.22,13.00252500282828,2.7305302505940423,0.9924177208408685,0.3969670883363474,1.3411454414168265,reversal,9939.171005103071,binance,sol
long,2026-07-19 16:00:00,2026-07-19 18:00:00,76.22,75.95,13.040108901998257,-3.520829403539478,0.9921566858085374,0.396862674323415,-4.90984876367143,reversal,9934.2611563394,binance,sol
short,2026-07-19 18:00:00,2026-07-20 00:10:00,75.96,76.7196,13.078279563374673,-9.934261156339481,0.9983932462121099,0.3993572984848439,-11.332011701036436,stop_loss,9922.929144638363,binance,sol
long,2026-07-20 02:00:00,2026-07-20 06:37:00,76.39,75.6261,12.989827391855432,-9.92292914463845,0.9873314498915172,0.3949325799566069,-11.305193174486574,stop_loss,9911.623951463876,binance,sol
