direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
short,2026-07-05 11:00:00,2026-07-05 13:51:00,0.7436,0.751036,1344.8090371167293,-9.999999999999996,1.005,0.402,-11.406999999999995,stop_loss,9988.593,binance,sui
long,2026-07-05 20:00:00,2026-07-06 03:55:00,0.755,0.74745,1322.9924503311258,-9.988593000000074,0.9938650035,0.39754600139999996,-11.380004004900075,stop_loss,9977.2129959951,binance,sui
short,2026-07-06 07:00:00,2026-07-06 13:00:00,0.7391,0.724318,1349.913813556366,19.95442599199015,0.987744086603515,0.395097634641406,18.571584270745227,take_profit,9995.784580265845,binance,sui
long,2026-07-10 09:00:00,2026-07-10 10:28:00,0.7281,0.7426619999999999,1372.8587529550673,19.99156916053164,1.0095742426068504,0.4038296970427402,18.57816522088205,take_profit,10014.362745486727,binance,sui
short,2026-07-13 05:00:00,2026-07-13 08:44:00,0.7275,0.7347750000000001,1376.544707283399,-10.014362745486771,1.0064434559214162,0.4025773823685665,-11.423383583776754,stop_loss,10002.93936190295,binance,sui
long,2026-07-14 15:00:00,2026-07-14 16:17:00,0.7649,0.757251,1307.74471981997,-10.002939361902973,0.9952924665093437,0.39811698660373745,-11.396348815016054,stop_loss,9991.543013087934,binance,sui
short,2026-07-16 14:00:00,2026-07-16 16:00:00,0.7502,0.7509,1331.850574925078,-0.9322954024475998,0.9996204490100173,0.3998481796040069,-2.331764031061624,reversal,9989.211249056872,binance,sui
long,2026-07-16 16:00:00,2026-07-16 22:00:00,0.751,0.7508,1330.1213380901295,-0.2660242676179966,0.9987881127718783,0.39951524510875136,-1.6643276254986261,reversal,9987.546921431374,binance,sui
short,2026-07-16 22:00:00,2026-07-16 23:00:00,0.7504,0.7436,1330.963075883712,9.05054891600913,0.9942294176851328,0.3976917670740532,7.658627731249944,reversal,9995.205549162625,binance,sui
long,2026-07-16 23:00:00,2026-07-16 23:20:00,0.7433,0.7358669999999999,1344.7067871872227,-9.995205549162657,0.9945229521416813,0.3978091808566725,-11.38753768216101,stop_loss,9983.818011480464,binance,sui
short,2026-07-17 00:00:00,2026-07-17 03:18:00,0.7389,0.746289,1351.1730966951502,-9.983818011480436,1.0033737101537867,0.4013494840615147,-11.388541205695736,stop_loss,9972.429470274768,binance,sui
