direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
long,2026-07-02 12:00:00,2026-07-02 18:00:00,0.7411,0.7372,1349.3455673998112,-5.2624477128592835,0.9973687761435706,0.3989475104574282,-6.658763999460282,reversal,9993.34123600054,binance,sui
short,2026-07-02 18:00:00,2026-07-03 03:35:00,0.7366,0.743966,1356.6849356503585,-9.993341236000518,1.0043307942180544,0.4017323176872218,-11.399404347905794,stop_loss,9981.941831652635,binance,sui
long,2026-07-03 13:00:00,2026-07-03 14:20:00,0.7577,0.750123,1317.4002681341738,-9.981941831652708,0.9932032122494372,0.3972812848997749,-11.37242632880192,stop_loss,9970.569405323833,binance,sui
short,2026-07-04 03:00:00,2026-07-04 15:09:00,0.7598,0.767398,1312.2623592160876,-9.970569405323825,1.0020422252350454,0.4008168900940181,-11.37342852065289,stop_loss,9959.19597680318,binance,sui
long,2026-07-04 17:00:00,2026-07-05 00:01:00,0.7677,0.760023,1297.277058330491,-9.959195976803237,0.9909399996919164,0.3963759998767665,-11.34651197637192,stop_loss,9947.849464826808,binance,sui
short,2026-07-05 01:00:00,2026-07-05 02:13:00,0.7527,0.737646,1321.6220891227326,19.895698929653634,0.9848370970178542,0.39393483880714164,18.516926993828637,take_profit,9966.366391820637,binance,sui
long,2026-07-05 15:00:00,2026-07-06 03:31:00,0.7558,0.7482420000000001,1318.6512823260964,-9.966366391820575,0.9916534559861534,0.39666138239446136,-11.354681230201189,stop_loss,9955.011710590436,binance,sui
short,2026-07-06 05:00:00,2026-07-06 12:03:00,0.7449,0.730002,1336.4225682092142,19.910023421180828,0.9855461593484534,0.3942184637393813,18.530258798092994,take_profit,9973.541969388529,binance,sui
long,2026-07-06 18:00:00,2026-07-06 21:09:00,0.7437,0.7585740000000001,1341.070588864936,19.947083938777133,1.0073277389082416,0.40293109556329665,18.536825104305596,take_profit,9992.078794492834,binance,sui
short,2026-07-07 05:00:00,2026-07-07 06:53:00,0.7345,0.7418450000000001,1360.3919393455187,-9.992078794492897,1.00420391884653,0.40168156753861206,-11.397964280878039,stop_loss,9980.680830211957,binance,sui
long,2026-07-07 14:00:00,2026-07-07 15:00:00,0.7358,0.7396,1356.4393626273386,5.154469577983922,1.0006453178101877,0.4002581271240751,3.753566133049659,reversal,9984.434396345006,binance,sui
short,2026-07-07 15:00:00,2026-07-07 16:40:00,0.7397,0.747097,1349.795105629986,-9.984434396344989,1.0034356568326732,0.4013742627330693,-11.389244315910732,stop_loss,9973.045152029095,binance,sui
long,2026-07-07 17:00:00,2026-07-07 18:49:00,0.7474,0.739926,1334.3651528002538,-9.973045152029071,0.992317992626895,0.3969271970507581,-11.362290341706723,stop_loss,9961.682861687388,binance,sui
short,2026-07-07 22:00:00,2026-07-07 23:29:00,0.7245,0.7317450000000001,1374.9734798740355,-9.961682861687466,1.0011491275995825,0.40045965103983305,-11.363291640326882,stop_loss,9950.31957004706,binance,sui
long,2026-07-08 18:00:00,2026-07-09 03:33:00,0.7079,0.722058,1405.6109012638879,19.90063914009413,1.0049822765747534,0.40199291062990133,18.493663952889474,take_profit,9968.81323399995,binance,sui
short,2026-07-09 17:00:00,2026-07-10 01:48:00,0.7175,0.7246750000000001,1389.38163540069,-9.96881323400001,1.001865730016995,0.400746292006798,-11.371425256023802,stop_loss,9957.441808743926,binance,sui
long,2026-07-10 04:00:00,2026-07-10 10:16:00,0.7257,0.740214,1372.115448359367,19.91488361748789,1.0057016226831366,0.40228064907325467,18.5069013457315,take_profit,9975.948710089659,binance,sui
short,2026-07-10 20:00:00,2026-07-11 00:00:00,0.7371,0.7393,1353.405061740559,-2.977491135829202,0.9990836165768806,0.39963344663075223,-4.376208199036835,reversal,9971.572501890621,binance,sui
long,2026-07-11 00:00:00,2026-07-11 01:00:00,0.739,0.7349,1349.333220824171,-5.5322662053790905,0.9943911170863727,0.39775644683454914,-6.9244137693000125,reversal,9964.648088121321,binance,sui
short,2026-07-11 01:00:00,2026-07-11 03:15:00,0.7349,0.742249,1355.9189125216112,-9.964648088121388,1.001447132856193,0.4005788531424771,-11.366674074120057,stop_loss,9953.2814140472,binance,sui
