direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
short,2026-07-01 14:15:00,2026-07-01 15:23:00,0.7147,0.721847,1399.1884706870014,-10.00000000000002,1.005,0.40199999999999997,-11.40700000000002,stop_loss,9988.593,binance,sui
short,2026-07-01 15:45:00,2026-07-01 21:17:00,0.7165,0.723665,1394.0813677599442,-9.988592999999968,1.0038535965,0.4015414386,-11.393988035099968,stop_loss,9977.1990119649,binance,sui
short,2026-07-01 21:45:00,2026-07-02 00:38:00,0.7249,0.710402,1376.3552230604084,19.954398023929816,0.9877427021845251,0.39509708087381007,18.57155824087148,take_profit,9995.770570205772,binance,sui
long,2026-07-02 01:00:00,2026-07-02 03:27:00,0.7157,0.730014,1396.6425276241125,19.991541140411616,1.0095728275907832,0.40382913103631324,18.57813918178452,take_profit,10014.348709387556,binance,sui
short,2026-07-02 04:15:00,2026-07-02 09:36:00,0.7299,0.737199,1372.0165377979936,-10.014348709387631,1.0064420452934493,0.4025768181173798,-11.42336757279846,stop_loss,10002.925341814756,binance,sui
short,2026-07-02 11:15:00,2026-07-02 13:50:00,0.7451,0.752551,1342.4943419426597,-10.002925341814738,1.005293996852383,0.40211759874095326,-11.410336937408074,stop_loss,9991.515004877348,binance,sui
short,2026-07-03 19:45:00,2026-07-03 20:26:00,0.7686,0.7762859999999999,1299.962920228643,-9.991515004877312,1.0041472579901738,0.40165890319606945,-11.397321166063557,stop_loss,9980.117683711285,binance,sui
short,2026-07-04 15:30:00,2026-07-04 17:33:00,0.7686,0.7762859999999999,1298.4800525255382,-9.98011768371125,1.0030018272129841,0.4012007308851937,-11.384320241809426,stop_loss,9968.733363469475,binance,sui
long,2026-07-05 00:45:00,2026-07-05 01:18:00,0.7565,0.7489349999999999,1317.7440004586222,-9.968733363469534,0.9918889696652128,0.3967555878660851,-11.357377921000833,stop_loss,9957.375985548475,binance,sui
long,2026-07-05 01:30:00,2026-07-05 02:09:00,0.747,0.73953,1332.9820596450436,-9.957375985548445,0.9907589105620733,0.3963035642248293,-11.344438460335349,stop_loss,9946.03154708814,binance,sui
long,2026-07-05 02:15:00,2026-07-05 14:42:00,0.7384,0.753168,1346.9706862253713,19.892063094176287,1.0045491862559024,0.40181967450236095,18.485694233418023,take_profit,9964.517241321557,binance,sui
short,2026-07-05 15:15:00,2026-07-05 21:23:00,0.7535,0.7610349999999999,1322.4309543890588,-9.964517241321502,1.0014339827528165,0.4005735931011266,-11.366524817175446,stop_loss,9953.150716504382,binance,sui
long,2026-07-06 05:45:00,2026-07-06 12:03:00,0.7363,0.728937,1351.7792634122482,-9.953150716504394,0.9903384962921861,0.39613539851687446,-11.339624611313454,stop_loss,9941.811091893069,binance,sui
long,2026-07-06 13:00:00,2026-07-06 15:44:00,0.7249,0.739398,1371.4734572897046,19.88362218378615,1.0041229202811999,0.40164916811247997,18.47785009539247,take_profit,9960.288941988461,binance,sui
short,2026-07-06 16:15:00,2026-07-06 21:09:00,0.747,0.75447,1333.3720136530737,-9.960288941988429,1.0010090386698403,0.4004036154679361,-11.361701596126206,stop_loss,9948.927240392335,binance,sui
short,2026-07-06 21:30:00,2026-07-07 02:21:00,0.7552,0.740096,1317.3897299248326,19.89785448078468,0.9849437967988413,0.39397751871953657,18.5189331652663,take_profit,9967.4461735576,binance,sui
long,2026-07-07 02:45:00,2026-07-07 05:14:00,0.7368,0.729432,1352.8021408194354,-9.967446173557656,0.9917608942689812,0.3967043577075925,-11.35591142553423,stop_loss,9956.090262132066,binance,sui
long,2026-07-07 05:30:00,2026-07-07 16:40:00,0.7331,0.747762,1358.080788723512,19.91218052426422,1.0055651164753387,0.4022260465901355,18.504389361198744,take_profit,9974.594651493264,binance,sui
long,2026-07-07 21:45:00,2026-07-08 02:00:00,0.7245,0.717255,1376.7556454787114,-9.974594651493343,0.9924721678235797,0.39698886712943193,-11.364055686446354,stop_loss,9963.230595806817,binance,sui
long,2026-07-08 02:30:00,2026-07-08 08:23:00,0.7146,0.707454,1394.2388183328878,-9.963230595806797,0.9913414442827783,0.39653657771311135,-11.351108617802687,stop_loss,9951.879487189015,binance,sui
long,2026-07-08 09:00:00,2026-07-09 01:09:00,0.7032,0.717264,1415.2274583602125,19.90375897437798,1.0051398282060906,0.4020559312824362,18.496563214889452,take_profit,9970.376050403904,binance,sui
short,2026-07-09 01:30:00,2026-07-09 04:33:00,0.7161,0.7232609999999999,1392.3161639999867,-9.970376050403868,1.0020227930655925,0.40080911722623697,-11.373207960695696,stop_loss,9959.002842443208,binance,sui
short,2026-07-09 05:15:00,2026-07-10 00:34:00,0.7267,0.712166,1370.4421140007166,19.91800568488648,0.9859412814018776,0.394376512560751,18.537687890923852,take_profit,9977.540530334132,binance,sui
long,2026-07-10 01:00:00,2026-07-10 02:15:00,0.7149,0.7252,1395.655410593668,14.375250729114747,1.0049416783979706,0.40197667135918824,12.968332379357587,reversal,9990.50886271349,binance,sui
short,2026-07-10 02:15:00,2026-07-10 10:16:00,0.7256,0.7328560000000001,1376.8617506495991,-9.990508862713547,1.004046140702706,0.4016184562810824,-11.396173459697335,stop_loss,9979.112689253792,binance,sui
short,2026-07-10 10:45:00,2026-07-10 12:02:00,0.7487,0.733726,1332.8586468884457,19.958225378507642,0.9879321562361255,0.39517286249445027,18.575120359777063,take_profit,9997.68780961357,binance,sui
long,2026-07-11 02:00:00,2026-07-11 04:00:00,0.7325,0.7436,1364.8720559199412,15.150079820711346,1.0073438208717127,0.40293752834868507,13.739798471490948,reversal,10011.427608085061,binance,sui
short,2026-07-11 04:00:00,2026-07-11 05:37:00,0.743,0.75043,1347.4330562698603,-10.011427608085127,1.0061484746125489,0.4024593898450195,-11.420035472542695,stop_loss,10000.007572612518,binance,sui
long,2026-07-11 23:30:00,2026-07-12 00:30:00,0.7316,0.724284,1366.8681755894638,-10.000007572612503,0.9950007534749457,0.3980003013899782,-11.393008627477426,stop_loss,9988.61456398504,binance,sui
long,2026-07-12 00:30:00,2026-07-12 08:02:00,0.7257,0.740214,1376.4109913166653,19.97722912797012,1.008850070962489,0.40354002838499564,18.564839028622636,take_profit,10007.179403013663,binance,sui
short,2026-07-12 08:30:00,2026-07-12 09:45:00,0.739,0.74639,1354.1514753739734,-10.007179403013675,1.0057215300028732,0.4022886120011493,-11.415189545017697,stop_loss,9995.764213468645,binance,sui
long,2026-07-13 13:00:00,2026-07-13 17:36:00,0.7277,0.720423,1373.6105831343473,-9.995764213468615,0.9945785392401303,0.39783141569605207,-11.388174168404797,stop_loss,9984.37603930024,binance,sui
long,2026-07-13 18:15:00,2026-07-13 21:38:00,0.717,0.70983,1392.5210654533112,-9.984376039300255,0.9934454159103739,0.3973781663641496,-11.375199621574778,stop_loss,9973.000839678665,binance,sui
long,2026-07-13 22:00:00,2026-07-14 01:18:00,0.7119,0.726138,1400.899120617877,19.946001679357295,1.0072730848075453,0.40290923392301814,18.535819360626732,take_profit,9991.536659039291,binance,sui
short,2026-07-14 06:45:00,2026-07-14 12:32:00,0.7341,0.741441,1361.0593460072596,-9.99153665903935,1.004149434233449,0.4016597736933796,-11.397345866966178,stop_loss,9980.139313172325,binance,sui
short,2026-07-14 13:00:00,2026-07-14 13:18:00,0.7488,0.7562880000000001,1332.8177501565606,-9.980139313172392,1.0030040009738188,0.40120160038952757,-11.384344914535738,stop_loss,9968.75496825779,binance,sui
short,2026-07-14 13:30:00,2026-07-14 14:24:00,0.7591,0.766691,1313.2334301485694,-9.968754968257809,1.0018598743099079,0.4007439497239632,-11.37135879229168,stop_loss,9957.383609465498,binance,sui
short,2026-07-14 14:30:00,2026-07-15 03:00:00,0.7625,0.7514,1305.8863750118687,14.495338762631741,0.9884906915652341,0.3953962766260936,13.111451794440413,reversal,9970.495061259939,binance,sui
long,2026-07-15 03:00:00,2026-07-15 13:03:00,0.7511,0.766122,1327.452411298088,19.94099012251985,1.0070200011872537,0.4028080004749015,18.531162120857694,take_profit,9989.026223380797,binance,sui
short,2026-07-15 13:15:00,2026-07-15 16:33:00,0.7638,0.748524,1307.806523092537,19.978052446761684,0.988913596114699,0.3955654384458796,18.593573412201106,take_profit,10007.619796792998,binance,sui
long,2026-07-15 17:00:00,2026-07-16 03:16:00,0.7503,0.7653059999999999,1333.8157799270957,20.01523959358595,1.010769599476093,0.40430783979043716,18.60016215431942,take_profit,10026.219958947318,binance,sui
long,2026-07-16 08:00:00,2026-07-16 08:10:00,0.7426,0.735174,1350.150815909954,-10.026219958947378,0.9976088859152583,0.3990435543661033,-11.42287239922874,stop_loss,10014.79708654809,binance,sui
long,2026-07-16 08:15:00,2026-07-16 13:38:00,0.7355,0.75021,1361.6311470493663,20.02959417309618,1.0114945057413571,0.40459780229654285,18.61350186505828,take_profit,10033.410588413148,binance,sui
long,2026-07-16 23:45:00,2026-07-17 05:58:00,0.7386,0.731214,1358.4363103727524,-10.033410588413155,0.9983243535471085,0.39932974141884336,-11.431064683379105,stop_loss,10021.97952372977,binance,sui
long,2026-07-17 13:30:00,2026-07-17 16:43:00,0.7257,0.740214,1381.0086156441737,20.043959047459573,1.0122199318967067,0.40488797275868266,18.626851142804185,take_profit,10040.606374872574,binance,sui
short,2026-07-18 18:45:00,2026-07-19 02:07:00,0.7396,0.746996,1357.5725222921274,-10.040606374872517,1.0090809406746937,0.40363237626987747,-11.453319691817088,stop_loss,10029.153055180757,binance,sui
short,2026-07-19 11:15:00,2026-07-19 18:30:00,0.7535,0.7421,1331.0090318753496,15.17350296337894,0.9953285540363863,0.3981314216145546,13.780042987727999,reversal,10042.933098168485,binance,sui
long,2026-07-19 18:30:00,2026-07-20 01:09:00,0.7426,0.757452,1352.4014406367473,20.08586619633694,1.0143362429150171,0.40573449716600685,18.665795456255914,take_profit,10061.598893624741,binance,sui
