direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
short,2026-07-01 18:00:00,2026-07-01 21:31:00,0.1548,0.156348,6459.948320413437,-9.999999999999961,1.005,0.402,-11.40699999999996,stop_loss,9988.593,bybit,ada
short,2026-07-02 06:00:00,2026-07-02 08:07:00,0.1545,0.156045,6465.108737864079,-9.988592999999943,1.0038535965000002,0.4015414386000001,-11.393988035099945,stop_loss,9977.1990119649,bybit,ada
short,2026-07-02 23:00:00,2026-07-03 01:14:00,0.1615,0.163115,6177.832205551022,-9.977199011964933,1.0027085007024725,0.401083400280989,-11.380990912948395,stop_loss,9965.818021051951,bybit,ada
short,2026-07-03 02:00:00,2026-07-03 02:17:00,0.1658,0.167458,6010.746695447498,-9.965818021051907,1.001564711115721,0.40062588444628844,-11.368008616613917,stop_loss,9954.450012435338,bybit,ada
short,2026-07-03 11:00:00,2026-07-03 12:01:00,0.1683,0.169983,5914.705889741734,-9.954450012435279,1.0004222262497515,0.4001688904999006,-11.355041129184931,stop_loss,9943.094971306153,bybit,ada
short,2026-07-03 16:00:00,2026-07-03 17:06:00,0.1737,0.17543699999999998,5724.291866036933,-9.943094971306088,0.9992810446162683,0.39971241784650735,-11.342088433768863,stop_loss,9931.752882872384,bybit,ada
short,2026-07-05 01:00:00,2026-07-05 05:10:00,0.1932,0.189336,5140.658842066451,19.8635057657448,0.983243535404366,0.39329741416174646,18.486964816178688,take_profit,9950.239847688563,bybit,ada
long,2026-07-06 13:00:00,2026-07-06 15:05:00,0.1792,0.182784,5552.589200719064,19.900479695377147,1.004974224616545,0.401989689846618,18.49351578091398,take_profit,9968.733363469477,bybit,ada
long,2026-07-07 13:00:00,2026-07-07 14:00:00,0.179,0.17720999999999998,5569.124784061161,-9.968733363469555,0.9918889696652131,0.3967555878660852,-11.357377921000854,stop_loss,9957.375985548477,bybit,ada
long,2026-07-08 00:00:00,2026-07-08 01:36:00,0.1746,0.172854,5702.964481986528,-9.957375985548463,0.9907589105620735,0.3963035642248295,-11.344438460335367,stop_loss,9946.031547088141,bybit,ada
long,2026-07-08 06:00:00,2026-07-08 08:16:00,0.1699,0.168201,5854.050351435045,-9.946031547088177,0.9896301389352701,0.3958520555741081,-11.331513741597556,stop_loss,9934.700033346544,bybit,ada
long,2026-07-08 11:00:00,2026-07-08 15:14:00,0.1671,0.165429,5945.362078603557,-9.934700033346578,0.9885026533179812,0.39540106132719244,-11.318603747991752,stop_loss,9923.381429598552,bybit,ada
long,2026-07-13 01:00:00,2026-07-13 01:55:00,0.1627,0.16107300000000002,6099.189569513554,-9.923381429598487,0.987376452245056,0.3949505808980224,-11.305708462741567,stop_loss,9912.07572113581,bybit,ada
long,2026-07-13 06:00:00,2026-07-13 13:02:00,0.16,0.1584,6195.047325709882,-9.912075721135752,0.9862515342530134,0.3945006137012053,-11.29282786908997,stop_loss,9900.78289326672,bybit,ada
long,2026-07-14 00:00:00,2026-07-14 12:30:00,0.1574,0.16054800000000002,6290.205141846709,19.801565786533516,0.9999790722199389,0.39999162888797557,18.4015950854256,take_profit,9919.184488352146,bybit,ada
short,2026-07-18 03:00:00,2026-07-18 09:28:00,0.1685,0.16513,5886.756372909285,19.838368976704363,0.9819992643468625,0.392799705738745,18.463570006618756,take_profit,9937.648058358765,bybit,ada
