direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
short,2026-07-01 04:00:00,2026-07-01 04:27:00,0.1494,0.150894,6693.440428380187,-9.999999999999968,1.005,0.402,-11.406999999999966,stop_loss,9988.593,bybit,ada
short,2026-07-01 04:30:00,2026-07-01 06:36:00,0.1524,0.149352,6554.194881889764,19.977185999999968,0.988870707,0.3955482828,18.592767010199967,take_profit,10007.1857670102,bybit,ada
short,2026-07-01 14:30:00,2026-07-01 15:02:00,0.1546,0.15614599999999998,6472.953277496897,-10.00718576701015,1.005722169584525,0.4022888678338101,-11.415196804428485,stop_loss,9995.770570205772,bybit,ada
short,2026-07-01 22:00:00,2026-07-01 23:35:00,0.1575,0.15435,6346.5209969560465,19.991541140411634,0.9895812864503715,0.3958325145801486,18.606127339381114,take_profit,10014.376697545153,bybit,ada
long,2026-07-02 01:00:00,2026-07-02 03:50:00,0.153,0.15606,6545.344246761539,20.028753395090355,1.0114520464520607,0.40458081858082423,18.61272053005747,take_profit,10032.98941807521,bybit,ada
short,2026-07-02 11:15:00,2026-07-02 12:14:00,0.1594,0.160994,6294.221717738527,-10.032989418075289,1.0083154365165587,0.40332617460662357,-11.444631029198472,stop_loss,10021.544787046012,bybit,ada
short,2026-07-02 12:30:00,2026-07-02 13:25:00,0.1605,0.162105,6243.9531383464255,-10.021544787045984,1.0071652510981242,0.40286610043924975,-11.431576138583358,stop_loss,10010.113210907428,bybit,ada
short,2026-07-02 14:00:00,2026-07-03 01:20:00,0.1619,0.163519,6182.898833173212,-10.010113210907488,1.0060163776961968,0.40240655107847867,-11.418536139682162,stop_loss,9998.694674767745,bybit,ada
short,2026-07-03 01:45:00,2026-07-03 02:16:00,0.1651,0.166751,6056.144563759991,-9.998694674767828,1.0048688148141585,0.4019475259256634,-11.40551101550765,stop_loss,9987.289163752237,bybit,ada
short,2026-07-03 02:30:00,2026-07-03 05:14:00,0.1669,0.16356199999999999,5983.995903985763,19.974578327504524,0.9887416272114715,0.39549665088458863,18.590340049408464,take_profit,10005.879503801645,bybit,ada
short,2026-07-03 09:30:00,2026-07-03 10:44:00,0.1669,0.168569,5995.134513961441,-10.005879503801669,1.0055908901320656,0.40223635605282615,-11.413706749986561,stop_loss,9994.465797051658,bybit,ada
short,2026-07-03 16:15:00,2026-07-03 16:51:00,0.1725,0.174225,5793.893215682121,-9.994465797051683,1.0044438126036916,0.4017775250414767,-11.40068713469685,stop_loss,9983.06510991696,bybit,ada
short,2026-07-03 17:30:00,2026-07-03 18:18:00,0.176,0.17776,5672.196085180091,-9.983065109917026,1.0032980435466545,0.40131921741866183,-11.387682370882343,stop_loss,9971.67742754608,bybit,ada
short,2026-07-03 18:45:00,2026-07-03 19:15:00,0.1802,0.182002,5533.672268338557,-9.97167742754607,1.0021535814683808,0.4008614325873524,-11.374692441601802,stop_loss,9960.302735104478,bybit,ada
short,2026-07-03 19:45:00,2026-07-03 20:14:00,0.1803,0.182103,5524.294362232102,-9.960302735104474,1.001010424878,0.4004041699512001,-11.361717329933674,stop_loss,9948.941017774545,bybit,ada
short,2026-07-04 13:45:00,2026-07-04 14:05:00,0.1781,0.179881,5586.154417616252,-9.948941017774573,0.999868572286342,0.3999474289145367,-11.348757018975451,stop_loss,9937.59226075557,bybit,ada
