direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol,cumulative_pnl
short,2026-07-02 16:00:00,2026-07-03 13:53:00,61608.1,62224.181,0.016231631879574278,-9.999999999999973,1.005,0.402,-11.406999999999973,stop_loss,9988.593,bybit,btc,-11.406999999999243
short,2026-07-04 00:00:00,2026-07-04 17:48:00,62585.6,63211.456,0.01595989013447183,-9.988592999999998,1.0038535965000002,0.4015414386000001,-11.3939880351,stop_loss,9977.1990119649,bybit,btc,-22.80098803510009
short,2026-07-04 20:00:00,2026-07-05 22:30:00,63293.9,63926.839,0.015763286844332394,-9.977199011964878,1.0027085007024725,0.40108340028098904,-11.380990912948338,stop_loss,9965.818021051951,bybit,btc,-34.18197894804871
long,2026-07-13 06:00:00,2026-07-13 13:52:00,62790.1,62162.199,0.01587163903394317,-9.96581802105192,0.9915988930946691,0.39663955723786765,-11.354056471384455,stop_loss,9954.463964580567,bybit,btc,-45.536035419432665
long,2026-07-13 16:00:00,2026-07-13 17:36:00,62614.1,61987.958999999995,0.015898118737761254,-9.954463964580622,0.9904691644757666,0.3961876657903067,-11.341120794846695,stop_loss,9943.12284378572,bybit,btc,-56.87715621427924
long,2026-07-13 20:00:00,2026-07-14 12:30:00,62284.4,63530.088,0.015964066192795823,19.886245687571474,1.0042554072223582,0.4017021628889432,18.480288117460173,take_profit,9961.60313190318,bybit,btc,-38.39686809681916
short,2026-07-15 02:00:00,2026-07-15 13:02:00,64673.5,65320.235,0.015402913298187328,-9.96160313190319,1.0011411147562697,0.4004564459025079,-11.363200692561968,stop_loss,9950.239931210619,bybit,btc,-49.760068789380966
short,2026-07-02 16:00:00,2026-07-03 13:53:00,61608.1,62224.181,0.016231631879574278,-9.999999999999973,1.005,0.402,-11.406999999999973,stop_loss,9988.593,bybit,btc,-11.406999999999243
short,2026-07-04 00:00:00,2026-07-04 17:48:00,62585.6,63211.456,0.01595989013447183,-9.988592999999998,1.0038535965000002,0.4015414386000001,-11.3939880351,stop_loss,9977.1990119649,bybit,btc,-22.80098803510009
short,2026-07-04 20:00:00,2026-07-05 22:30:00,63293.9,63926.839,0.015763286844332394,-9.977199011964878,1.0027085007024725,0.40108340028098904,-11.380990912948338,stop_loss,9965.818021051951,bybit,btc,-34.18197894804871
long,2026-07-13 06:00:00,2026-07-13 13:52:00,62790.1,62162.199,0.01587163903394317,-9.96581802105192,0.9915988930946691,0.39663955723786765,-11.354056471384455,stop_loss,9954.463964580567,bybit,btc,-45.536035419432665
long,2026-07-13 16:00:00,2026-07-13 17:36:00,62614.1,61987.958999999995,0.015898118737761254,-9.954463964580622,0.9904691644757666,0.3961876657903067,-11.341120794846695,stop_loss,9943.12284378572,bybit,btc,-56.87715621427924
long,2026-07-13 20:00:00,2026-07-14 12:30:00,62284.4,63530.088,0.015964066192795823,19.886245687571474,1.0042554072223582,0.4017021628889432,18.480288117460173,take_profit,9961.60313190318,bybit,btc,-38.39686809681916
short,2026-07-15 02:00:00,2026-07-15 13:02:00,64673.5,65320.235,0.015402913298187328,-9.96160313190319,1.0011411147562697,0.4004564459025079,-11.363200692561968,stop_loss,9950.239931210619,bybit,btc,-49.760068789380966
short,2026-07-02 16:00:00,2026-07-03 13:53:00,61608.1,62224.181,0.016231631879574278,-9.999999999999973,1.005,0.402,-11.406999999999973,stop_loss,9988.593,bybit,btc,-11.406999999999243
short,2026-07-04 00:00:00,2026-07-04 17:48:00,62585.6,63211.456,0.01595989013447183,-9.988592999999998,1.0038535965000002,0.4015414386000001,-11.3939880351,stop_loss,9977.1990119649,bybit,btc,-22.80098803510009
short,2026-07-04 20:00:00,2026-07-05 22:30:00,63293.9,63926.839,0.015763286844332394,-9.977199011964878,1.0027085007024725,0.40108340028098904,-11.380990912948338,stop_loss,9965.818021051951,bybit,btc,-34.18197894804871
long,2026-07-13 06:00:00,2026-07-13 13:52:00,62790.1,62162.199,0.01587163903394317,-9.96581802105192,0.9915988930946691,0.39663955723786765,-11.354056471384455,stop_loss,9954.463964580567,bybit,btc,-45.536035419432665
long,2026-07-13 16:00:00,2026-07-13 17:36:00,62614.1,61987.958999999995,0.015898118737761254,-9.954463964580622,0.9904691644757666,0.3961876657903067,-11.341120794846695,stop_loss,9943.12284378572,bybit,btc,-56.87715621427924
long,2026-07-13 20:00:00,2026-07-14 12:30:00,62284.4,63530.088,0.015964066192795823,19.886245687571474,1.0042554072223582,0.4017021628889432,18.480288117460173,take_profit,9961.60313190318,bybit,btc,-38.39686809681916
short,2026-07-15 02:00:00,2026-07-15 13:02:00,64673.5,65320.235,0.015402913298187328,-9.96160313190319,1.0011411147562697,0.4004564459025079,-11.363200692561968,stop_loss,9950.239931210619,bybit,btc,-49.760068789380966
