direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol,cumulative_pnl
short,2026-07-01 07:45:00,2026-07-01 09:45:00,58695.9,58934.3,0.01703696510318438,-4.061612480599181,1.0020308062402996,0.40081232249611987,-5.464455609335601,reversal,9994.535544390665,bybit,btc,-5.464455609335346
long,2026-07-01 09:45:00,2026-07-01 10:45:00,58886.5,58659.9,0.01697254131998109,-3.8459778631076906,0.9975305655075126,0.399012226203005,-5.242520654818208,reversal,9989.293023735847,bybit,btc,-10.706976264153127
short,2026-07-01 10:45:00,2026-07-01 13:46:00,58622.4,59208.624,0.017040061518695665,-9.98929302373588,1.0039239488854528,0.40156957955418116,-11.394786552175514,stop_loss,9977.898237183672,bybit,btc,-22.10176281632812
long,2026-07-01 14:15:00,2026-07-01 22:21:00,59971.7,61171.134,0.01663767783335085,19.95579647436736,1.0077677219555508,0.40310708878222035,18.544921663629587,take_profit,9996.443158847302,bybit,btc,-3.5568411526983255
short,2026-07-02 00:30:00,2026-07-02 02:37:00,59783.3,60381.133,0.01672112974500789,-9.996443158847281,1.0046425374641539,0.40185701498566156,-11.402942711297097,stop_loss,9985.040216136005,bybit,btc,-14.959783863994744
long,2026-07-02 03:00:00,2026-07-02 07:30:00,60420.6,60141.1,0.016525887224118935,-4.618985479141243,0.9961945288740299,0.398477811549612,-6.013657819564885,reversal,9979.02655831644,bybit,btc,-20.97344168355994
short,2026-07-02 07:30:00,2026-07-02 09:31:00,60161.0,60762.61,0.016587201938658667,-9.97902655831645,1.0028921691108024,0.40115686764432096,-11.383075595071574,stop_loss,9967.643482721369,bybit,btc,-32.356517278631145
long,2026-07-02 09:45:00,2026-07-02 20:30:00,61083.4,61388.2,0.01631808884692301,4.973753480542062,0.9992512250124079,0.3997004900049632,3.5748017655246906,reversal,9971.218284486893,bybit,btc,-28.781715513106974
short,2026-07-02 20:30:00,2026-07-03 02:00:00,61399.6,61606.8,0.016239874990206606,-3.3649020979708797,0.998804279497675,0.39952171179907,-4.763228089267625,reversal,9966.455056397625,bybit,btc,-33.5449436023755
long,2026-07-03 02:00:00,2026-07-03 02:45:00,61585.6,61346.3,0.016183093217241734,-3.8726142068858764,0.9947091985363197,0.39788367941452785,-5.265207084836724,reversal,9961.189849312788,bybit,btc,-38.81015068721172
short,2026-07-03 02:45:00,2026-07-03 05:45:00,61361.7,61670.6,0.016233562383885698,-5.014547420382316,0.9986262586414701,0.39945050345658806,-6.412624182480374,reversal,9954.777225130309,bybit,btc,-45.22277486969142
long,2026-07-03 05:45:00,2026-07-03 21:13:00,61696.6,62930.532,0.01613504994623741,19.909554450260632,1.0054324997381614,0.4021729998952645,18.501948950627206,take_profit,9973.279174080935,bybit,btc,-26.720825919064737
short,2026-07-04 02:45:00,2026-07-04 04:00:00,62493.7,62640.5,0.015958855331146878,-2.342759962612408,0.9984992973893998,0.39939971895576,-3.7406589789575677,reversal,9969.538515101978,bybit,btc,-30.46148489802181
long,2026-07-04 04:00:00,2026-07-04 06:15:00,62633.0,62445.1,0.015917389419478515,-2.990877471920036,0.9954584127742379,0.39818336510969515,-4.384519249803969,reversal,9965.153995852173,bybit,btc,-34.846004147826534
short,2026-07-04 06:15:00,2026-07-04 12:45:00,62433.1,62618.3,0.015961331402496712,-2.9560385757424608,0.9979934188730888,0.3991973675492355,-4.353229362164785,reversal,9960.800766490009,bybit,btc,-39.199233509991245
long,2026-07-04 12:45:00,2026-07-05 00:15:00,62615.5,63046.5,0.015907883457754086,6.856297770292011,0.999508225534147,0.3998032902136588,5.456986254544206,reversal,9966.257752744554,bybit,btc,-33.74224725544627
short,2026-07-05 00:15:00,2026-07-05 08:15:00,63048.4,63024.1,0.015807312719663867,0.38411769908787796,0.9964337164249115,0.3985734865699646,-1.010889503906998,reversal,9965.246863240647,bybit,btc,-34.753136759352856
long,2026-07-05 08:15:00,2026-07-05 10:00:00,63012.7,62577.4,0.01581466412840689,-6.884123295095449,0.993082624676517,0.3972330498706068,-8.274438969642572,reversal,9956.972424271005,bybit,btc,-43.027575728994634
short,2026-07-05 10:00:00,2026-07-05 15:15:00,62622.2,62788.8,0.015900068065751453,-2.6489513397542845,0.9970217180969778,0.3988086872387911,-4.044781745090053,reversal,9952.927642525916,bybit,btc,-47.07235747408413
long,2026-07-05 15:15:00,2026-07-05 16:30:00,62814.2,62618.9,0.015845028102763253,-3.0945339884695944,0.9937454972583567,0.3974981989033427,-4.485777684631294,reversal,9948.441864841285,bybit,btc,-51.55813515871523
short,2026-07-05 16:30:00,2026-07-05 19:15:00,62622.9,62881.1,0.015886268225906632,-4.101834455929046,0.996895103712093,0.3987580414848372,-5.497487601125976,reversal,9942.94437724016,bybit,btc,-57.055622759840844
long,2026-07-05 19:15:00,2026-07-06 04:00:00,62851.3,63297.9,0.0158197911216477,7.06511871492784,0.9978269970814799,0.399130798832592,5.668160919013768,reversal,9948.612538159174,bybit,btc,-51.38746184082629
short,2026-07-06 04:00:00,2026-07-06 12:03:00,63298.0,62032.04,0.015717104076209635,19.897225076318335,0.9849126412777583,0.39396505651110336,18.518347378529473,take_profit,9967.130885537703,bybit,btc,-32.86911446229715
long,2026-07-06 16:15:00,2026-07-07 02:30:00,63748.1,63532.5,0.01563518110428029,-3.370945046082808,0.995027616030729,0.39801104641229157,-4.763983708525828,reversal,9962.366901829177,bybit,btc,-37.63309817082336
