direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol,cumulative_pnl
short,2026-07-02 11:00:00,2026-07-02 13:23:00,61263.9,61876.539000000004,0.016322826330024697,-10.000000000000046,1.0050000000000003,0.4020000000000001,-11.407000000000046,stop_loss,9988.593,bybit,btc,-11.406999999999243
long,2026-07-02 14:00:00,2026-07-02 16:27:00,61943.7,61324.263,0.01612527666251774,-9.98859299999997,0.9938650035000001,0.39754600140000007,-11.38000400489997,stop_loss,9977.212995995102,bybit,btc,-22.787004004898336
long,2026-07-02 17:00:00,2026-07-02 20:00:00,61676.7,61427.1,0.016176632336028195,-4.037687431072614,0.9957024558839738,0.39828098235358955,-5.431670869310177,reversal,9971.781325125792,bybit,btc,-28.218674874207863
short,2026-07-02 20:00:00,2026-07-03 11:51:00,61470.3,62085.003000000004,0.016222112670876494,-9.971781325125814,1.0021640231751423,0.40086560927005693,-11.374810957571013,stop_loss,9960.40651416822,bybit,btc,-39.59348583177962
short,2026-07-03 12:00:00,2026-07-03 16:00:00,62022.5,61955.4,0.016059343809372763,1.077581969608889,0.9955018604320178,0.39820074417280715,-0.3161206349959359,reversal,9960.090393533224,bybit,btc,-39.909606466775585
long,2026-07-03 16:00:00,2026-07-03 17:00:00,61924.3,62130.5,0.016084300336916563,3.3165827294721484,0.9976673307180585,0.39906693228722345,1.9198484664668665,reversal,9962.010241999691,bybit,btc,-37.98975800030894
short,2026-07-03 17:00:00,2026-07-03 20:35:00,62108.0,62729.08,0.016039818126488845,-9.96201024199972,1.0011820293209692,0.40047281172838767,-11.363665083049076,stop_loss,9950.646576916643,bybit,btc,-49.353423083357484
short,2026-07-03 21:00:00,2026-07-03 22:00:00,62777.0,62727.0,0.01585078384904765,0.7925391924523825,0.9946683880954381,0.39786735523817524,-0.5999965508812308,reversal,9950.04658036576,bybit,btc,-49.95341963423925
long,2026-07-03 22:00:00,2026-07-04 04:00:00,62730.7,62640.5,0.015861526462108283,-1.430709686882121,0.994289303193135,0.39771572127725396,-2.8227147113525097,reversal,9947.223865654409,bybit,btc,-52.776134345591345
short,2026-07-04 04:00:00,2026-07-04 17:48:00,62633.0,63259.33,0.015881761795945283,-9.947223865654436,0.9996959984982683,0.3998783993993073,-11.346798263552012,stop_loss,9935.877067390857,bybit,btc,-64.12293260914339
short,2026-07-04 18:00:00,2026-07-04 19:00:00,63274.1,63203.9,0.01570291330479747,1.1023445139967367,0.9930365344820873,0.39721461379283496,-0.2879066342781855,reversal,9935.589160756579,bybit,btc,-64.41083924342092
long,2026-07-04 19:00:00,2026-07-05 02:00:00,63164.1,62911.6,0.015729804051283214,-3.9717755229490113,0.9915730283141835,0.3966292113256734,-5.359977762588868,reversal,9930.22918299399,bybit,btc,-69.77081700601047
short,2026-07-05 02:00:00,2026-07-05 22:20:00,62888.1,63516.981,0.01579031515182362,-9.930229182994008,0.9979880328908959,0.39919521315635836,-11.327412429041264,stop_loss,9918.901770564948,bybit,btc,-81.09822943505242
long,2026-07-05 23:00:00,2026-07-06 05:28:00,63739.2,63101.808,0.015561697935595283,-9.918901770564945,0.9869307261712124,0.39477229046848494,-11.300604787204643,stop_loss,9907.601165777744,bybit,btc,-92.39883422225648
long,2026-07-06 06:00:00,2026-07-06 09:00:00,63110.7,62886.9,0.015698766082102945,-3.513383849174571,0.9890034246531871,0.3956013698612748,-4.8979886436890325,reversal,9902.703177134055,bybit,btc,-97.2968228659447
short,2026-07-06 09:00:00,2026-07-06 13:02:00,62899.2,61641.21599999999,0.01574376649803822,19.805406354268175,0.9803676145362715,0.39214704581450865,18.432891693917398,take_profit,9921.136068827973,bybit,btc,-78.86393117202715
short,2026-07-06 14:00:00,2026-07-06 14:25:00,61765.3,62382.953,0.016062637223211048,-9.921136068827948,0.9970741749172114,0.3988296699668846,-11.317039913712044,stop_loss,9909.81902891426,bybit,btc,-90.18097108573966
short,2026-07-06 15:00:00,2026-07-06 15:41:00,62044.9,62665.349,0.015972012250667276,-9.909819028914269,0.9959368124058832,0.3983747249623533,-11.304130566282506,stop_loss,9898.514898347978,bybit,btc,-101.48510165202242
long,2026-07-06 16:00:00,2026-07-06 17:00:00,63543.4,63770.4,0.015577565724131819,3.536107419377923,0.9916195435444868,0.3966478174177947,2.1478400584156416,reversal,9900.662738406394,bybit,btc,-99.33726159360594
short,2026-07-06 17:00:00,2026-07-06 18:00:00,63735.3,63574.5,0.01553403331969316,2.4978725578067054,0.9888173375617362,0.3955269350246945,1.1135282852202746,reversal,9901.776266691615,bybit,btc,-98.22373330838491
long,2026-07-06 18:00:00,2026-07-07 05:00:00,63590.0,63115.8,0.015571278922301644,-7.383900464955394,0.9864856764366838,0.39459427057467356,-8.764980411966752,reversal,9893.011286279649,bybit,btc,-106.98871372035137
short,2026-07-07 05:00:00,2026-07-07 12:06:00,63097.8,63728.778000000006,0.015678852965205835,-9.893011286279691,0.9942476342711046,0.3976990537084419,-11.284957974259237,stop_loss,9881.726328305389,bybit,btc,-118.27367169461104
short,2026-07-07 13:00:00,2026-07-07 15:48:00,63483.7,64118.537,0.015565769368050996,-9.881726328305383,0.9931134959946917,0.39724539839787665,-11.272085222697951,stop_loss,9870.454243082691,bybit,btc,-129.5457569173086
long,2026-07-07 17:00:00,2026-07-07 21:38:00,63992.7,63352.772999999994,0.015424344094064936,-9.870454243082744,0.9821101971867279,0.39284407887469114,-11.245408519144164,stop_loss,9859.208834563547,bybit,btc,-140.7911654364525
long,2026-07-07 23:00:00,2026-07-08 00:00:00,63547.6,63306.2,0.015514683221024159,-3.7452445295552543,0.9840482611915772,0.3936193044766309,-5.122912095223462,reversal,9854.085922468324,bybit,btc,-145.9140775316755
short,2026-07-08 00:00:00,2026-07-08 08:27:00,63363.9,62096.622,0.015551577353143234,19.708171844936626,0.9755545063243642,0.3902218025297457,18.342395536082517,take_profit,9872.428318004408,bybit,btc,-127.57168199559237
short,2026-07-08 09:00:00,2026-07-08 21:00:00,62020.0,62093.1,0.015918136597878763,-1.1636157853049145,0.9878246396930934,0.39512985587723737,-2.5465702808752453,reversal,9869.881747723532,bybit,btc,-130.1182522764684
long,2026-07-08 21:00:00,2026-07-09 18:07:00,62113.8,63356.076,0.015889998273690437,19.73976349544703,0.9968580565200766,0.39874322260803063,18.344162216318924,take_profit,9888.22590993985,bybit,btc,-111.77409006014932
long,2026-07-09 19:00:00,2026-07-10 09:46:00,63216.1,64480.422,0.01564194233737901,19.776451819879707,0.998710816903925,0.39948432676157003,18.37825667621421,take_profit,9906.604166616065,bybit,btc,-93.39583338393459
long,2026-07-10 10:00:00,2026-07-10 17:00:00,64389.9,64149.8,0.015385338642576034,-3.6940198080824835,0.9888134067575653,0.3955253627030262,-5.078358577543074,reversal,9901.525808038523,bybit,btc,-98.47419196147712
short,2026-07-10 17:00:00,2026-07-12 16:00:00,64148.3,64175.1,0.015435367434582868,-0.4136678472467535,0.9903594147274757,0.3961437658909903,-1.8001710278652194,reversal,9899.725637010657,bybit,btc,-100.27436298934299
long,2026-07-12 16:00:00,2026-07-13 00:00:00,64180.4,63726.2,0.015424842532939428,-7.0059634784611555,0.9864695819618352,0.3945878327847341,-8.387020893207726,reversal,9891.33861611745,bybit,btc,-108.66138388255058
short,2026-07-13 00:00:00,2026-07-13 00:15:00,63781.5,64419.315,0.015508162423457351,-9.891338616117487,0.9940795309198038,0.39763181236792156,-11.283049959405211,stop_loss,9880.055566158044,bybit,btc,-119.9444338419562
long,2026-07-13 01:00:00,2026-07-13 01:59:00,64072.0,63431.28,0.015420239053187108,-9.880055566158061,0.9830655288327254,0.3932262115330901,-11.256347306523876,stop_loss,9868.79921885152,bybit,btc,-131.20078114848002
short,2026-07-13 02:00:00,2026-07-13 14:16:00,63411.6,62143.367999999995,0.015563081863336551,19.737598437703095,0.9770111226663005,0.39080444906652023,18.369782865970272,take_profit,9887.16900171749,bybit,btc,-112.83099828251034
short,2026-07-13 15:00:00,2026-07-14 01:00:00,62790.0,62537.5,0.01574640707392497,3.975967786166055,0.9867289162786659,0.39469156651146636,2.5945473033759225,reversal,9889.763549020865,bybit,btc,-110.23645097913504
long,2026-07-14 01:00:00,2026-07-14 12:46:00,62555.8,63806.916000000005,0.015809506950627862,19.779527098041758,0.9988661184511073,0.399546447380443,18.381114532210205,take_profit,9908.144663553076,bybit,btc,-91.85533644692441
long,2026-07-14 13:00:00,2026-07-15 05:00:00,63967.0,64815.7,0.015489462791053317,13.145907070766905,0.997387419890691,0.3989549679562764,11.749564682919937,reversal,9919.894228235995,bybit,btc,-80.10577176400511
short,2026-07-15 05:00:00,2026-07-15 13:03:00,64750.5,65398.005,0.015320181663826527,-9.919894228235956,0.9969493699377177,0.39877974797508703,-11.315623346148762,stop_loss,9908.578604889846,bybit,btc,-91.42139511015375
short,2026-07-15 14:00:00,2026-07-15 17:00:00,65114.0,65157.9,0.015217278319393443,-0.6680385182213943,0.9911918797480954,0.39647675189923814,-2.055707149868728,reversal,9906.522897739978,bybit,btc,-93.47710226002164
long,2026-07-15 17:00:00,2026-07-15 18:00:00,65115.3,65074.4,0.015213817486427887,-0.6222451351949227,0.9903411672064004,0.3961364668825602,-2.0087227692838834,reversal,9904.514174970695,bybit,btc,-95.48582502930549
short,2026-07-15 18:00:00,2026-07-16 23:23:00,65057.2,63756.056,0.015224316716628898,19.809028349941396,0.9805469033220988,0.39221876132883954,18.43626268529046,take_profit,9922.950437655985,bybit,btc,-77.0495623440147
