direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol,cumulative_pnl
short,2026-07-03 22:00:00,2026-07-04 17:51:00,62730.7,63358.007,0.01594115799759926,-10.00000000000001,1.005,0.40199999999999997,-11.407000000000009,stop_loss,9988.593,bybit,btc,-11.406999999999243
short,2026-07-04 18:00:00,2026-07-05 22:30:00,63274.1,63906.841,0.015786226908008176,-9.98859300000003,1.0038535965000002,0.4015414386,-11.393988035100032,stop_loss,9977.1990119649,bybit,btc,-22.80098803510009
short,2026-07-06 00:00:00,2026-07-06 04:00:00,63642.5,63297.9,0.015676943884927366,5.402274862745948,0.9950187637651169,0.3980075055060468,4.009248593474784,reversal,9981.208260558375,bybit,btc,-18.791739441625396
long,2026-07-06 04:00:00,2026-07-06 09:37:00,63298.0,62665.02,0.015768599735470908,-9.981208260558425,0.9931302219255582,0.39725208877022333,-11.371590571254206,stop_loss,9969.83666998712,bybit,btc,-30.16333001287967
short,2026-07-06 10:00:00,2026-07-06 13:31:00,62660.9,61407.682,0.015910777965185818,19.939673339974252,0.9870138303287249,0.39480553213148994,18.55785397751404,take_profit,9988.394523964635,bybit,btc,-11.605476035365427
short,2026-07-06 14:00:00,2026-07-06 14:25:00,61765.3,62382.953,0.01617153081740821,-9.988394523964608,1.0038336496584457,0.4015334598633783,-11.393761633486433,stop_loss,9977.000762331149,bybit,btc,-22.999237668851492
long,2026-07-06 16:00:00,2026-07-07 05:13:00,63543.4,62907.966,0.015701081091554984,-9.977000762331167,0.9927115758519495,0.3970846303407798,-11.366796968523897,stop_loss,9965.633965362624,bybit,btc,-34.36603463737629
short,2026-07-07 08:00:00,2026-07-07 12:06:00,63086.9,63717.769,0.015796677226750124,-9.965633965362604,1.0015462135189437,0.4006184854075775,-11.367798664289126,stop_loss,9954.266166698335,bybit,btc,-45.73383330166507
short,2026-07-07 14:00:00,2026-07-07 15:22:00,63068.5,63699.185,0.015783261321734837,-9.954266166698298,1.0004037497531826,0.40016149990127303,-11.354831416352754,stop_loss,9942.911335281982,bybit,btc,-57.08866471801775
long,2026-07-07 20:00:00,2026-07-08 00:00:00,63831.1,63306.2,0.01557690739354638,-8.176318690872519,0.990202974182762,0.3960811896731049,-9.562602854728386,reversal,9933.348732427254,bybit,btc,-66.65126757274629
short,2026-07-08 00:00:00,2026-07-08 08:27:00,63363.9,62096.622,0.01567666878526614,19.866697464854482,0.983401524510298,0.39336060980411924,18.489935330540064,take_profit,9951.838667757795,bybit,btc,-48.16133224220539
short,2026-07-08 10:00:00,2026-07-09 06:01:00,62053.6,62674.136,0.016037488022867,-9.951838667757798,1.0001597861096585,0.4000639144438634,-11.352062368311321,stop_loss,9940.486605389484,bybit,btc,-59.513394610516116
