direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
long,2026-07-02 00:00:00,2026-07-02 02:00:00,0.0722,0.07249,13850.415512465373,4.016620498614939,1.0020083102493076,0.40080332409972297,2.6138088642659087,reversal,10002.613808864266,bybit,doge
short,2026-07-02 02:00:00,2026-07-02 03:42:00,0.07254,0.0732654,13789.100922062678,-10.00261380886428,1.0052626877908588,0.4021050751163435,-11.409981571771484,stop_loss,9991.203827292495,bybit,doge
long,2026-07-02 07:00:00,2026-07-02 09:00:00,0.07251,0.07294,13779.070234853805,5.925000200987133,1.002082882829743,0.40083315313189727,4.522084165025493,reversal,9995.72591145752,bybit,doge
short,2026-07-02 09:00:00,2026-07-02 10:29:00,0.07306,0.0737906,13681.530127918862,-9.995725911457493,1.0045704541014808,0.40182818164059236,-11.402124547199566,stop_loss,9984.323786910321,bybit,doge
long,2026-07-04 08:00:00,2026-07-04 15:00:00,0.07693,0.07771,12978.452862225819,10.123193232536176,1.0034939753073004,0.4013975901229201,8.718301667105955,reversal,9993.042088577427,bybit,doge
short,2026-07-04 15:00:00,2026-07-04 15:10:00,0.07773,0.07850729999999999,12856.094286089578,-9.99304208857736,1.0043007299020315,0.4017202919608126,-11.399063110440203,stop_loss,9981.643025466987,bybit,doge
long,2026-07-05 00:00:00,2026-07-05 01:19:00,0.07767,0.0768933,12851.349331102083,-9.981643025467054,0.9931734810339653,0.39726939241358616,-11.372085898914605,stop_loss,9970.270939568072,bybit,doge
short,2026-07-05 15:00:00,2026-07-05 17:23:00,0.07706,0.0778306,12938.322008263784,-9.970270939568024,1.0020122294265912,0.4008048917706365,-11.373088060765252,stop_loss,9958.897851507307,bybit,doge
long,2026-07-06 06:00:00,2026-07-06 12:03:00,0.07664,0.0758736,12994.386549461518,-9.958897851507313,0.9909103362249772,0.39636413448999086,-11.346172322222282,stop_loss,9947.551679185084,bybit,doge
short,2026-07-06 20:00:00,2026-07-06 21:09:00,0.07692,0.0776892,12932.334476319664,-9.947551679185056,0.9997289437581012,0.39989157750324045,-11.347172200446398,stop_loss,9936.204506984637,bybit,doge
long,2026-07-07 00:00:00,2026-07-07 01:00:00,0.07664,0.07678,12964.776235627136,1.815068672987815,0.9945279850349575,0.39781119401398307,0.4227294939388743,reversal,9936.627236478576,bybit,doge
short,2026-07-07 01:00:00,2026-07-07 02:00:00,0.07678,0.07611,12941.68694514011,8.670930253243926,0.9893272585212358,0.3957309034084943,7.285872091314196,reversal,9943.91310856989,bybit,doge
long,2026-07-07 02:00:00,2026-07-07 02:51:00,0.07606,0.0752994,13073.774794333278,-9.943913108569893,0.9894193543027042,0.3957677417210817,-11.32910020459368,stop_loss,9932.584008365297,bybit,doge
short,2026-07-07 18:00:00,2026-07-07 19:00:00,0.07544,0.07439,13166.203616602994,13.824513797433083,0.9863461439378132,0.3945384575751253,12.443629195920144,reversal,9945.027637561217,bybit,doge
long,2026-07-07 19:00:00,2026-07-07 22:00:00,0.07452,0.0737748,13345.44771546057,-9.945027637561235,0.9895302499373411,0.39581209997493644,-11.330369987473512,stop_loss,9933.697267573743,bybit,doge
short,2026-07-08 20:00:00,2026-07-08 21:00:00,0.07266,0.07236,13671.479861786049,4.101443958535932,0.9913190047781064,0.3965276019112426,2.713597351846583,reversal,9936.41086492559,bybit,doge
long,2026-07-08 21:00:00,2026-07-08 22:00:00,0.07233,0.07265,13737.60661540936,4.396034116931007,0.9958391035510246,0.3983356414204099,3.0018593719595725,reversal,9939.41272429755,bybit,doge
short,2026-07-08 22:00:00,2026-07-09 02:00:00,0.07253,0.0721,13703.86422762657,5.892661617879423,0.9909949416208154,0.39639797664832616,4.505268699610281,reversal,9943.91799299716,bybit,doge
long,2026-07-09 02:00:00,2026-07-09 03:00:00,0.07216,0.07213,13780.374158809811,-0.4134112247643253,0.9941850936873338,0.3976740374749336,-1.8052703559265928,reversal,9942.112722641234,bybit,doge
short,2026-07-09 03:00:00,2026-07-09 06:04:00,0.07216,0.0728816,13777.872398338739,-9.942112722641273,0.9991823286254441,0.3996729314501776,-11.340967982716895,stop_loss,9930.771754658517,bybit,doge
long,2026-07-09 11:00:00,2026-07-09 14:00:00,0.0724,0.07259,13716.535572732757,2.6061417588191653,0.9943802463452613,0.39775209853810456,1.2140094139357993,reversal,9931.985764072453,bybit,doge
short,2026-07-09 14:00:00,2026-07-09 18:08:00,0.0726,0.073326,13680.421162634233,-9.931985764072513,0.9981645692892815,0.3992658277157126,-11.329416161077507,stop_loss,9920.656347911376,bybit,doge
long,2026-07-10 18:00:00,2026-07-10 20:00:00,0.07389,0.07418,13426.250301680033,3.8936125874871905,0.9940124410848812,0.3976049764339525,2.5019951699683567,reversal,9923.158343081344,bybit,doge
short,2026-07-10 20:00:00,2026-07-11 00:00:00,0.07416,0.07412,13380.742102321123,0.5352296840928231,0.9920482194660881,0.39681928778643527,-0.8536378231597003,reversal,9922.304705258184,bybit,doge
long,2026-07-11 00:00:00,2026-07-11 01:00:00,0.0741,0.07422,13390.42470345234,1.6068509644142153,0.9930338960080255,0.3972135584032102,0.21660351000297956,reversal,9922.521308768188,bybit,doge
short,2026-07-11 01:00:00,2026-07-11 02:00:00,0.07423,0.07411,13367.265672596239,1.6040718807116687,0.9914500949364631,0.39658003797458524,0.2160417478006204,reversal,9922.737350515989,bybit,doge
long,2026-07-11 02:00:00,2026-07-11 03:00:00,0.07408,0.07424,13394.623853288324,2.1431398165262303,0.9933453049598621,0.3973381219839448,0.7524563895824236,reversal,9923.48980690557,bybit,doge
short,2026-07-11 03:00:00,2026-07-11 10:00:00,0.07424,0.07416,13366.769675249961,1.0693415740199534,0.9918143099035472,0.3967257239614189,-0.3191984598450127,reversal,9923.170608445726,bybit,doge
long,2026-07-11 10:00:00,2026-07-11 11:00:00,0.07416,0.0745,13380.75864137773,4.549457938068335,0.9945917898136067,0.3978367159254427,3.157029432329286,reversal,9926.327637878056,bybit,doge
short,2026-07-11 11:00:00,2026-07-11 14:35:00,0.0745,0.07524499999999999,13323.92971527256,-9.926327637878,0.9975959276067446,0.3990383710426979,-11.322961936527442,stop_loss,9915.004675941529,bybit,doge
long,2026-07-11 23:00:00,2026-07-11 23:21:00,0.07464,0.0738936,13283.768322536884,-9.915004675941454,0.9865429652561823,0.3946171861024729,-11.296164827300109,stop_loss,9903.70851111423,bybit,doge
short,2026-07-12 15:00:00,2026-07-12 22:00:00,0.07375,0.07282,13428.757303205737,12.48874429198134,0.9841264789654323,0.39365059158617294,11.110967221429734,reversal,9914.81947833566,bybit,doge
long,2026-07-12 22:00:00,2026-07-12 22:20:00,0.07313,0.0723987,13557.80046264961,-9.914819478335716,0.9865245380943981,0.3946098152377593,-11.295953831667873,stop_loss,9903.523524503991,bybit,doge
short,2026-07-13 01:00:00,2026-07-13 02:00:00,0.07346,0.07257,13481.51854683364,11.998551506681965,0.9843530766970583,0.3937412306788233,10.620457199306083,reversal,9914.143981703297,bybit,doge
long,2026-07-13 02:00:00,2026-07-13 03:33:00,0.07256,0.07183439999999999,13663.373734431225,-9.91414398170339,0.986457326179478,0.3945829304717912,-11.29518423835466,stop_loss,9902.848797464942,bybit,doge
short,2026-07-14 01:00:00,2026-07-14 02:00:00,0.07237,0.07188,13683.637968032253,6.704982604335863,0.9869323884443264,0.39477295537773055,5.323277260513807,reversal,9908.172074725455,bybit,doge
long,2026-07-14 02:00:00,2026-07-14 04:00:00,0.07193,0.07205,13774.742214271453,1.652969065712698,0.9916436920054019,0.3966574768021608,0.26466789690513537,reversal,9908.43674262236,bybit,doge
short,2026-07-14 04:00:00,2026-07-14 12:30:00,0.07206,0.0727806,13750.259148795949,-9.908436742622385,0.9957978926335473,0.3983191570534189,-11.30255379230935,stop_loss,9897.13418883005,bybit,doge
long,2026-07-15 08:00:00,2026-07-15 13:00:00,0.074,0.07472,13374.50566058115,9.629644075618407,0.9945282409208143,0.3978112963683257,8.237304538329266,reversal,9905.37149336838,bybit,doge
short,2026-07-15 13:00:00,2026-07-15 17:00:00,0.07471,0.07401,13258.427912419196,9.280899538693335,0.9858966995674916,0.3943586798269966,7.900644159298846,reversal,9913.27213752768,bybit,doge
long,2026-07-15 17:00:00,2026-07-15 18:00:00,0.07396,0.07432,13403.558866316496,4.825281191873928,0.993739854348705,0.397495941739482,3.4340453957857404,reversal,9916.706182923466,bybit,doge
short,2026-07-15 18:00:00,2026-07-15 19:00:00,0.07424,0.07406,13357.6322507051,2.404373805126913,0.9904684313897832,0.3961873725559133,1.0177180011812161,reversal,9917.723900924648,bybit,doge
long,2026-07-15 19:00:00,2026-07-16 03:00:00,0.07406,0.07435,13391.471645860987,3.8835267772996676,0.9937141534811146,0.39748566139244584,2.492326962426107,reversal,9920.216227887075,bybit,doge
short,2026-07-16 03:00:00,2026-07-16 04:00:00,0.07438,0.07403,13337.209233513142,4.668023231729641,0.9896876111728428,0.3958750444691371,3.2824605760876606,reversal,9923.498688463162,bybit,doge
long,2026-07-16 04:00:00,2026-07-16 06:00:00,0.074,0.07426,13410.133362788058,3.4866346743250323,0.9940931861834787,0.39763727447339153,2.094904213668162,reversal,9925.59359267683,bybit,doge
short,2026-07-16 06:00:00,2026-07-16 07:00:00,0.07424,0.0741,13369.60343841168,1.8717444813776516,0.9916234870269942,0.3966493948107977,0.4834715995398597,reversal,9926.077064276371,bybit,doge
long,2026-07-16 07:00:00,2026-07-16 07:53:00,0.07415,0.07340849999999999,13386.482891808999,-9.926077064276454,0.9876446678954989,0.39505786715819957,-11.308779599330151,stop_loss,9914.76828467704,bybit,doge
short,2026-07-17 17:00:00,2026-07-18 06:00:00,0.07235,0.07221,13703.895348551543,1.918545348797233,0.9905175557933055,0.3962070223173222,0.5318207706866054,reversal,9915.300105447726,bybit,doge
long,2026-07-18 06:00:00,2026-07-18 18:00:00,0.07225,0.0724,13723.598761865367,2.058539814279959,0.9925592804519128,0.3970237121807651,0.6689568216472812,reversal,9915.969062269374,bybit,doge
short,2026-07-18 18:00:00,2026-07-18 19:00:00,0.07241,0.07237,13694.198401145386,0.5477679360457931,0.9913230222589146,0.3965292089035658,-0.8400842951166873,reversal,9915.128977974258,bybit,doge
long,2026-07-18 19:00:00,2026-07-18 20:00:00,0.07233,0.07237,13708.183295968834,0.5483273318387311,0.9917870614633453,0.39671482458533813,-0.8401745542099524,reversal,9914.288803420048,bybit,doge
short,2026-07-18 20:00:00,2026-07-19 06:00:00,0.07237,0.07235,13699.445631366654,0.273988912627417,0.9912918858856912,0.39651675435427647,-1.1138197276125505,reversal,9913.174983692435,bybit,doge
long,2026-07-19 06:00:00,2026-07-19 07:00:00,0.07235,0.07249,13701.69313571864,1.9182370390006265,0.9922766168887439,0.3969106467554976,0.529049775356385,reversal,9913.704033467791,bybit,doge
short,2026-07-19 07:00:00,2026-07-19 14:00:00,0.0725,0.07243,13674.074528921094,0.957185217024485,0.9908918107382669,0.3963567242953068,-0.4300633180090887,reversal,9913.273970149783,bybit,doge
long,2026-07-19 14:00:00,2026-07-19 15:00:00,0.07243,0.07263,13686.696079179601,2.7373392158359984,0.9926960666228964,0.3970784266491586,1.347564722563943,reversal,9914.621534872347,bybit,doge
short,2026-07-19 15:00:00,2026-07-19 16:00:00,0.07261,0.07247,13654.622689536356,1.9116471765349172,0.9905063298989674,0.39620253195958693,0.5249383146763629,reversal,9915.146473187024,bybit,doge
long,2026-07-19 16:00:00,2026-07-19 18:08:00,0.07247,0.07174530000000001,13681.725504604696,-9.915146473186951,0.9865570740821089,0.39462282963284356,-11.296326376901904,stop_loss,9903.850146810122,bybit,doge
short,2026-07-20 00:00:00,2026-07-20 02:00:00,0.07242,0.07241,13675.57324884027,0.13675573248834968,0.9903166368147682,0.39612665472590725,-1.2496875590523258,reversal,9902.600459251069,bybit,doge
long,2026-07-20 02:00:00,2026-07-20 03:00:00,0.07233,0.07274,13690.86196495378,5.613253405630964,0.9930666726279225,0.397226669051169,4.222960063951873,reversal,9906.82341931502,bybit,doge
short,2026-07-20 03:00:00,2026-07-20 05:00:00,0.07269,0.07232,13628.866995893548,5.042680788480738,0.9881610015372617,0.39526440061490464,3.6592553863285717,reversal,9910.482674701349,bybit,doge
long,2026-07-20 05:00:00,2026-07-20 05:13:00,0.07233,0.07160670000000001,13701.759539197219,-9.910482674701296,0.9860930261327843,0.3944372104531137,-11.291012911287195,stop_loss,9899.19166179006,bybit,doge
