direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
long,2026-07-02 13:00:00,2026-07-02 21:00:00,0.07436,0.07412,13448.090371167295,-3.2275416890800193,0.9983862291554599,0.399354491662184,-4.625282409897663,reversal,9995.374717590103,bybit,doge
short,2026-07-02 21:00:00,2026-07-03 01:38:00,0.07411,0.07485109999999999,13487.214569680344,-9.995374717590028,1.0045351591178053,0.40181406364712213,-11.401723940354955,stop_loss,9983.972993649748,bybit,doge
long,2026-07-03 08:00:00,2026-07-03 11:00:00,0.07531,0.07533,13257.167698379695,0.2651433539674911,0.9985298710419586,0.39941194841678346,-1.1327984654912508,reversal,9982.840195184257,bybit,doge
short,2026-07-03 11:00:00,2026-07-03 12:00:00,0.0754,0.07599,13239.841107671431,-7.81150625352624,1.002189772645189,0.4008759090580756,-9.214571935229504,reversal,9973.625623249027,bybit,doge
long,2026-07-03 12:00:00,2026-07-03 19:38:00,0.07594,0.0774588,13133.56020970375,19.947251246498066,1.0073361879481517,0.40293447517926073,18.536980583370653,take_profit,9992.162603832398,bybit,doge
short,2026-07-04 03:00:00,2026-07-04 04:41:00,0.077,0.07777,12976.834550431686,-9.992162603832487,1.004212341685156,0.40168493667406246,-11.398059882191705,stop_loss,9980.764543950207,bybit,doge
long,2026-07-04 17:00:00,2026-07-04 23:02:00,0.07851,0.0777249,12712.730281429382,-9.980764543950169,0.9930860721230457,0.3972344288492183,-11.371085044922433,stop_loss,9969.393458905284,bybit,doge
short,2026-07-05 00:00:00,2026-07-05 02:44:00,0.07767,0.0761166,12835.57803386801,19.93878691781052,0.9869699524316232,0.39478798097264933,18.55702898440625,take_profit,9987.95048788969,bybit,doge
long,2026-07-05 16:00:00,2026-07-05 22:30:00,0.07716,0.0787032,12944.466676891769,19.975900975779307,1.0087829992768587,0.4035131997107435,18.563604776791706,take_profit,10006.51409266648,bybit,doge
short,2026-07-06 07:00:00,2026-07-06 11:37:00,0.07666,0.07742660000000001,13053.109956517716,-10.006514092666562,1.0056546663129815,0.4022618665251926,-11.414430625504735,stop_loss,9995.099662040977,bybit,doge
