direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
long,2026-07-03 03:00:00,2026-07-03 10:12:00,1704.7,1738.794,0.586613480377779,20.00000000000003,1.01,0.404,18.586000000000027,take_profit,10018.586,bybit,eth
long,2026-07-03 15:00:00,2026-07-03 20:36:00,1737.35,1772.097,0.5766590497021326,20.03717200000004,1.011877186,0.4047508744,18.62054393960004,take_profit,10037.2065439396,bybit,eth
long,2026-07-04 09:00:00,2026-07-04 15:09:00,1762.32,1797.5664,0.5695450624142948,20.074413087879197,1.0137578609378997,0.4055031443751599,18.655152082566136,take_profit,10055.861696022166,bybit,eth
long,2026-07-04 16:00:00,2026-07-04 23:14:00,1791.29,1773.3771,0.5613754163771453,-10.055861696022186,1.0005582387542056,0.40022329550168223,-11.456643230278074,stop_loss,10044.405052791888,bybit,eth
long,2026-07-05 09:00:00,2026-07-05 09:43:00,1767.52,1749.8448,0.5682767410152014,-10.044405052791834,0.999418302752793,0.3997673211011172,-11.443590676645746,stop_loss,10032.961462115241,bybit,eth
short,2026-07-05 10:00:00,2026-07-05 14:00:00,1758.06,1766.48,0.5706836775829746,-4.805156565248687,1.0056987244941484,0.4022794897976595,-6.213134779540495,reversal,10026.748327335701,bybit,eth
long,2026-07-05 14:00:00,2026-07-05 22:21:00,1766.34,1801.6668,0.5676567550605037,20.05349665467143,1.012701581060906,0.4050806324243623,18.635714441186163,take_profit,10045.384041776888,bybit,eth
long,2026-07-05 23:00:00,2026-07-06 03:32:00,1790.09,1772.1890999999998,0.5611664241338082,-10.04538404177694,0.9995157121568004,0.39980628486272013,-11.44470603879646,stop_loss,10033.939335738092,bybit,eth
short,2026-07-06 07:00:00,2026-07-06 13:02:00,1769.53,1734.1394,0.567039797897639,20.067878671476155,0.9933599942380711,0.39734399769522843,18.67717467954286,take_profit,10052.616510417634,bybit,eth
short,2026-07-06 14:00:00,2026-07-06 14:25:00,1744.8,1762.248,0.5761472094462193,-10.052616510417689,1.0102879592969725,0.40411518371878896,-11.46701965343345,stop_loss,10041.1494907642,bybit,eth
short,2026-07-06 15:00:00,2026-07-06 15:41:00,1751.82,1769.3382,0.5731838596867372,-10.041149490764187,1.009135523821802,0.4036542095287209,-11.45393922411471,stop_loss,10029.695551540086,bybit,eth
short,2026-07-07 04:00:00,2026-07-07 12:06:00,1771.41,1789.1241,0.5661984267639951,-10.029695551540039,1.0079844029297786,0.40319376117191147,-11.440873715641729,stop_loss,10018.254677824445,bybit,eth
long,2026-07-07 13:00:00,2026-07-07 14:00:00,1782.06,1764.2394,0.5621726921553958,-10.018254677824453,0.9968163404435324,0.39872653617741294,-11.413797554445399,stop_loss,10006.84088027,bybit,eth
short,2026-07-07 14:00:00,2026-07-07 14:52:00,1768.97,1786.6597,0.5656874271621339,-10.006840880269946,1.005687508467135,0.40227500338685407,-11.414803392123936,stop_loss,9995.426076877875,bybit,eth
long,2026-07-07 16:00:00,2026-07-07 19:10:00,1797.66,1779.6834000000001,0.5560242802798012,-9.995426076877854,0.9945448946493486,0.39781795785973945,-11.387788929386941,stop_loss,9984.038287948488,bybit,eth
short,2026-07-07 22:00:00,2026-07-08 08:18:00,1773.74,1738.2652,0.5628805962513382,19.96807657589695,0.9884197905069002,0.39536791620276013,18.58428886918729,take_profit,10002.622576817676,bybit,eth
short,2026-07-08 09:00:00,2026-07-09 01:09:00,1735.46,1752.8146000000002,0.5763672211873322,-10.002622576817744,1.0052635689701765,0.40210542758807055,-11.409991573375992,stop_loss,9991.212585244299,bybit,eth
short,2026-07-09 02:00:00,2026-07-09 05:56:00,1731.55,1748.8654999999999,0.5770097649645866,-9.991212585244257,1.004116864817052,0.4016467459268208,-11.39697619598813,stop_loss,9979.81560904831,bybit,eth
short,2026-07-09 06:00:00,2026-07-09 19:00:00,1749.6,1749.94,0.57040555607272,-0.19393788906480783,0.9980785298493633,0.3992314119397453,-1.5912478308539164,reversal,9978.224361217455,bybit,eth
long,2026-07-09 19:00:00,2026-07-09 20:00:00,1751.48,1748.79,0.569702443717168,-1.532499573599213,0.9970561863349459,0.39882247453397834,-2.9283782344681373,reversal,9975.295982982987,bybit,eth
short,2026-07-09 20:00:00,2026-07-10 01:48:00,1748.55,1766.0355,0.570489604700065,-9.975295982982988,1.0025172462897902,0.40100689851591614,-11.378820127788694,stop_loss,9963.917162855198,bybit,eth
long,2026-07-10 03:00:00,2026-07-10 13:52:00,1773.08,1808.5416,0.5619553073101721,19.92783432571045,1.0063556334483752,0.40254225337935,18.518936438882722,take_profit,9982.43609929408,bybit,eth
long,2026-07-10 15:00:00,2026-07-11 15:11:00,1784.76,1820.4552,0.5593153196672987,19.964872198588225,1.0082260460287022,0.40329041841148094,18.55335573414804,take_profit,10000.989455028228,bybit,eth
short,2026-07-12 00:00:00,2026-07-12 01:38:00,1787.78,1805.6578,0.5594082859763634,-10.000989455028218,1.005099440230337,0.4020397760921348,-11.40812867135069,stop_loss,9989.581326356878,bybit,eth
