direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
short,2026-07-01 14:15:00,2026-07-01 15:23:00,1613.28,1629.4128,0.6198552018248538,-10.000000000000055,1.0050000000000003,0.4020000000000001,-11.407000000000055,stop_loss,9988.593,bybit,eth
short,2026-07-01 22:15:00,2026-07-01 22:21:00,1629.74,1646.0374,0.6128948789377447,-9.988592999999955,1.0038535965000002,0.4015414386,-11.393988035099957,stop_loss,9977.1990119649,bybit,eth
long,2026-07-02 00:30:00,2026-07-02 03:28:00,1602.83,1634.8866,0.6224739374709046,19.954398023929873,1.007697100208455,0.403078840083382,18.543622083638038,take_profit,9995.742634048538,bybit,eth
short,2026-07-02 04:15:00,2026-07-02 11:11:00,1635.95,1652.3095,0.6110053873314305,-9.995742634048552,1.0045721347218781,0.4018288538887512,-11.402143622659182,stop_loss,9984.340490425879,bybit,eth
short,2026-07-02 11:30:00,2026-07-02 12:29:00,1648.16,1664.6416000000002,0.6057870892647486,-9.984340490425923,1.003426219287801,0.4013704877151204,-11.389137197428845,stop_loss,9972.951353228449,bybit,eth
short,2026-07-02 12:45:00,2026-07-02 13:19:00,1659.94,1676.5394000000001,0.6008019177336801,-9.972951353228485,1.0022816109994592,0.4009126443997837,-11.376145608627727,stop_loss,9961.57520761982,bybit,eth
short,2026-07-02 13:30:00,2026-07-02 13:34:00,1682.44,1699.2644,0.5920909635778882,-9.961575207619802,1.001138308365792,0.40045532334631684,-11.363168839331912,stop_loss,9950.212038780488,bybit,eth
short,2026-07-02 13:45:00,2026-07-02 14:12:00,1710.81,1727.9180999999999,0.581608246314932,-9.950212038780442,0.999996309897439,0.3999985239589756,-11.350206872636857,stop_loss,9938.86183190785,bybit,eth
short,2026-07-02 14:15:00,2026-07-03 08:43:00,1716.68,1733.8468,0.578958328395965,-9.938861831907833,0.9988556141067391,0.39954224564269564,-11.337259691657268,stop_loss,9927.524572216193,bybit,eth
short,2026-07-03 09:00:00,2026-07-03 10:12:00,1719.95,1737.1495,0.5771984401997845,-9.92752457221616,0.9977162195077274,0.399086487803091,-11.32432727952698,stop_loss,9916.200244936666,bybit,eth
short,2026-07-03 21:00:00,2026-07-04 15:09:00,1766.14,1783.8014,0.561461732645015,-9.916200244936643,0.9965781246161352,0.3986312498464541,-11.311409619399234,stop_loss,9904.888835317268,bybit,eth
short,2026-07-04 15:30:00,2026-07-05 02:00:00,1793.73,1767.28,0.552195081495948,14.60555990556785,0.9831861035789429,0.39327444143157714,13.22909936055733,reversal,9918.117934677824,bybit,eth
long,2026-07-05 02:00:00,2026-07-05 09:43:00,1766.59,1748.9241,0.5614272657876376,-9.918117934677808,0.9868527345004438,0.3947410938001775,-11.29971176297843,stop_loss,9906.818222914846,bybit,eth
long,2026-07-05 10:00:00,2026-07-05 15:30:00,1758.06,1776.0,0.5635085391235138,10.109343191875869,0.9957364938874227,0.3982945975549691,8.715312100433477,reversal,9915.53353501528,bybit,eth
short,2026-07-05 15:30:00,2026-07-05 21:56:00,1774.6,1792.346,0.5587475225411519,-9.915533535015335,0.9965111202690359,0.39860444810761436,-11.310649103391984,stop_loss,9904.222885911888,bybit,eth
short,2026-07-05 22:45:00,2026-07-06 10:00:00,1789.83,1760.13,0.5533610949594033,16.43482452029418,0.9822048763310418,0.3928819505324167,15.05973769343072,reversal,9919.282623605319,bybit,eth
