direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
long,2026-07-03 03:00:00,2026-07-03 03:11:00,0.04326,0.0428274,23116.042533518263,-9.999999999999961,0.9950000000000001,0.398,-11.392999999999962,stop_loss,9988.607,bybit,mina
long,2026-07-03 07:00:00,2026-07-03 12:10:00,0.04383,0.0447066,22789.429614419347,19.977213999999957,1.008849307,0.4035397228,18.564824970199957,take_profit,10007.1718249702,bybit,mina
long,2026-07-03 17:00:00,2026-07-03 17:03:00,0.04456,0.045451200000000004,22457.74646537298,20.01434364994044,1.0107243543219901,0.40428974172879617,18.599329553889653,take_profit,10025.77115452409,bybit,mina
long,2026-07-03 22:00:00,2026-07-03 22:53:00,0.0463,0.047226000000000004,21653.93337910171,20.05154230904825,1.0126028866069332,0.4050411546427733,18.633898267798543,take_profit,10044.40505279189,bybit,mina
long,2026-07-04 12:00:00,2026-07-04 16:34:00,0.04639,0.0473178,21652.09108168116,20.088810105583768,1.0144849103319808,0.4057939641327924,18.668531231118994,take_profit,10063.073584023008,bybit,mina
long,2026-07-04 23:00:00,2026-07-05 00:33:00,0.04691,0.0464409,21451.87291413986,-10.06307358402301,1.0012758216102895,0.4005103286441158,-11.464859734277415,stop_loss,10051.608724288732,bybit,mina
long,2026-07-05 05:00:00,2026-07-05 07:14:00,0.04651,0.0460449,21611.715167251627,-10.051608724288796,1.000135068066729,0.4000540272266916,-11.451797819582216,stop_loss,10040.15692646915,bybit,mina
long,2026-07-05 10:00:00,2026-07-05 11:00:00,0.04689,0.047827800000000004,21412.149555276497,20.080313852938353,1.014055849573384,0.4056223398293537,18.660635663535615,take_profit,10058.817562132685,bybit,mina
long,2026-07-05 18:00:00,2026-07-05 19:18:00,0.04701,0.047950200000000005,21397.18690094168,20.117635124265416,1.015940573775401,0.4063762295101605,18.695318320979855,take_profit,10077.512880453665,bybit,mina
long,2026-07-05 23:00:00,2026-07-06 01:00:00,0.04803,0.0475497,20981.704935360536,-10.077512880453728,1.0027125316051397,0.40108501264205587,-11.481310424700924,stop_loss,10066.031570028965,bybit,mina
long,2026-07-06 01:00:00,2026-07-06 05:28:00,0.04766,0.0471834,21120.502664769127,-10.06603157002898,1.0015701412178821,0.4006280564871529,-11.468229767734014,stop_loss,10054.563340261231,bybit,mina
short,2026-07-06 10:00:00,2026-07-06 11:12:00,0.04699,0.0474599,21397.240562377596,-10.05456334026128,1.0104836156962538,0.4041934462785015,-11.469240402236036,stop_loss,10043.094099858996,bybit,mina
long,2026-07-06 13:00:00,2026-07-06 14:00:00,0.04758,0.0485316,21107.806010632612,20.086188199718073,1.0143525040857586,0.4057410016343035,18.666094693998012,take_profit,10061.760194552993,bybit,mina
long,2026-07-06 20:00:00,2026-07-06 21:23:00,0.05072,0.0517344,19837.855273172307,20.12352038910596,1.0162377796498525,0.406495111859941,18.700787497596167,take_profit,10080.46098205059,bybit,mina
long,2026-07-06 23:00:00,2026-07-07 00:00:00,0.05109,0.05211180000000001,19730.790726268526,20.160921964101245,1.0181265591871096,0.4072506236748439,18.73554478123929,take_profit,10099.196526831829,bybit,mina
long,2026-07-07 01:00:00,2026-07-07 01:05:00,0.05066,0.050153399999999994,19935.247782928996,-10.099196526831888,1.0048700544197668,0.4019480217679068,-11.506014603019562,stop_loss,10087.69051222881,bybit,mina
short,2026-07-07 10:00:00,2026-07-07 10:20:00,0.04843,0.0489143,20829.424968467498,-10.087690512228809,1.0138128964789954,0.40552515859159816,-11.507028567299402,stop_loss,10076.18348366151,bybit,mina
long,2026-07-07 12:00:00,2026-07-07 12:36:00,0.04909,0.0485991,20525.939058181935,-10.076183483661563,1.0025802566243205,0.4010321026497282,-11.47979584293561,stop_loss,10064.703687818575,bybit,mina
short,2026-07-07 14:00:00,2026-07-07 16:57:00,0.04849,0.0489749,20756.246004987785,-10.064703687818646,1.011502720625767,0.40460108825030683,-11.48080749669472,stop_loss,10053.22288032188,bybit,mina
long,2026-07-07 17:00:00,2026-07-07 18:27:00,0.04892,0.048430799999999996,20550.33295241595,-10.053222880321925,1.0002956765920272,0.40011827063681094,-11.453636827550765,stop_loss,10041.76924349433,bybit,mina
short,2026-07-07 19:00:00,2026-07-07 21:24:00,0.04802,0.0470596,20911.639407526716,20.08353848698866,0.9941351551059386,0.39765406204237547,18.69174926984035,take_profit,10060.46099276417,bybit,mina
short,2026-07-07 22:00:00,2026-07-08 06:23:00,0.0471,0.046158000000000005,21359.7897935545,20.120921985528305,0.9959856382836529,0.3983942553134612,18.72654209193119,take_profit,10079.187534856103,bybit,mina
short,2026-07-08 07:00:00,2026-07-08 11:36:00,0.04678,0.0472478,21545.93316557525,-10.079187534856045,1.0129583472530381,0.40518333890121533,-11.497329221010299,stop_loss,10067.690205635092,bybit,mina
short,2026-07-08 12:00:00,2026-07-08 12:07:00,0.04743,0.047904300000000004,21226.418312534457,-10.067690205635175,1.011802865666327,0.4047211462665308,-11.484214217568034,stop_loss,10056.205991417524,bybit,mina
short,2026-07-08 13:00:00,2026-07-08 13:13:00,0.04688,0.047348799999999996,21450.951346880385,-10.05620599141749,1.0106487021374613,0.4042594808549845,-11.471114174409935,stop_loss,10044.734877243114,bybit,mina
short,2026-07-08 14:00:00,2026-07-09 00:33:00,0.04702,0.0460796,21362.68582995133,20.089469754486252,0.9944287528470683,0.3977715011388274,18.697269500500358,take_profit,10063.432146743615,bybit,mina
short,2026-07-09 01:00:00,2026-07-09 01:56:00,0.04596,0.0450408,21896.066463758954,20.126864293487273,0.996279782527618,0.39851191301104716,18.73207259794861,take_profit,10082.164219341563,bybit,mina
short,2026-07-09 02:00:00,2026-07-09 09:29:00,0.045,0.04545,22404.809376314584,-10.082164219341541,1.013257504043827,0.40530300161753086,-11.500724725002899,stop_loss,10070.66349461656,bybit,mina
short,2026-07-09 10:00:00,2026-07-09 20:52:00,0.04569,0.0447762,22041.28582756962,20.141326989233104,0.9969956859670394,0.39879827438681575,18.745533028879247,take_profit,10089.409027645439,bybit,mina
short,2026-07-09 21:00:00,2026-07-10 04:09:00,0.04468,0.045126799999999995,22581.488423557385,-10.089409027645376,1.0139856072783666,0.40559424291134666,-11.508988877835089,stop_loss,10077.900038767604,bybit,mina
short,2026-07-10 05:00:00,2026-07-10 13:05:00,0.04503,0.0441294,22380.413144054197,20.15580007753524,0.9977121038379928,0.3990848415351972,18.75900313216205,take_profit,10096.659041899766,bybit,mina
short,2026-07-10 14:00:00,2026-07-10 18:50:00,0.04414,0.043257199999999996,22874.170915042516,20.193318083799603,0.9995692451480769,0.39982769805923074,18.793921140592296,take_profit,10115.452963040358,bybit,mina
short,2026-07-10 19:00:00,2026-07-11 02:43:00,0.0433,0.043733,23361.323240277965,-10.115452963040426,1.016603022785556,0.4066412091142224,-11.538697194940205,stop_loss,10103.914265845417,bybit,mina
short,2026-07-11 03:00:00,2026-07-11 06:53:00,0.04384,0.04296319999999999,23047.24969399046,20.207828531690925,1.0002875123186963,0.40011500492747853,18.80742601444475,take_profit,10122.72169185986,bybit,mina
short,2026-07-11 07:00:00,2026-07-11 08:42:00,0.04385,0.0442885,23084.88413194951,-10.122721691859892,1.017333530031916,0.40693341201276645,-11.546988633904574,stop_loss,10111.174703225955,bybit,mina
long,2026-07-11 10:00:00,2026-07-11 11:02:00,0.04488,0.044431200000000004,22529.355399344822,-10.111174703225938,1.0060618829709829,0.4024247531883931,-11.519661339385314,stop_loss,10099.65504188657,bybit,mina
short,2026-07-11 12:00:00,2026-07-11 12:27:00,0.04398,0.044419799999999995,22964.199731438315,-10.099655041886505,1.0150153317096002,0.4060061326838401,-11.520676506279946,stop_loss,10088.13436538029,bybit,mina
short,2026-07-11 14:00:00,2026-07-11 23:55:00,0.04428,0.0433944,22782.59793446317,20.17626873076059,0.998725302172649,0.39949012086905955,18.77805330771888,take_profit,10106.912418688009,bybit,mina
short,2026-07-12 00:00:00,2026-07-12 01:45:00,0.04332,0.0437532,23330.82275782089,-10.106912418688047,1.0157446980781448,0.406297879231258,-11.52895499599745,stop_loss,10095.383463692011,bybit,mina
