direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
short,2026-07-03 01:00:00,2026-07-03 01:35:00,0.04261,0.0430361,23468.669326449188,-9.999999999999968,1.005,0.40199999999999997,-11.406999999999966,stop_loss,9988.593,bybit,mina
long,2026-07-03 09:00:00,2026-07-03 12:42:00,0.04392,0.0447984,22742.698087431694,19.97718600000003,1.008847893,0.40353915720000005,18.564798949800032,take_profit,10007.1577989498,bybit,mina
short,2026-07-03 18:00:00,2026-07-03 19:00:00,0.04511,0.04529,22183.901128241636,-3.9931022030834855,1.002712330996522,0.40108493239860876,-5.396899466478617,reversal,10001.76089948332,bybit,mina
long,2026-07-03 19:00:00,2026-07-03 21:53:00,0.04538,0.0462876,22040.01961102539,20.003521798966677,1.0101778508478154,0.40407114033912617,18.589272807779736,take_profit,10020.3501722911,bybit,mina
short,2026-07-04 06:00:00,2026-07-04 08:40:00,0.04564,0.0460964,21955.19319082187,-10.020350172291158,1.0070451923152557,0.4028180769261023,-11.430213441532516,stop_loss,10008.919958849569,bybit,mina
long,2026-07-04 19:00:00,2026-07-04 19:46:00,0.04783,0.0473517,20926.029602445265,-10.00891995884959,0.9958875359055321,0.3983550143622129,-11.403162509117337,stop_loss,9997.516796340451,bybit,mina
short,2026-07-04 22:00:00,2026-07-05 01:14:00,0.04708,0.046138399999999996,21235.16736690835,19.99503359268092,0.9897541628377047,0.39590166513508185,18.60937776470813,take_profit,10016.126174105158,bybit,mina
long,2026-07-05 12:00:00,2026-07-05 12:03:00,0.04762,0.0471438,21033.4442967349,-10.016126174105223,0.9966045543234634,0.39864182172938534,-11.41137255015807,stop_loss,10004.714801555001,bybit,mina
short,2026-07-05 16:00:00,2026-07-05 17:24:00,0.04649,0.046954899999999994,21520.143690159177,-10.004714801554943,1.0054738375562775,0.4021895350225111,-11.412378174133732,stop_loss,9993.302423380866,bybit,mina
long,2026-07-05 21:00:00,2026-07-05 21:56:00,0.04762,0.0485724,20985.515378792243,19.98660484676171,1.0093235447614677,0.40372941790458705,18.573551884095657,take_profit,10011.875975264962,bybit,mina
short,2026-07-06 05:00:00,2026-07-06 06:09:00,0.04745,0.0479245,21099.84399423596,-10.011875975265019,1.0061935355141287,0.40247741420565153,-11.4205469249848,stop_loss,10000.455428339978,bybit,mina
long,2026-07-06 09:00:00,2026-07-06 09:13:00,0.04808,0.047599199999999994,20799.616115515764,-10.000455428340052,0.9950453151198277,0.39801812604793113,-11.393518869507812,stop_loss,9989.061909470469,bybit,mina
short,2026-07-06 12:00:00,2026-07-06 12:25:00,0.04756,0.0480356,21003.073821426555,-9.989061909470461,1.0039007219017821,0.40156028876071287,-11.394522920132957,stop_loss,9977.667386550336,bybit,mina
long,2026-07-06 16:00:00,2026-07-06 16:32:00,0.04983,0.0508266,20023.41438199947,19.955334773100677,1.007744406041584,0.40309776241663364,18.544492604642457,take_profit,9996.211879154978,bybit,mina
short,2026-07-07 03:00:00,2026-07-07 09:20:00,0.04967,0.0486766,20125.25041102271,19.99242375830993,0.9896249760363429,0.3958499904145372,18.60694879185905,take_profit,10014.818827946838,bybit,mina
long,2026-07-08 12:00:00,2026-07-08 12:27:00,0.04743,0.0483786,21114.945873807374,20.02963765589369,1.0114967016226308,0.40459868064905224,18.61354227362201,take_profit,10033.43237022046,bybit,mina
short,2026-07-09 03:00:00,2026-07-09 03:24:00,0.04472,0.045167200000000005,22436.118895841817,-10.0334323702205,1.0083599532071563,0.4033439812828626,-11.44513630471052,stop_loss,10021.98723391575,bybit,mina
long,2026-07-09 11:00:00,2026-07-09 13:30:00,0.04548,0.0450252,22036.031736842022,-10.021987233915713,0.9971877297746173,0.39887509190984693,-11.418050055600178,stop_loss,10010.56918386015,bybit,mina
short,2026-07-10 00:00:00,2026-07-10 01:48:00,0.04417,0.044611700000000004,22663.729191442497,-10.010569183860223,1.0060622029779451,0.40242488119117814,-11.419056268029347,stop_loss,9999.150127592122,bybit,mina
long,2026-07-10 03:00:00,2026-07-10 06:25:00,0.04497,0.044520300000000006,22235.157054907988,-9.999150127592063,0.9949154376954162,0.3979661750781665,-11.392031740365647,stop_loss,9987.758095851756,bybit,mina
short,2026-07-10 16:00:00,2026-07-11 04:00:00,0.04381,0.04384,22797.89567644774,-0.6839368702933253,0.9991177780203223,0.3996471112081289,-2.0827017595217763,reversal,9985.675394092234,bybit,mina
long,2026-07-11 04:00:00,2026-07-11 05:17:00,0.04382,0.0433818,22787.940196467902,-9.985675394092228,0.9935747017121772,0.39742988068487095,-11.376679976489276,stop_loss,9974.298714115745,bybit,mina
short,2026-07-12 01:00:00,2026-07-12 01:40:00,0.04323,0.0436623,23072.631769872183,-9.974298714115825,1.0024170207686323,0.40096680830745296,-11.377682543191911,stop_loss,9962.921031572552,bybit,mina
long,2026-07-12 18:00:00,2026-07-12 19:00:00,0.04297,0.04313,23185.759905917042,3.7097215849467364,0.9981469639497287,0.3992587855798915,2.3123158354171163,reversal,9965.23334740797,bybit,mina
short,2026-07-12 19:00:00,2026-07-12 19:52:00,0.04313,0.043561300000000004,23105.10861907714,-9.965233347408027,1.001505951414501,0.40060238056580044,-11.367341679388328,stop_loss,9953.866005728582,bybit,mina
long,2026-07-12 21:00:00,2026-07-12 22:00:00,0.04403,0.0435897,22607.00887060773,-9.95386600572853,0.990409667569994,0.39616386702799766,-11.340439540326521,stop_loss,9942.525566188255,bybit,mina
short,2026-07-13 03:00:00,2026-07-13 08:33:00,0.04308,0.0435108,23079.21440619372,-9.942525566188301,0.9992238194019197,0.39968952776076794,-11.341438913350988,stop_loss,9931.184127274904,bybit,mina
long,2026-07-13 10:00:00,2026-07-13 10:59:00,0.04437,0.0439263,22382.655233885296,-9.931184127274866,0.9881528206638532,0.3952611282655413,-11.31459807620426,stop_loss,9919.8695291987,bybit,mina
