direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
long,2026-07-02 12:00:00,2026-07-02 12:31:00,82.39,81.5661,12.137395314965408,-9.999999999999936,0.995,0.398,-11.392999999999935,stop_loss,9988.607,bybit,sol
short,2026-07-02 18:00:00,2026-07-03 01:35:00,80.65,81.4565,12.385129572225667,-9.988606999999998,1.0038550035,0.40154200140000007,-11.394004004899998,stop_loss,9977.2129959951,bybit,sol
long,2026-07-03 21:00:00,2026-07-04 01:40:00,82.71,81.88289999999999,12.06288598234204,-9.977212995995119,0.9927326931015126,0.397093077240605,-11.367038766337236,stop_loss,9965.845957228763,bybit,sol
short,2026-07-04 02:00:00,2026-07-04 03:41:00,81.94,82.7594,12.162369974650675,-9.965845957228783,1.0015675187014907,0.4006270074805963,-11.36804048341087,stop_loss,9954.477916745353,bybit,sol
long,2026-07-04 06:00:00,2026-07-04 06:27:00,83.37,82.5363,11.940119847361585,-9.954477916745441,0.9904705527161626,0.39618822108646506,-11.341136690548069,stop_loss,9943.136780054805,bybit,sol
short,2026-07-04 09:00:00,2026-07-05 01:33:00,82.32,80.6736,12.078640403370757,19.886273560109615,0.984370541225426,0.3937482164901704,18.508154802394017,take_profit,9961.644934857199,bybit,sol
long,2026-07-05 15:00:00,2026-07-06 03:22:00,81.44,80.62559999999999,12.23188228739833,-9.961644934857276,0.9911836710182913,0.39647346840731656,-11.349302074282884,stop_loss,9950.295632782916,bybit,sol
short,2026-07-06 06:00:00,2026-07-06 15:41:00,80.43,81.2343,12.371373408905777,-9.95029563278289,1.0000047110946833,0.40000188443787327,-11.350302228315446,stop_loss,9938.945330554601,bybit,sol
long,2026-07-06 17:00:00,2026-07-06 21:10:00,82.12,83.7624,12.102953398142477,19.87789066110914,1.003833478386015,0.4015333913544059,18.472523791368722,take_profit,9957.41785434597,bybit,sol
short,2026-07-07 05:00:00,2026-07-07 07:13:00,80.91,81.7191,12.30678266511676,-9.95741785434598,1.00072049436177,0.40028819774470803,-11.358426546452458,stop_loss,9946.059427799517,bybit,sol
long,2026-07-07 17:00:00,2026-07-07 18:58:00,82.21,81.38789999999999,12.098357167983844,-9.946059427799591,0.989632913066052,0.3958531652264208,-11.331545506092063,stop_loss,9934.727882293424,bybit,sol
short,2026-07-07 22:00:00,2026-07-08 01:36:00,80.84,79.2232,12.28937145261433,19.86945576458682,0.983538060347049,0.3934152241388196,18.492502480100953,take_profit,9953.220384773525,bybit,sol
long,2026-07-08 20:00:00,2026-07-10 01:48:00,77.42,78.9684,12.856135862533616,19.906440769547064,1.005275258862126,0.40211010354485044,18.499055407140087,take_profit,9971.719440180666,bybit,sol
short,2026-07-10 16:00:00,2026-07-11 09:00:00,78.15,78.19,12.759717773743654,-0.5103887109496447,0.9974271383735415,0.39897085534941656,-1.9067867046726028,reversal,9969.812653475994,bybit,sol
long,2026-07-11 09:00:00,2026-07-11 23:20:00,78.19,77.40809999999999,12.750751571142082,-9.969812653476088,0.9919963590208614,0.39679854360834454,-11.358607556105294,stop_loss,9958.454045919889,bybit,sol
short,2026-07-12 01:00:00,2026-07-12 01:45:00,76.11,76.8711,13.084291217868728,-9.958454045919876,1.000824631614949,0.40032985264597953,-11.359608530180804,stop_loss,9947.094437389707,bybit,sol
long,2026-07-12 13:00:00,2026-07-13 01:55:00,77.18,76.40820000000001,12.888176259898557,-9.947094437389692,0.9897358965202758,0.3958943586081104,-11.33272469251808,stop_loss,9935.761712697189,bybit,sol
short,2026-07-13 03:00:00,2026-07-13 17:36:00,76.49,74.9602,12.989621797224723,19.87152342539431,0.9836404095570218,0.39345616382280874,18.49442685201448,take_profit,9954.256139549203,bybit,sol
long,2026-07-14 03:00:00,2026-07-14 12:48:00,75.07,76.5714,13.259965551550824,19.908512279098456,1.0053798700944694,0.4021519480377878,18.5009804609662,take_profit,9972.757120010168,bybit,sol
short,2026-07-15 09:00:00,2026-07-15 13:01:00,77.58,78.3558,12.854804227906895,-9.972757120010218,1.002262090561022,0.40090483622440887,-11.37592404679565,stop_loss,9961.381195963373,bybit,sol
long,2026-07-17 13:00:00,2026-07-17 13:11:00,74.4,73.656,13.388953220380877,-9.96138119596337,0.9911574289983557,0.3964629715993423,-11.349001596561068,stop_loss,9950.032194366811,bybit,sol
short,2026-07-18 15:00:00,2026-07-18 16:00:00,74.99,74.97,13.268478722985481,0.2653695744596568,0.9948705346494514,0.3979482138597805,-1.1274491740495751,reversal,9948.904745192762,bybit,sol
long,2026-07-18 16:00:00,2026-07-19 02:34:00,74.95,76.449,13.27405569738861,19.897809490385463,1.0048393792644692,0.40193575170578766,18.491034359415206,take_profit,9967.395779552176,bybit,sol
short,2026-07-19 15:00:00,2026-07-19 16:00:00,76.42,76.23,13.042915178686439,2.4781538839503936,0.9955005010132425,0.398200200405297,1.084453182531854,reversal,9968.480232734708,bybit,sol
long,2026-07-19 16:00:00,2026-07-19 18:00:00,76.21,75.96,13.080278484102754,-3.2700696210256885,0.995212988462958,0.3980851953851832,-4.66336780487383,reversal,9963.816864929833,bybit,sol
short,2026-07-19 18:00:00,2026-07-20 00:10:00,75.97,76.7297,13.115462504843798,-9.96381686492977,1.0013635949254482,0.4005454379701793,-11.365725897825397,stop_loss,9952.451139032008,bybit,sol
long,2026-07-20 02:00:00,2026-07-20 06:36:00,76.45,75.6855,13.018248710310017,-9.952451139031984,0.9902688883336849,0.39610755533347397,-11.338827582699142,stop_loss,9941.11231144931,bybit,sol
