direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
short,2026-07-01 14:30:00,2026-07-01 15:06:00,76.68,77.44680000000001,13.041210224308815,-10.000000000000044,1.005,0.402,-11.407000000000044,stop_loss,9988.593,bybit,sol
short,2026-07-01 15:15:00,2026-07-01 15:23:00,77.05,77.8205,12.963780661907853,-9.98859299999998,1.0038535965,0.4015414386,-11.393988035099982,stop_loss,9977.1990119649,bybit,sol
short,2026-07-01 15:30:00,2026-07-01 21:34:00,77.56,78.3356,12.863846070093992,-9.977199011964863,1.0027085007024725,0.401083400280989,-11.380990912948324,stop_loss,9965.818021051951,bybit,sol
short,2026-07-02 10:00:00,2026-07-02 10:26:00,79.48,80.2748,12.538774560961187,-9.96581802105189,1.001564711115721,0.40062588444628844,-11.3680086166139,stop_loss,9954.450012435338,bybit,sol
short,2026-07-02 10:30:00,2026-07-02 10:42:00,80.25,81.0525,12.40429908091631,-9.954450012435275,1.0004222262497515,0.4001688904999007,-11.355041129184928,stop_loss,9943.094971306153,bybit,sol
short,2026-07-02 10:45:00,2026-07-02 10:52:00,81.06,81.8706,12.266339712936286,-9.943094971306078,0.9992810446162684,0.39971241784650735,-11.342088433768852,stop_loss,9931.752882872384,bybit,sol
short,2026-07-02 11:00:00,2026-07-02 14:27:00,82.09,80.4482,12.098614792145675,19.86350576574481,0.983243535404366,0.39329741416174646,18.4869648161787,take_profit,9950.239847688563,bybit,sol
short,2026-07-03 19:45:00,2026-07-04 04:37:00,82.79,83.6179,12.018649411388528,-9.95023984768856,0.9999991046927007,0.39999964187708026,-11.350238594258341,stop_loss,9938.889609094305,bybit,sol
short,2026-07-04 04:45:00,2026-07-04 09:00:00,83.71,82.0358,11.873001563844591,19.877779218188603,0.9839500713003364,0.3935800285201345,18.50024911836813,take_profit,9957.389858212673,bybit,sol
long,2026-07-04 10:00:00,2026-07-05 01:17:00,81.75,80.9325,12.180293404541496,-9.957389858212618,0.990760290892161,0.3963041163568644,-11.344454265461644,stop_loss,9946.045403947212,bybit,sol
long,2026-07-05 01:45:00,2026-07-05 09:39:00,80.86,80.0514,12.300328226499149,-9.946045403947192,0.9896315176927476,0.395852607077099,-11.33152952871704,stop_loss,9934.713874418494,bybit,sol
