datetime,open,high,low,close,sma_20
2025-01-01 20:00:00,0.9176,0.9322,0.9176,0.9206,0.8658049999999999
2025-01-01 21:00:00,0.9206,0.9251,0.9152,0.9187,0.868835
2025-01-01 22:00:00,0.9187,0.9244,0.9112,0.9212,0.8721300000000001
2025-01-01 23:00:00,0.9212,0.9233,0.914,0.922,0.875345
2025-01-02 00:00:00,0.922,0.9543,0.922,0.9455,0.8788300000000001
2025-01-02 01:00:00,0.9455,0.9556,0.9435,0.9465,0.88365
2025-01-02 02:00:00,0.9465,0.9471,0.9386,0.9417,0.88817
2025-01-02 03:00:00,0.9417,0.9448,0.9397,0.942,0.8924000000000001
2025-01-02 04:00:00,0.942,0.9495,0.9358,0.9446,0.8969150000000001
2025-01-02 05:00:00,0.9446,0.9446,0.9304,0.9329,0.9018050000000002
2025-01-02 06:00:00,0.9329,0.9348,0.9247,0.9277,0.9061500000000002
2025-01-02 07:00:00,0.9277,0.9351,0.9252,0.9336,0.9103250000000003
2025-01-02 08:00:00,0.9336,0.937,0.9286,0.9361,0.9143450000000002
2025-01-02 09:00:00,0.9361,0.9498,0.9349,0.9494,0.9178700000000001
2025-01-02 10:00:00,0.9494,0.9718,0.9476,0.9665,0.9220900000000002
2025-01-02 11:00:00,0.9665,0.9729,0.957,0.9708,0.9271800000000002
2025-01-02 12:00:00,0.9708,0.9825,0.9681,0.9725,0.9318650000000004
2025-01-02 13:00:00,0.9725,0.9742,0.9609,0.9635,0.9360100000000002
2025-01-02 14:00:00,0.9635,0.9757,0.9544,0.965,0.9397450000000003
2025-01-02 15:00:00,0.965,0.9654,0.9494,0.955,0.9419200000000002
2025-01-02 16:00:00,0.955,0.978,0.951,0.9611,0.9437900000000001
2025-01-02 17:00:00,0.9611,0.9649,0.9452,0.9529,0.945815
2025-01-02 18:00:00,0.9529,0.962,0.9507,0.9615,0.947525
2025-01-02 19:00:00,0.9615,0.963,0.9551,0.957,0.94954
2025-01-02 20:00:00,0.957,0.9656,0.9555,0.9601,0.95129
2025-01-02 21:00:00,0.9601,0.9673,0.9573,0.9665,0.9520200000000001
