datetime,open,high,low,close,sma_20
2025-01-01 20:00:00,0.5962,0.6002,0.5962,0.6002,0.579915
2025-01-01 21:00:00,0.6002,0.6009,0.5962,0.599,0.580645
2025-01-01 22:00:00,0.599,0.6021,0.597,0.6019,0.58179
2025-01-01 23:00:00,0.6019,0.6024,0.599,0.6015,0.582835
2025-01-02 00:00:00,0.6015,0.6119,0.5996,0.6081,0.5839350000000001
2025-01-02 01:00:00,0.6081,0.6112,0.604,0.6042,0.585485
2025-01-02 02:00:00,0.6042,0.6089,0.6042,0.6089,0.5868350000000001
2025-01-02 03:00:00,0.6089,0.609,0.6065,0.607,0.5884950000000002
2025-01-02 04:00:00,0.607,0.6153,0.607,0.6138,0.5900250000000001
2025-01-02 05:00:00,0.6138,0.6151,0.6092,0.6122,0.5922900000000001
2025-01-02 06:00:00,0.6122,0.6141,0.6076,0.6099,0.5944950000000001
2025-01-02 07:00:00,0.6099,0.6162,0.6099,0.6152,0.5964900000000001
2025-01-02 08:00:00,0.6152,0.6191,0.6132,0.6191,0.598435
2025-01-02 09:00:00,0.6191,0.6264,0.6185,0.6264,0.6005050000000001
2025-01-02 10:00:00,0.6264,0.6264,0.6217,0.624,0.60284
2025-01-02 11:00:00,0.624,0.6242,0.6213,0.6229,0.6049850000000001
2025-01-02 12:00:00,0.6229,0.6263,0.6215,0.6234,0.6067500000000001
2025-01-02 13:00:00,0.6234,0.6255,0.616,0.6198,0.6086050000000001
2025-01-02 14:00:00,0.6198,0.6291,0.6159,0.623,0.6102650000000001
2025-01-02 15:00:00,0.623,0.6239,0.6158,0.6175,0.611835
2025-01-02 16:00:00,0.6175,0.6227,0.6154,0.6212,0.6129
2025-01-02 17:00:00,0.6212,0.6232,0.6127,0.6152,0.6139500000000001
2025-01-02 18:00:00,0.6152,0.6199,0.6146,0.6199,0.6147600000000001
2025-01-02 19:00:00,0.6199,0.6209,0.6169,0.6171,0.61566
2025-01-02 20:00:00,0.6171,0.6199,0.6153,0.6161,0.6164400000000001
2025-01-02 21:00:00,0.6161,0.6161,0.613,0.615,0.61684
2025-01-02 22:00:00,0.615,0.6154,0.608,0.6141,0.61738
2025-01-02 23:00:00,0.6141,0.6167,0.6128,0.6152,0.61764
2025-01-03 00:00:00,0.6152,0.6175,0.6116,0.612,0.61805
2025-01-03 01:00:00,0.612,0.6134,0.609,0.6129,0.6179600000000001
2025-01-03 02:00:00,0.6129,0.6191,0.6126,0.6154,0.6179950000000001
2025-01-03 03:00:00,0.6154,0.6208,0.6139,0.6205,0.6182700000000001
2025-01-03 04:00:00,0.6205,0.6205,0.6135,0.6137,0.6185350000000001
2025-01-03 05:00:00,0.6137,0.6146,0.6104,0.6125,0.6182650000000001
2025-01-03 06:00:00,0.6125,0.6166,0.6121,0.6123,0.6175700000000001
2025-01-03 07:00:00,0.6123,0.6126,0.6088,0.611,0.616985
2025-01-03 08:00:00,0.611,0.614,0.6098,0.613,0.6163900000000001
2025-01-03 09:00:00,0.613,0.6227,0.613,0.6208,0.61587
2025-01-03 10:00:00,0.6208,0.6246,0.6167,0.6227,0.61592
2025-01-03 11:00:00,0.6227,0.6332,0.6227,0.6323,0.615905
2025-01-03 12:00:00,0.6323,0.6346,0.6297,0.6315,0.6166450000000001
2025-01-03 13:00:00,0.6315,0.6338,0.6288,0.631,0.6171600000000002
2025-01-03 14:00:00,0.631,0.6416,0.631,0.6403,0.6179500000000002
2025-01-03 15:00:00,0.6403,0.6478,0.6382,0.6476,0.6189700000000002
2025-01-03 16:00:00,0.6476,0.6553,0.6455,0.6498,0.6204950000000002
2025-01-03 17:00:00,0.6498,0.6522,0.6492,0.65,0.6221800000000003
2025-01-03 18:00:00,0.65,0.6523,0.6481,0.6497,0.6239300000000003
2025-01-03 19:00:00,0.6497,0.6534,0.6497,0.652,0.6257100000000002
2025-01-03 20:00:00,0.652,0.6529,0.6479,0.6519,0.6275500000000002
2025-01-03 21:00:00,0.6519,0.652,0.6491,0.6493,0.6295450000000001
2025-01-03 22:00:00,0.6493,0.6536,0.6489,0.65,0.6313650000000002
2025-01-03 23:00:00,0.65,0.6537,0.6493,0.6537,0.6330950000000002
2025-01-04 00:00:00,0.6537,0.6605,0.6479,0.6479,0.6347550000000003
2025-01-04 01:00:00,0.6479,0.6507,0.6436,0.6507,0.6364650000000003
2025-01-04 02:00:00,0.6507,0.6564,0.65,0.6561,0.6383750000000002
2025-01-04 03:00:00,0.6561,0.6573,0.6541,0.6563,0.6405650000000003
2025-01-04 04:00:00,0.6563,0.6566,0.6492,0.6516,0.6428300000000002
2025-01-04 05:00:00,0.6516,0.6542,0.6516,0.6539,0.6447600000000003
2025-01-04 06:00:00,0.6539,0.6599,0.6539,0.6599,0.6464150000000004
2025-01-04 07:00:00,0.6599,0.6617,0.6561,0.6596,0.6482750000000004
2025-01-04 08:00:00,0.6596,0.6601,0.6494,0.6497,0.6496400000000003
2025-01-04 09:00:00,0.6497,0.6521,0.6485,0.6499,0.6505500000000003
2025-01-04 10:00:00,0.6499,0.6525,0.6445,0.6521,0.6514950000000004
2025-01-04 11:00:00,0.6521,0.6527,0.6487,0.6527,0.6520850000000004
2025-01-04 12:00:00,0.6527,0.6599,0.6521,0.6599,0.6523400000000004
2025-01-04 13:00:00,0.6599,0.6646,0.6586,0.664,0.6528450000000003
2025-01-04 14:00:00,0.664,0.667,0.6606,0.6665,0.6535450000000003
2025-01-04 15:00:00,0.6665,0.669,0.6495,0.6525,0.6543850000000002
2025-01-04 16:00:00,0.6525,0.6578,0.6503,0.6533,0.6544100000000003
2025-01-04 17:00:00,0.6533,0.6569,0.6526,0.6569,0.6544800000000003
2025-01-04 18:00:00,0.6569,0.6579,0.653,0.6535,0.6548600000000003
2025-01-04 19:00:00,0.6535,0.6566,0.6533,0.654,0.6550350000000003
2025-01-04 20:00:00,0.654,0.6601,0.654,0.6579,0.6550500000000002
2025-01-04 21:00:00,0.6579,0.6581,0.6539,0.6543,0.6555500000000002
2025-01-04 22:00:00,0.6543,0.6559,0.6529,0.6542,0.6557300000000001
2025-01-04 23:00:00,0.6542,0.6574,0.6534,0.6552,0.6556350000000001
2025-01-05 00:00:00,0.6552,0.6565,0.652,0.652,0.6555800000000002
2025-01-05 01:00:00,0.652,0.652,0.6456,0.6479,0.6556000000000001
2025-01-05 02:00:00,0.6479,0.6507,0.647,0.6506,0.6553000000000001
2025-01-05 03:00:00,0.6506,0.6559,0.6462,0.6483,0.6548350000000001
2025-01-05 04:00:00,0.6483,0.6529,0.6483,0.6521,0.6542700000000001
2025-01-05 05:00:00,0.6521,0.6521,0.647,0.6492,0.6543900000000002
2025-01-05 06:00:00,0.6492,0.6569,0.6485,0.6568,0.6543550000000002
2025-01-05 07:00:00,0.6568,0.6568,0.6515,0.6539,0.6545900000000002
2025-01-05 08:00:00,0.6539,0.6545,0.646,0.6514,0.6546500000000003
2025-01-05 09:00:00,0.6514,0.6531,0.6455,0.6455,0.6542250000000003
2025-01-05 10:00:00,0.6455,0.6478,0.6415,0.6469,0.6533000000000003
2025-01-05 11:00:00,0.6469,0.6499,0.6453,0.646,0.6523200000000003
2025-01-05 12:00:00,0.646,0.6524,0.644,0.6494,0.6519950000000004
2025-01-05 13:00:00,0.6494,0.6509,0.6432,0.6433,0.6518000000000004
2025-01-05 14:00:00,0.6433,0.6454,0.6357,0.6434,0.6511200000000004
2025-01-05 15:00:00,0.6434,0.6481,0.6429,0.6478,0.6506150000000004
2025-01-05 16:00:00,0.6478,0.6503,0.6438,0.6457,0.6503050000000005
2025-01-05 17:00:00,0.6457,0.6479,0.6426,0.6431,0.6496950000000005
2025-01-05 18:00:00,0.6431,0.6479,0.6408,0.6475,0.6491350000000005
2025-01-05 19:00:00,0.6475,0.6487,0.6449,0.6474,0.6488000000000005
2025-01-05 20:00:00,0.6474,0.6514,0.6468,0.649,0.6484100000000004
2025-01-05 21:00:00,0.649,0.6537,0.649,0.6531,0.6482600000000005
2025-01-05 22:00:00,0.6531,0.6563,0.6495,0.6553,0.6485200000000005
2025-01-05 23:00:00,0.6553,0.6562,0.6513,0.6525,0.6487550000000005
2025-01-06 00:00:00,0.6525,0.6537,0.6428,0.6429,0.6489650000000005
2025-01-06 01:00:00,0.6429,0.6545,0.6393,0.6519,0.6485050000000004
2025-01-06 02:00:00,0.6519,0.6601,0.6519,0.6559,0.6486400000000004
2025-01-06 03:00:00,0.6559,0.658,0.6539,0.658,0.6485950000000005
2025-01-06 04:00:00,0.658,0.6607,0.6567,0.6602,0.6488000000000004
2025-01-06 05:00:00,0.6602,0.6632,0.658,0.6588,0.6492400000000004
2025-01-06 06:00:00,0.6588,0.6593,0.6546,0.6555,0.6499050000000003
2025-01-06 07:00:00,0.6555,0.6574,0.6518,0.6549,0.6503350000000003
2025-01-06 08:00:00,0.6549,0.658,0.6496,0.6498,0.6507800000000002
2025-01-06 09:00:00,0.6498,0.6535,0.6484,0.6506,0.6508000000000003
2025-01-06 10:00:00,0.6506,0.6528,0.6486,0.6523,0.6511650000000003
2025-01-06 11:00:00,0.6523,0.6579,0.6515,0.6579,0.6516100000000004
2025-01-06 12:00:00,0.6579,0.6608,0.6518,0.6519,0.6521150000000003
2025-01-06 13:00:00,0.6519,0.6567,0.6472,0.6564,0.6524250000000003
2025-01-06 14:00:00,0.6564,0.6641,0.6493,0.6609,0.6530900000000003
2025-01-06 15:00:00,0.6609,0.675,0.6593,0.6675,0.6537600000000002
2025-01-06 16:00:00,0.6675,0.679,0.6672,0.6707,0.6547650000000003
2025-01-06 17:00:00,0.6707,0.6707,0.6598,0.6642,0.6558500000000003
2025-01-06 18:00:00,0.6642,0.6665,0.6609,0.6628,0.6564050000000001
