datetime,open,high,low,close,sma_20
2025-01-01 20:00:00,193.09,194.57,193.09,194.32,190.76849999999996
2025-01-01 21:00:00,194.32,195.32,193.71,194.67,190.85949999999997
2025-01-01 22:00:00,194.67,194.94,193.67,194.54,191.058
2025-01-01 23:00:00,194.54,195.17,193.81,194.3,191.20499999999998
2025-01-02 00:00:00,194.3,197.17,193.43,196.26,191.4
2025-01-02 01:00:00,196.26,198.45,196.13,197.7,191.738
2025-01-02 02:00:00,197.7,199.45,197.46,199.41,192.115
2025-01-02 03:00:00,199.41,199.7,197.83,198.55,192.5695
2025-01-02 04:00:00,198.55,204.87,198.55,204.45,192.9925
2025-01-02 05:00:00,204.45,205.53,203.37,204.62,193.74499999999998
2025-01-02 06:00:00,204.62,205.98,203.97,205.35,194.517
2025-01-02 07:00:00,205.35,206.94,205.18,205.93,195.2715
2025-01-02 08:00:00,205.93,207.07,205.65,206.77,196.0005
2025-01-02 09:00:00,206.77,208.02,206.31,207.38,196.79149999999998
2025-01-02 10:00:00,207.38,207.72,206.71,207.01,197.648
2025-01-02 11:00:00,207.01,208.92,206.9,208.55,198.454
2025-01-02 12:00:00,208.55,209.53,207.67,208.37,199.286
2025-01-02 13:00:00,208.37,208.67,207.56,208.17,200.179
2025-01-02 14:00:00,208.17,210.53,206.69,208.21,201.0565
2025-01-02 15:00:00,208.21,208.36,205.52,206.79,201.8825
2025-01-02 16:00:00,206.79,209.08,205.95,207.44,202.5675
2025-01-02 17:00:00,207.44,208.23,204.71,206.05,203.2235
2025-01-02 18:00:00,206.05,206.81,204.95,206.44,203.7925
2025-01-02 19:00:00,206.44,207.89,206.18,206.72,204.3875
2025-01-02 20:00:00,206.72,208.03,206.69,206.82,205.0085
2025-01-02 21:00:00,206.82,207.15,205.46,206.54,205.5365
2025-01-02 22:00:00,206.54,206.76,205.22,206.6,205.9785
2025-01-02 23:00:00,206.6,208.49,206.53,208.37,206.33800000000002
2025-01-03 00:00:00,208.37,208.55,207.02,207.2,206.829
2025-01-03 01:00:00,207.2,207.38,205.66,206.86,206.9665
2025-01-03 02:00:00,206.86,208.11,206.35,206.85,207.0785
2025-01-03 03:00:00,206.85,208.35,206.17,208.05,207.15349999999998
2025-01-03 04:00:00,208.05,208.12,207.07,207.72,207.25949999999997
2025-01-03 05:00:00,207.72,209.58,207.12,208.88,207.30699999999996
2025-01-03 06:00:00,208.88,209.95,207.65,207.78,207.38199999999998
2025-01-03 07:00:00,207.78,208.73,207.09,207.98,207.42049999999995
2025-01-03 08:00:00,207.98,209.92,207.63,209.34,207.3919999999999
2025-01-03 09:00:00,209.34,212.86,209.0,211.25,207.44049999999993
2025-01-03 10:00:00,211.25,211.81,210.38,211.16,207.59449999999993
2025-01-03 11:00:00,211.16,215.07,211.0,214.45,207.7419999999999
2025-01-03 12:00:00,214.45,214.89,213.18,213.34,208.12499999999991
2025-01-03 13:00:00,213.34,214.29,212.05,212.85,208.4199999999999
2025-01-03 14:00:00,212.85,218.62,212.85,218.26,208.7599999999999
2025-01-03 15:00:00,218.26,218.43,216.59,217.31,209.35099999999989
2025-01-03 16:00:00,217.31,219.79,216.37,217.7,209.8804999999999
2025-01-03 17:00:00,217.7,218.18,216.61,217.37,210.4244999999999
2025-01-03 18:00:00,217.37,218.56,217.13,218.07,210.9659999999999
2025-01-03 19:00:00,218.07,218.52,216.28,217.09,211.53949999999992
2025-01-03 20:00:00,217.09,217.09,215.75,216.05,211.97549999999993
2025-01-03 21:00:00,216.05,217.01,215.9,216.37,212.41799999999995
2025-01-03 22:00:00,216.37,217.31,216.09,217.08,212.89349999999996
2025-01-03 23:00:00,217.08,218.03,216.89,218.01,213.40499999999997
2025-01-04 00:00:00,218.01,218.05,216.64,217.02,213.90299999999996
2025-01-04 01:00:00,217.02,217.94,216.02,217.37,214.368
2025-01-04 02:00:00,217.37,218.11,216.21,217.46,214.79249999999996
2025-01-04 03:00:00,217.46,217.71,215.72,216.93,215.27649999999994
2025-01-04 04:00:00,216.93,216.95,215.63,216.88,215.724
2025-01-04 05:00:00,216.88,217.38,216.41,217.25,216.10099999999997
2025-01-04 06:00:00,217.25,217.96,216.92,217.63,216.40099999999998
2025-01-04 07:00:00,217.63,217.84,216.34,216.74,216.72449999999998
2025-01-04 08:00:00,216.74,216.74,215.32,215.7,216.839
2025-01-04 09:00:00,215.7,216.48,215.35,215.79,216.95699999999997
2025-01-04 10:00:00,215.79,215.9,214.36,215.67,217.10399999999996
2025-01-04 11:00:00,215.67,216.67,215.33,216.43,216.97449999999995
2025-01-04 12:00:00,216.43,217.22,216.07,217.02,216.93049999999994
2025-01-04 13:00:00,217.02,217.62,216.6,217.04,216.89649999999997
2025-01-04 14:00:00,217.04,217.17,215.74,215.93,216.87999999999997
2025-01-04 15:00:00,215.93,216.58,213.52,214.34,216.773
2025-01-04 16:00:00,214.34,215.03,213.61,214.36,216.6355
2025-01-04 17:00:00,214.36,215.75,214.13,215.73,216.551
2025-01-04 18:00:00,215.73,215.98,215.19,215.52,216.51899999999995
2025-01-04 19:00:00,215.52,215.83,215.12,215.58,216.44099999999997
2025-01-04 20:00:00,215.58,216.78,215.41,216.43,216.31949999999998
2025-01-04 21:00:00,216.43,216.63,215.77,216.06,216.28999999999996
2025-01-04 22:00:00,216.06,217.23,215.7,217.15,216.22449999999998
2025-01-04 23:00:00,217.15,217.28,216.47,216.64,216.20899999999997
2025-01-05 00:00:00,216.64,217.88,216.29,217.05,216.19449999999998
2025-01-05 01:00:00,217.05,217.18,215.24,215.71,216.20299999999997
2025-01-05 02:00:00,215.71,217.42,215.45,217.07,216.12599999999998
2025-01-05 03:00:00,217.07,218.92,216.67,217.94,216.09799999999996
2025-01-05 04:00:00,217.94,219.0,217.87,217.97,216.15799999999996
2025-01-05 05:00:00,217.97,217.98,216.18,216.44,216.27149999999997
2025-01-05 06:00:00,216.44,217.04,215.96,216.6,216.30399999999995
2025-01-05 07:00:00,216.6,216.83,216.1,216.5,216.35049999999995
2025-01-05 08:00:00,216.5,216.61,214.77,215.17,216.35399999999996
2025-01-05 09:00:00,215.17,215.26,212.86,213.19,216.26149999999993
2025-01-05 10:00:00,213.19,214.15,212.95,214.1,216.0689999999999
2025-01-05 11:00:00,214.1,214.69,213.7,213.95,215.9774999999999
2025-01-05 12:00:00,213.95,214.23,213.34,213.63,215.9579999999999
2025-01-05 13:00:00,213.63,214.62,212.38,212.62,215.92149999999992
2025-01-05 14:00:00,212.62,213.53,211.62,213.29,215.76599999999993
2025-01-05 15:00:00,213.29,213.98,212.39,213.59,215.65449999999993
2025-01-05 16:00:00,213.59,214.41,212.2,212.48,215.55499999999992
2025-01-05 17:00:00,212.48,213.32,212.0,212.66,215.35749999999993
2025-01-05 18:00:00,212.66,212.76,211.47,212.5,215.18749999999994
2025-01-05 19:00:00,212.5,213.23,212.19,212.76,214.95499999999993
2025-01-05 20:00:00,212.76,214.0,212.54,213.04,214.7609999999999
2025-01-05 21:00:00,213.04,214.01,212.87,213.88,214.5604999999999
2025-01-05 22:00:00,213.88,214.56,213.43,214.23,214.4689999999999
2025-01-05 23:00:00,214.23,214.57,213.26,213.43,214.3269999999999
2025-01-06 00:00:00,213.43,214.25,212.01,212.17,214.1014999999999
2025-01-06 01:00:00,212.17,215.2,211.55,214.67,213.81149999999988
2025-01-06 02:00:00,214.67,217.05,214.47,215.61,213.72299999999987
2025-01-06 03:00:00,215.61,216.72,215.3,215.63,213.67349999999988
2025-01-06 04:00:00,215.63,216.84,215.37,215.8,213.62999999999988
2025-01-06 05:00:00,215.8,216.93,215.16,215.57,213.66149999999988
2025-01-06 06:00:00,215.57,216.04,214.0,214.91,213.7804999999999
2025-01-06 07:00:00,214.91,215.49,213.92,215.22,213.8209999999999
2025-01-06 08:00:00,215.22,216.25,213.44,214.07,213.88449999999995
2025-01-06 09:00:00,214.07,214.44,213.25,214.41,213.9064999999999
2025-01-06 10:00:00,214.41,215.25,213.84,215.02,213.99599999999992
2025-01-06 11:00:00,215.02,216.29,214.79,216.29,214.08249999999992
2025-01-06 12:00:00,216.29,217.85,215.77,216.84,214.21749999999992
2025-01-06 13:00:00,216.84,218.85,215.8,218.73,214.4354999999999
2025-01-06 14:00:00,218.73,222.17,216.74,221.05,214.7389999999999
2025-01-06 15:00:00,221.05,222.1,219.86,221.66,215.1664999999999
2025-01-06 16:00:00,221.66,223.22,220.14,220.89,215.6114999999999
2025-01-06 17:00:00,220.89,220.89,217.39,218.76,216.0039999999999
2025-01-06 18:00:00,218.76,219.59,217.89,218.87,216.2479999999999
2025-01-06 19:00:00,218.87,220.52,218.6,220.05,216.47999999999993
2025-01-06 20:00:00,220.05,220.44,218.2,218.57,216.81099999999992
2025-01-06 21:00:00,218.57,218.78,217.56,217.9,217.13099999999991
2025-01-06 22:00:00,217.9,218.82,217.67,218.55,217.29249999999988
2025-01-06 23:00:00,218.55,218.68,217.85,218.24,217.4394999999999
2025-01-07 00:00:00,218.24,219.15,217.65,217.78,217.56999999999988
2025-01-07 01:00:00,217.78,218.71,216.81,218.15,217.66899999999987
2025-01-07 02:00:00,218.15,218.29,216.59,216.59,217.79799999999986
2025-01-07 03:00:00,216.59,217.69,216.25,217.38,217.8819999999999
2025-01-07 04:00:00,217.38,217.52,216.19,216.19,217.98999999999987
2025-01-07 05:00:00,216.19,216.54,215.72,216.5,218.09599999999986
